scenario,record,engine,engine_key,backend,pow_pre_reports,pow_post_reports,feeders,channels,workers,fs,duration_s,speed,chunks,deadline_misses,comp_ms_p50,comp_ms_p99,comp_ms_max,e2e_ms_p50,e2e_ms_p99,e2e_ms_max,report_period_ms,group_delay_ms,load_pct,cpu_s,wall_s,stage_a_share,kbps_total,kbps_pmu_only,kbps_continuous,reduction_x,n_events_feeder0,samples,p_in_mw_mean,p_in_mw_max,p_cpu_gpu_cv_mw_mean,gpu_util_pct_mean,cpu_util_pct_mean,acc_micro_f1,acc_macro_f1,acc_precision,acc_recall,acc_event_recall,acc_n_event_windows,acc_n_caught,acc_false_alarm_runs,acc_false_alarm_runs_quiet,acc_duty_cycle,acc_duty_cycle_quiet,acc_latency_ms,acc_bandwidth_reduction,acc_n_channels,acc_n_channels_with_events
single,7,ATE-N,N,cpu,6,12,1,6,1,7692.0,0.2329693187727509,1.0,27,0,2.0820385852857726,2.6176498929999066,2.677354559637024,18.745804040008807,25.26934388741209,27.148709266839433,8.333333333333334,16.640665626625065,24.424030279785963,0.10066771199999991,0.2429821459991217,0.7528099667895866,882.657,81.59014285714285,1476.8640000000003,1.673202614379085,1,16,4506.0625,4784,966.75,0.0,1.9375,0.6666666666666666,0.6826923076923076,0.7777777777777778,0.5833333333333334,0.6666666666666666,3,2,0,0,0.07894736842105263,0.0,0.0,666668.0916666667,6,2
single,45,ATE-N,N,cpu,6,12,1,6,1,15385.0,1.9968150796230095,1.0,239,0,2.3812867930246284,2.7485324082226725,2.930936605480383,10.716047796449857,11.068472955084872,16.210271011004806,8.333333333333334,8.31979200519987,28.799899000500105,0.9424783679999997,2.0097748759999376,0.7787950624329547,394.03548582402914,84.26218417369226,2953.9199999999996,7.496583699365544,1,33,4487.909090909091,4632,986.8787878787879,0.5757575757575758,5.651515151515151,0.823529411764706,0.6538461538461539,0.9545454545454546,0.7241379310344828,0.6666666666666666,6,4,0,0,0.01566951566951567,,0.0,333362.3047619048,6,6
single,55,ATE-N,N,cpu,6,12,1,6,1,15385.0,1.9968150796230095,1.0,239,0,2.3797482081135968,2.6033123464731034,2.700374376217951,10.705991100621759,10.933448107498407,16.155038008946576,8.333333333333334,8.31979200519987,28.501841479342012,0.9458648640000002,2.008572954000556,0.7810203235057465,2636.9672653884963,84.26218417369226,2953.9199999999996,1.1201959306706857,2,33,4514.060606060606,4704,998.8484848484849,0.42424242424242425,5.540404040404041,0.8441734417344173,0.751230915543688,0.7700865265760197,0.9340329835082459,0.8461538461538461,13,11,0,0,0.5910844449023585,,4.166666666666667,6.865339162441118,6,6
single,677,ATE-N,N,cpu,6,12,1,6,1,15360.0,16.0,1.0,1920,0,2.3616893331563915,2.5633751596615184,3.0493866670440184,10.695052000301075,10.89671585286851,11.382720000256086,8.333333333333334,8.333333333333334,28.38425498564447,7.54769088,16.035168428999896,0.7790553105573289,2178.1440000000002,84.48,2949.12,1.3539600687557847,3,166,4597.78313253012,4864,1069.5301204819277,0.2469879518072289,7.808232931726908,0.056477582363140946,0.042428021859643714,0.029328531000771804,0.76,0.9090909090909091,11,10,1,1,0.3891347443399152,0.0010449320794148381,17.916666666666668,333413.72638321866,6,4
single,901,ATE-N,N,cpu,6,12,1,6,1,15360.0,12.0,1.0,1440,0,2.340062666007725,2.601723736006533,2.7169320001121378,10.673400998712168,10.935136939224321,11.050265333324205,8.333333333333334,8.333333333333334,28.14439445702798,5.5881831680000005,12.026265018999766,0.7775161645532804,160.65066666666667,84.48,2949.1200000000003,18.3573467897218,2,128,4568.1875,4904,1066.359375,0.375,7.58203125,0.631578947368421,0.631578947368421,1.0,0.46153846153846156,0.3333333333333333,3,1,0,0,0.001394700139470014,0.0,8.333333333333334,833353.25,6,1
single,907,ATE-N,N,cpu,6,12,1,6,1,15360.0,10.0,1.0,1200,0,2.346200500142004,2.654065157566947,4.380722333735321,10.679536000679946,10.987515980777971,12.714055666947388,8.333333333333334,8.333333333333334,28.30153317596341,4.667793983999999,10.024086911998893,0.7777008113028614,161.0624,84.48,2949.12,18.310418819041566,2,109,4563.0091743119265,4824,1062.467889908257,0.3211009174311927,7.574923547400611,1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
single,971,ATE-N,N,cpu,6,12,1,6,1,20000.0,0.23405,1.0,28,0,2.5400200001968187,2.607343571180536,2.6142310016439296,10.880643001655699,11.437835720207657,11.613200000283541,8.333333333333334,6.4,30.124857006480198,0.11717459200000135,0.24273468400133424,0.7962886852299212,2966.887417218543,84.22132023071993,3840.0,1.2942857142857143,1,16,4479.3125,4784,944.5,0.0,2.9375,0.9,0.8857142857142857,1.0,0.8181818181818182,1.0,3,3,0,0,0.06587615283267458,0.0,5.555555555555556,500004.06944444444,6,3
