09-18-2026 21:17:47 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49C/49.781C soc2@49C/49.125C soc0@49.25C/49.312C gpu@49.468C/49.718C tj@49.468C/49.781C soc1@48.093C/48.312C VDD_IN 3979mW/4612mW/5811mW VDD_CPU_GPU_CV 922mW/1253mW/1907mW VDD_SOC 1284mW/1334mW/1433mW
09-18-2026 21:17:47 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,72%@1497] GR3D_FREQ 14% cpu@49.125C/49.781C soc2@48.875C/49.125C soc0@49.062C/49.312C gpu@49.218C/49.718C tj@49.375C/49.781C soc1@48.093C/48.312C VDD_IN 4133mW/4580mW/5811mW VDD_CPU_GPU_CV 1041mW/1238mW/1907mW VDD_SOC 1282mW/1331mW/1433mW
09-18-2026 21:17:47 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,100%@1497] GR3D_FREQ 16% cpu@49.281C/49.781C soc2@48.937C/49.125C soc0@49.093C/49.312C gpu@49.718C/49.718C tj@49.718C/49.781C soc1@48.25C/48.312C VDD_IN 4326mW/4564mW/5811mW VDD_CPU_GPU_CV 1160mW/1234mW/1907mW VDD_SOC 1282mW/1328mW/1433mW
09-18-2026 21:17:47 RAM 3530/7486MB (lfb 14x4MB) CPU [54%@1497,0%@1497,0%@1497,0%@1497,0%@1497,45%@1497] GR3D_FREQ 15% cpu@49.093C/49.781C soc2@48.937C/49.125C soc0@49.062C/49.312C gpu@49.406C/49.718C tj@49.406C/49.781C soc1@48C/48.312C VDD_IN 4440mW/4557mW/5811mW VDD_CPU_GPU_CV 1240mW/1234mW/1907mW VDD_SOC 1320mW/1327mW/1433mW
09-18-2026 21:17:47 RAM 3530/7486MB (lfb 14x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 18% cpu@49.343C/49.781C soc2@49.031C/49.125C soc0@49.125C/49.312C gpu@49.156C/49.718C tj@49.343C/49.781C soc1@48.062C/48.312C VDD_IN 4560mW/4557mW/5811mW VDD_CPU_GPU_CV 1317mW/1239mW/1907mW VDD_SOC 1317mW/1327mW/1433mW
09-18-2026 21:17:47 RAM 3530/7486MB (lfb 14x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@49.437C/49.781C soc2@49.093C/49.125C soc0@49.031C/49.312C gpu@49.687C/49.718C tj@49.687C/49.781C soc1@48.062C/48.312C VDD_IN 4632mW/4561mW/5811mW VDD_CPU_GPU_CV 1357mW/1245mW/1907mW VDD_SOC 1317mW/1326mW/1433mW
09-18-2026 21:17:47 RAM 3530/7486MB (lfb 14x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@49.468C/49.781C soc2@49.093C/49.125C soc0@49.031C/49.312C gpu@49.375C/49.718C tj@49.468C/49.781C soc1@48.187C/48.312C VDD_IN 4672mW/4567mW/5811mW VDD_CPU_GPU_CV 1395mW/1252mW/1907mW VDD_SOC 1315mW/1325mW/1433mW
09-18-2026 21:17:48 RAM 3530/7486MB (lfb 14x4MB) CPU [60%@1497,0%@1497,45%@1497,9%@1497,40%@1497,0%@1497] GR3D_FREQ 31% cpu@49.156C/49.781C soc2@49.093C/49.125C soc0@49.062C/49.312C gpu@49.375C/49.718C tj@49.375C/49.781C soc1@48.25C/48.312C VDD_IN 4824mW/4579mW/5811mW VDD_CPU_GPU_CV 1475mW/1263mW/1907mW VDD_SOC 1355mW/1327mW/1433mW
09-18-2026 21:17:48 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,8%@1497,100%@1497,0%@1497] GR3D_FREQ 18% cpu@49.218C/49.781C soc2@48.937C/49.125C soc0@49.187C/49.312C gpu@49.593C/49.718C tj@49.593C/49.781C soc1@48C/48.312C VDD_IN 4864mW/4592mW/5811mW VDD_CPU_GPU_CV 1475mW/1273mW/1907mW VDD_SOC 1355mW/1328mW/1433mW
09-18-2026 21:17:48 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] GR3D_FREQ 14% cpu@49.437C/49.781C soc2@48.968C/49.125C soc0@49C/49.312C gpu@49.406C/49.718C tj@49.437C/49.781C soc1@48.093C/48.312C VDD_IN 4864mW/4604mW/5811mW VDD_CPU_GPU_CV 1512mW/1283mW/1907mW VDD_SOC 1355mW/1329mW/1433mW
09-18-2026 21:17:48 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] GR3D_FREQ 15% cpu@49.25C/49.781C soc2@48.875C/49.125C soc0@49C/49.312C gpu@49.25C/49.718C tj@49.25C/49.781C soc1@48.062C/48.312C VDD_IN 4904mW/4616mW/5811mW VDD_CPU_GPU_CV 1512mW/1292mW/1907mW VDD_SOC 1355mW/1330mW/1433mW
09-18-2026 21:17:48 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,8%@1497,0%@1497,0%@1497,100%@1497,0%@1497] GR3D_FREQ 15% cpu@49.281C/49.781C soc2@49C/49.125C soc0@49.031C/49.312C gpu@49.531C/49.718C tj@49.531C/49.781C soc1@48.25C/48.312C VDD_IN 4904mW/4628mW/5811mW VDD_CPU_GPU_CV 1512mW/1301mW/1907mW VDD_SOC 1353mW/1331mW/1433mW
09-18-2026 21:17:48 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] GR3D_FREQ 17% cpu@49.156C/49.781C soc2@48.843C/49.125C soc0@49.156C/49.312C gpu@49.406C/49.718C tj@49.406C/49.781C soc1@48.031C/48.312C VDD_IN 4944mW/4640mW/5811mW VDD_CPU_GPU_CV 1552mW/1311mW/1907mW VDD_SOC 1353mW/1332mW/1433mW
09-18-2026 21:17:48 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,100%@1497,0%@1497] GR3D_FREQ 14% cpu@49.406C/49.781C soc2@48.937C/49.125C soc0@49.218C/49.312C gpu@49.312C/49.718C tj@49.406C/49.781C soc1@48C/48.312C VDD_IN 4984mW/4653mW/5811mW VDD_CPU_GPU_CV 1552mW/1320mW/1907mW VDD_SOC 1353mW/1333mW/1433mW
09-18-2026 21:17:48 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] GR3D_FREQ 15% cpu@49.531C/49.781C soc2@48.937C/49.125C soc0@49.031C/49.312C gpu@49.562C/49.718C tj@49.562C/49.781C soc1@48.031C/48.312C VDD_IN 4944mW/4663mW/5811mW VDD_CPU_GPU_CV 1552mW/1328mW/1907mW VDD_SOC 1353mW/1334mW/1433mW
09-18-2026 21:17:48 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] GR3D_FREQ 15% cpu@49.343C/49.781C soc2@49C/49.125C soc0@49.031C/49.312C gpu@49.406C/49.718C tj@49.406C/49.781C soc1@48.125C/48.312C VDD_IN 4944mW/4673mW/5811mW VDD_CPU_GPU_CV 1552mW/1336mW/1907mW VDD_SOC 1353mW/1334mW/1433mW
09-18-2026 21:17:48 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,9%@1497,18%@1497,100%@1497,0%@1497] GR3D_FREQ 15% cpu@49.187C/49.781C soc2@48.906C/49.125C soc0@49.062C/49.312C gpu@49.343C/49.718C tj@49.343C/49.781C soc1@47.968C/48.312C VDD_IN 4984mW/4683mW/5811mW VDD_CPU_GPU_CV 1552mW/1343mW/1907mW VDD_SOC 1353mW/1335mW/1433mW
09-18-2026 21:17:49 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,40%@1497,60%@1497,100%@1497,0%@1497] GR3D_FREQ 16% cpu@49.531C/49.781C soc2@49C/49.125C soc0@49.062C/49.312C gpu@49.562C/49.718C tj@49.562C/49.781C soc1@47.968C/48.312C VDD_IN 5095mW/4696mW/5811mW VDD_CPU_GPU_CV 1671mW/1354mW/1907mW VDD_SOC 1353mW/1335mW/1433mW
09-18-2026 21:17:49 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,100%@1497,0%@1497] GR3D_FREQ 15% cpu@49.562C/49.781C soc2@48.968C/49.125C soc0@49.031C/49.312C gpu@49.281C/49.718C tj@49.562C/49.781C soc1@48.031C/48.312C VDD_IN 5135mW/4710mW/5811mW VDD_CPU_GPU_CV 1711mW/1365mW/1907mW VDD_SOC 1353mW/1336mW/1433mW
09-18-2026 21:17:49 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] GR3D_FREQ 15% cpu@49.312C/49.781C soc2@48.937C/49.125C soc0@49.031C/49.312C gpu@49.375C/49.718C tj@49.375C/49.781C soc1@48.125C/48.312C VDD_IN 5095mW/4722mW/5811mW VDD_CPU_GPU_CV 1671mW/1374mW/1907mW VDD_SOC 1353mW/1337mW/1433mW
09-18-2026 21:17:49 RAM 3529/7486MB (lfb 14x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] GR3D_FREQ 14% cpu@49.156C/49.781C soc2@49C/49.125C soc0@49.062C/49.312C gpu@49.468C/49.718C tj@49.468C/49.781C soc1@48.125C/48.312C VDD_IN 5055mW/4732mW/5811mW VDD_CPU_GPU_CV 1632mW/1382mW/1907mW VDD_SOC 1353mW/1337mW/1433mW
09-18-2026 21:17:49 RAM 3529/7486MB (lfb 14x4MB) CPU [100%@1497,0%@1497,9%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 15% cpu@49.343C/49.781C soc2@48.937C/49.125C soc0@49.062C/49.312C gpu@49.343C/49.718C tj@49.343C/49.781C soc1@48C/48.312C VDD_IN 5015mW/4740mW/5811mW VDD_CPU_GPU_CV 1632mW/1389mW/1907mW VDD_SOC 1353mW/1337mW/1433mW
09-18-2026 21:17:49 RAM 3529/7486MB (lfb 14x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 18% cpu@49.343C/49.781C soc2@49.062C/49.125C soc0@49.125C/49.312C gpu@49.218C/49.718C tj@49.343C/49.781C soc1@47.968C/48.312C VDD_IN 4984mW/4747mW/5811mW VDD_CPU_GPU_CV 1592mW/1394mW/1907mW VDD_SOC 1353mW/1338mW/1433mW
09-18-2026 21:17:49 RAM 3529/7486MB (lfb 14x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@49.468C/49.781C soc2@49.031C/49.125C soc0@49C/49.312C gpu@49.281C/49.718C tj@49.343C/49.781C soc1@48.156C/48.312C VDD_IN 4984mW/4753mW/5811mW VDD_CPU_GPU_CV 1592mW/1400mW/1907mW VDD_SOC 1353mW/1338mW/1433mW
09-18-2026 21:17:49 RAM 3529/7486MB (lfb 14x4MB) CPU [100%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@49.312C/49.781C soc2@49C/49.125C soc0@49.062C/49.312C gpu@49.281C/49.718C tj@49.312C/49.781C soc1@47.968C/48.312C VDD_IN 4944mW/4758mW/5811mW VDD_CPU_GPU_CV 1592mW/1405mW/1907mW VDD_SOC 1353mW/1339mW/1433mW
09-18-2026 21:17:49 RAM 3529/7486MB (lfb 14x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@49.312C/49.781C soc2@49C/49.125C soc0@49.125C/49.312C gpu@49.281C/49.718C tj@49.312C/49.781C soc1@48C/48.312C VDD_IN 4944mW/4763mW/5811mW VDD_CPU_GPU_CV 1552mW/1409mW/1907mW VDD_SOC 1353mW/1339mW/1433mW
09-18-2026 21:17:50 RAM 3529/7486MB (lfb 14x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@49.375C/49.781C soc2@49C/49.125C soc0@49.031C/49.312C gpu@49.218C/49.718C tj@49.375C/49.781C soc1@48.125C/48.312C VDD_IN 4944mW/4767mW/5811mW VDD_CPU_GPU_CV 1552mW/1412mW/1907mW VDD_SOC 1353mW/1339mW/1433mW
09-18-2026 21:17:50 RAM 3529/7486MB (lfb 14x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 14% cpu@49.312C/49.781C soc2@49.031C/49.125C soc0@49C/49.312C gpu@49.312C/49.718C tj@49.312C/49.781C soc1@48.125C/48.312C VDD_IN 4944mW/4772mW/5811mW VDD_CPU_GPU_CV 1552mW/1416mW/1907mW VDD_SOC 1353mW/1340mW/1433mW
09-18-2026 21:17:50 RAM 3529/7486MB (lfb 14x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@49.218C/49.781C soc2@48.937C/49.125C soc0@49.031C/49.312C gpu@49.187C/49.718C tj@49.218C/49.781C soc1@47.968C/48.312C VDD_IN 4904mW/4775mW/5811mW VDD_CPU_GPU_CV 1552mW/1419mW/1907mW VDD_SOC 1353mW/1340mW/1433mW
09-18-2026 21:17:50 RAM 3528/7486MB (lfb 14x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@49.218C/49.781C soc2@48.937C/49.125C soc0@49.062C/49.312C gpu@49.218C/49.718C tj@49.218C/49.781C soc1@47.968C/48.312C VDD_IN 4904mW/4778mW/5811mW VDD_CPU_GPU_CV 1552mW/1422mW/1907mW VDD_SOC 1353mW/1340mW/1433mW
09-18-2026 21:17:50 RAM 3528/7486MB (lfb 14x4MB) CPU [100%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@49.25C/49.781C soc2@49C/49.125C soc0@48.968C/49.312C gpu@49.593C/49.718C tj@49.593C/49.781C soc1@48.031C/48.312C VDD_IN 4904mW/4781mW/5811mW VDD_CPU_GPU_CV 1552mW/1425mW/1907mW VDD_SOC 1353mW/1341mW/1433mW
09-18-2026 21:17:50 RAM 3528/7486MB (lfb 14x4MB) CPU [100%@1497,16%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@49.187C/49.781C soc2@49C/49.125C soc0@49.031C/49.312C gpu@49.281C/49.718C tj@49.281C/49.781C soc1@48.125C/48.312C VDD_IN 4904mW/4783mW/5811mW VDD_CPU_GPU_CV 1552mW/1428mW/1907mW VDD_SOC 1353mW/1341mW/1433mW
09-18-2026 21:17:50 RAM 3528/7486MB (lfb 14x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 14% cpu@49.281C/49.781C soc2@48.968C/49.125C soc0@49.031C/49.312C gpu@49.187C/49.718C tj@49.281C/49.781C soc1@48.187C/48.312C VDD_IN 4904mW/4786mW/5811mW VDD_CPU_GPU_CV 1552mW/1430mW/1907mW VDD_SOC 1353mW/1341mW/1433mW
09-18-2026 21:17:50 RAM 3528/7486MB (lfb 14x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@49.218C/49.781C soc2@48.968C/49.125C soc0@49.093C/49.312C gpu@49.562C/49.718C tj@49.562C/49.781C soc1@47.968C/48.312C VDD_IN 4904mW/4788mW/5811mW VDD_CPU_GPU_CV 1552mW/1433mW/1907mW VDD_SOC 1353mW/1341mW/1433mW
09-18-2026 21:17:50 RAM 3528/7486MB (lfb 14x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 16% cpu@49.312C/49.781C soc2@49.031C/49.125C soc0@49.187C/49.312C gpu@49.375C/49.718C tj@49.375C/49.781C soc1@48C/48.312C VDD_IN 4944mW/4792mW/5811mW VDD_CPU_GPU_CV 1552mW/1436mW/1907mW VDD_SOC 1353mW/1342mW/1433mW
