Time,Raw,Mag,Freq,ROCOF,EstV,LSE,Trig,Gated
3776.0417,19725.1804,18430.6793,60.0000,0.0000,18319.8925,1974834.0783,0,0.0000
3841.1458,19798.0553,18511.4509,60.0000,0.0000,18439.2828,1846262.5901,0,0.0000
3906.2500,19870.9302,18589.8860,60.0000,0.0000,18548.3779,1749144.4900,0,0.0000
3971.3542,19934.4680,18665.9928,60.0000,0.0000,18646.8051,1658075.6540,0,0.0000
4036.4583,19999.3721,18739.7990,60.0000,0.0000,18734.4950,1599914.2928,0,0.0000
4101.5625,20060.8603,18811.3270,60.0000,0.0000,18811.2798,1561451.5307,0,0.0000
4166.6667,20104.5853,18880.5839,60.0000,0.0000,18877.0181,1506921.0211,0,0.0000
4231.7708,20133.9629,18947.5793,60.0000,0.0000,18931.5228,1445862.2780,0,0.0000
4296.8750,20162.8852,19012.3385,60.0000,0.0000,18974.7110,1411757.8107,0,0.0000
4361.9792,20193.1738,19074.9006,60.0000,0.0000,19006.4837,1408233.3695,0,0.0000
4427.0833,20213.6698,19135.2903,60.0000,0.0000,19026.5872,1409165.3001,0,0.0000
4492.1875,20225.7397,19193.5260,60.0000,0.0000,19035.1316,1417547.6997,0,0.0000
4557.2917,20230.0667,19249.6351,60.0000,0.0000,19031.9250,1435543.4728,0,0.0000
4622.3958,20216.8581,19303.6409,60.0000,0.0000,19016.8796,1439948.4849,0,0.0000
4687.5000,20189.0746,19355.5640,60.0000,0.0000,18990.0119,1437751.2252,0,0.0000
4752.6042,20155.3699,19405.4375,60.0000,0.0000,18951.0818,1450309.9081,0,0.0000
4817.7083,20131.2301,19453.3149,60.0000,0.0000,18900.1470,1515565.5836,0,0.0000
4882.8125,20108.6845,19499.2398,60.0000,0.0000,18837.1798,1616724.2128,0,0.0000
4947.9167,20057.6721,19543.2293,60.0000,0.0000,18762.4709,1677545.9822,0,0.0000
5013.0208,19994.8175,19585.3130,60.0000,0.0000,18675.7183,1740022.6774,0,0.0000
5078.1250,19916.7047,19625.5212,60.0000,0.0000,18576.8017,1795340.1591,0,0.0000
5143.2292,19798.9662,19663.8669,60.0000,0.0000,18465.9183,1777016.7538,0,0.0000
5208.3333,19671.2075,19700.3804,60.0000,0.0000,18342.9763,1764198.0127,0,0.0000
5273.4375,19520.9030,19735.0847,60.0000,0.0000,18207.9904,1723739.5791,0,0.0000
5338.5417,19319.8139,19767.9837,60.0000,0.0000,18060.9677,1584693.6282,0,0.0000
5403.6458,19098.9119,19799.1064,60.0000,0.0000,17901.9506,1432716.2716,0,0.0000
5468.7500,18857.9693,19828.4832,60.0000,0.0000,17731.5339,1268856.8652,0,0.0000
5533.8542,18575.3514,19856.1259,60.0000,0.0000,17548.7066,1053999.6013,0,0.0000
5598.9583,18270.8711,19882.0651,60.0000,0.0000,17354.6518,839457.7195,0,0.0000
5664.0625,17971.4009,19906.3566,60.0000,0.0000,17148.9312,676456.3485,0,0.0000
5729.1667,17690.3771,19929.0727,60.0000,0.0000,16931.6791,575622.7324,0,0.0000
5794.2708,17428.2553,19950.2853,60.0000,0.0000,16703.0293,525952.7339,0,0.0000
5859.3750,17175.2428,19970.0571,60.0000,0.0000,16463.1187,507120.7626,0,0.0000
5924.4792,16931.5674,19988.4496,60.0000,0.0000,16212.0908,517646.6252,0,0.0000
5989.5833,16693.5854,20005.5187,60.0000,0.0000,15950.8290,551687.0757,0,0.0000
6054.6875,16446.0385,20021.3135,60.0000,0.0000,15678.7925,588666.5083,0,0.0000
6119.7917,16186.1941,20035.8764,60.0000,0.0000,15395.3491,625435.8042,0,0.0000
6184.8958,15914.7351,20049.2473,60.0000,0.0000,15103.0038,658907.7661,0,0.0000
6250.0000,15624.1465,20061.4661,60.0000,0.0000,14799.5742,679919.6152,0,0.0000
6315.1042,15298.7147,20072.5584,60.0000,0.0000,14486.8535,659118.5123,0,0.0000
6380.2083,14940.4891,20082.5495,60.0000,0.0000,14163.3069,604012.1110,0,0.0000
6445.3125,14556.7573,20091.4721,60.0000,0.0000,13830.8967,526873.5355,0,0.0000
6510.4167,14133.8552,20099.3489,60.0000,0.0000,13489.8387,414757.3413,0,0.0000
6575.5208,13695.2396,20106.2210,60.0000,0.0000,13138.5385,309916.1179,0,0.0000
6640.6250,13269.8324,20112.1524,60.0000,0.0000,12778.1120,241789.0232,0,0.0000
6705.7292,12833.4941,20117.1856,60.0000,0.0000,12409.7440,179564.1245,0,0.0000
6770.8333,12388.5019,20121.3633,60.0000,0.0000,12032.7287,126574.5599,0,0.0000
6835.9375,11951.4803,20124.7455,60.0000,0.0000,11648.3069,91914.1354,0,0.0000
6901.0417,11515.1420,20127.3848,60.0000,0.0000,11254.7316,67813.5897,0,0.0000
6966.1458,11080.8532,20129.3304,60.0000,0.0000,10854.2635,51342.9193,0,0.0000
7031.2500,10645.4258,20130.6305,60.0000,0.0000,10446.1470,39712.0349,0,0.0000
7096.3542,10206.3547,20131.3308,60.0000,0.0000,10031.6952,30505.9237,0,0.0000
7161.4583,9775.2542,20131.4813,60.0000,0.0000,9609.0466,27624.9715,0,0.0000
7226.5625,9345.0647,20131.1249,60.0000,0.0000,9181.6938,26690.0632,0,0.0000
7291.6667,8898.9338,20130.2977,60.0000,0.0000,8746.6524,23189.6095,0,0.0000
7356.7708,8433.9010,20129.0284,60.0000,0.0000,8306.3778,16262.1613,0,0.0000
7421.8750,7946.5502,20127.3552,60.0000,0.0000,7860.0394,7484.1107,0,0.0000
7486.9792,7441.6639,20125.3159,60.0000,0.0000,7409.0463,1063.9070,0,0.0000
7552.0833,6924.9355,20122.9514,60.0000,0.0000,6952.5493,762.5255,0,0.0000
7617.1875,6401.3750,20120.3041,60.0000,0.0000,6490.8218,8000.7244,0,0.0000
7682.2917,5874.1708,20117.4155,60.0000,0.0000,6025.3113,22843.4454,0,0.0000
7747.3958,5336.4908,20114.3246,60.0000,0.0000,5555.1413,47808.0453,0,0.0000
7812.5000,4798.8108,20111.0714,60.0000,0.0000,5081.7786,80070.7554,0,0.0000
7877.6042,4259.5367,20107.6937,60.0000,0.0000,4604.3305,118882.7352,0,0.0000
7942.7083,3721.8568,20104.2306,60.0000,0.0000,4123.0785,160978.8785,0,0.0000
8007.8125,3205.1283,20100.7245,60.0000,0.0000,3639.5134,188690.4200,0,0.0000
8072.9167,2696.1428,20097.2116,60.0000,0.0000,3152.7232,208465.6658,0,0.0000
8138.0208,2185.7909,20093.7255,60.0000,0.0000,2664.2078,228882.6983,0,0.0000
8203.1250,1684.3207,20090.3015,60.0000,0.0000,2173.0449,238851.3360,0,0.0000
8268.2292,1189.4547,20086.9735,60.0000,0.0000,1680.7419,241363.1776,0,0.0000
8333.3333,697.3215,20083.7747,60.0000,0.0000,1186.3687,239167.1894,0,0.0000
8398.4375,206.5547,20080.6550,60.5968,9167.3247,688.9842,232738.1823,0,0.0000
8463.5417,-282.8456,20077.7796,60.4476,-2291.8336,192.5586,226009.1992,0,0.0000
8528.6458,-769.7409,20075.1540,60.5968,2291.8336,-305.0714,215917.7296,0,0.0000
8593.7500,-1256.8639,20072.7830,60.4476,-2291.8315,-801.1699,207657.0395,0,0.0000
8658.8542,-1747.4030,20070.6700,60.4476,0.0003,-1296.6781,203152.9091,0,0.0000
