Time µs,Current.Ia,Current.Ib,Current.Ic,Current.In,Voltage.Va,Voltage.Vb,Voltage.Vc
1176422400000000000,96.2351913452148,-0.048310998827219,-161.068328857422,-62.1277389526367,6526.939453125,4510.97021484375,-11065.6435546875
1176422400000065024,99.2304611206055,-2.12567710876465,-160.48860168457,-60.3885498046875,6741.74755859375,4240.19091796875,-11045.9775390625
1176422400000130048,102.46728515625,-3.67162394523621,-159.474075317383,-57.5865211486816,6953.5302734375,3971.4287109375,-11021.7734375
1176422400000195072,105.559181213379,-4.68615198135376,-157.928131103516,-53.963207244873,7162.287109375,3699.13671875,-10994.544921875
1176422400000260096,108.506141662598,-5.26588201522827,-155.850769042969,-49.4702987670898,7368.01904296875,3426.34057617188,-10961.7685546875
1176422400000325120,111.404792785645,-5.65236806869507,-153.097045898438,-44.1561050415039,7572.23779296875,3155.05712890625,-10923.9501953125
1176422400000389888,114.110198974609,-6.03885507583618,-149.666976928711,-38.3104934692383,7772.4228515625,2884.7822265625,-10881.08984375
1176422400000454912,116.863922119141,-6.42534208297729,-145.512252807617,-31.8851528167725,7970.0869140625,2615.515625,-10829.65625
1176422400000519936,119.327774047852,-7.10169315338135,-140.922714233398,-25.3148803710938,8161.1953125,2347.25756835938,-10769.6513671875
1176422400000584960,121.839935302734,-8.01959896087646,-135.753463745117,-18.7446060180664,8349.783203125,2082.529296875,-10702.0830078125
1176422400000649984,124.110542297363,-9.17905902862549,-130.342636108398,-12.1260204315186,8533.328125,1819.81799316406,-10625.4375
1176422400000715008,126.33283996582,-10.4834518432617,-125.028450012207,-5.94223308563232,8712.8388671875,1562.6533203125,-10538.203125
1176422400000780032,128.361892700195,-11.7395334243774,-119.859191894531,0.0,8884.2822265625,1306.49719238281,-10440.3798828125
1176422400000845056,130.246017456055,-13.0439262390137,-115.221351623535,5.26588201522827,9051.69140625,1052.35803222656,-10333.984375
1176422400000910080,132.178451538086,-14.3000078201294,-110.969993591309,10.0003433227539,9215.5703125,797.714599609375,-10217.0
1176422400000975104,134.110885620117,-15.7493333816528,-107.539924621582,14.0101432800293,9374.4072265625,545.592407226563,-10094.46875
1176422400001039872,135.898391723633,-17.2469692230225,-104.737899780273,17.1020374298096,9527.697265625,291.453247070313,-9964.8779296875
1176422400001104896,137.830825805664,-19.1310920715332,-102.46728515625,19.3726463317871,9675.9453125,36.8098411560059,-9828.2275390625
1176422400001169920,139.666641235352,-21.4500122070313,-100.776412963867,20.5321063995361,9819.6552734375,-217.833572387695,-9687.54296875
1176422400001234944,141.405822753906,-24.4452838897705,-99.2304611206055,20.8219718933105,9956.3056640625,-473.989715576172,-9542.3203125
1176422400001299968,142.61360168457,-27.7787322998047,-97.7328262329102,20.0489978790283,10085.896484375,-730.650146484375,-9391.0478515625
1176422400001364992,143.531494140625,-31.6435985565186,-96.1385726928711,18.5996723175049,10208.427734375,-984.789306640625,-9234.2275390625
1176422400001430016,143.821365356445,-35.9915733337402,-94.1578216552734,16.5223064422607,10321.3779296875,-1240.94543457031,-9073.8779296875
1176422400001495040,143.531494140625,-40.4844818115234,-91.6456604003906,14.2033863067627,10424.244140625,-1496.59729003906,-8908.4853515625
1176422400001560064,142.806838989258,-45.1223220825195,-88.843635559082,11.6429119110107,10520.05078125,-1753.25769042969,-8735.025390625
1176422400001625088,141.79231262207,-49.6635437011719,-85.5584945678711,9.227370262146,10607.28515625,-2008.40539550781,-8550.9765625
1176422400001690112,140.874404907227,-54.3980026245117,-82.0318069458008,7.1500039100647,10684.4345703125,-2264.5615234375,-8359.36328125
1176422400001754880,140.294677734375,-58.7942924499512,-78.1669387817383,5.84561204910278,10752.0029296875,-2521.72607421875,-8163.21240234375
1176422400001819904,140.294677734375,-63.1422653198242,-74.5919342041016,4.97601699829102,10812.0078125,-2780.90771484375,-7959.49755859375
1176422400001884928,140.97102355957,-67.1037521362305,-71.2101745605469,4.97601699829102,10864.44921875,-3039.58520507813,-7750.236328125
1176422400001949952,142.420349121094,-70.8236923217773,-68.0216598510742,5.89392185211182,10909.3271484375,-3299.775390625,-7534.41943359375
1176422400002014976,144.594345092773,-73.9638977050781,-65.3162536621094,7.3915581703186,10949.6669921875,-3558.95678710938,-7313.560546875
1176422400002080000,147.203125,-76.6209869384766,-62.9490242004395,9.71047878265381,10985.97265625,-3819.14697265625,-7088.16357421875
1176422400002145024,150.150085449219,-78.7949752807617,-60.7267227172852,12.7057504653931,11016.2275390625,-4075.80737304688,-6862.26171875
