09-18-2026 21:04:25 RAM 3428/7486MB (lfb 45x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.218C/48.031C soc2@47.156C/47.312C soc0@47.281C/47.531C gpu@47.687C/47.812C tj@47.687C/48.031C soc1@46.312C/46.5C VDD_IN 4432mW/5004mW/5772mW VDD_CPU_GPU_CV 918mW/1340mW/1987mW VDD_SOC 1317mW/1364mW/1433mW
09-18-2026 21:04:25 RAM 3428/7486MB (lfb 45x4MB) CPU [58%@1497,50%@1497,53%@1497,50%@1497,45%@1497,45%@1497] GR3D_FREQ 0% cpu@47.562C/48.031C soc2@47.125C/47.312C soc0@47.375C/47.531C gpu@47.281C/47.812C tj@47.656C/48.031C soc1@46.281C/46.5C VDD_IN 4752mW/4987mW/5772mW VDD_CPU_GPU_CV 1196mW/1330mW/1987mW VDD_SOC 1357mW/1363mW/1433mW
09-18-2026 21:04:25 RAM 3428/7486MB (lfb 45x4MB) CPU [63%@1497,63%@1497,58%@1497,63%@1497,66%@1497,54%@1497] GR3D_FREQ 0% cpu@48.031C/48.031C soc2@47.218C/47.312C soc0@47.312C/47.531C gpu@47.437C/47.812C tj@48.031C/48.031C soc1@46.375C/46.5C VDD_IN 5111mW/4995mW/5772mW VDD_CPU_GPU_CV 1515mW/1342mW/1987mW VDD_SOC 1355mW/1363mW/1433mW
09-18-2026 21:04:25 RAM 3428/7486MB (lfb 45x4MB) CPU [63%@1497,66%@1497,60%@1497,66%@1497,66%@1497,63%@1497] GR3D_FREQ 0% cpu@47.843C/48.031C soc2@47.25C/47.312C soc0@47.375C/47.531C gpu@47.375C/47.812C tj@47.843C/48.031C soc1@46.406C/46.5C VDD_IN 5382mW/5017mW/5772mW VDD_CPU_GPU_CV 1751mW/1366mW/1987mW VDD_SOC 1355mW/1362mW/1433mW
09-18-2026 21:04:25 RAM 3428/7486MB (lfb 45x4MB) CPU [66%@1497,63%@1497,58%@1497,63%@1497,63%@1497,54%@1497] GR3D_FREQ 0% cpu@48.031C/48.031C soc2@47.312C/47.312C soc0@47.406C/47.531C gpu@47.468C/47.812C tj@48.031C/48.031C soc1@46.25C/46.5C VDD_IN 5582mW/5049mW/5772mW VDD_CPU_GPU_CV 1950mW/1398mW/1987mW VDD_SOC 1353mW/1362mW/1433mW
09-18-2026 21:04:26 RAM 3428/7486MB (lfb 45x4MB) CPU [63%@1497,66%@1497,54%@1497,70%@1497,63%@1497,66%@1497] GR3D_FREQ 0% cpu@47.906C/48.031C soc2@47.406C/47.406C soc0@47.312C/47.531C gpu@47.625C/47.812C tj@47.906C/48.031C soc1@46.343C/46.5C VDD_IN 5741mW/5085mW/5772mW VDD_CPU_GPU_CV 2070mW/1434mW/2070mW VDD_SOC 1393mW/1363mW/1433mW
09-18-2026 21:04:26 RAM 3428/7486MB (lfb 45x4MB) CPU [70%@1497,63%@1497,60%@1497,58%@1497,54%@1497,58%@1497] GR3D_FREQ 0% cpu@48.062C/48.062C soc2@47.281C/47.406C soc0@47.312C/47.531C gpu@47.375C/47.812C tj@48.062C/48.062C soc1@46.343C/46.5C VDD_IN 5851mW/5123mW/5851mW VDD_CPU_GPU_CV 2185mW/1471mW/2185mW VDD_SOC 1393mW/1365mW/1433mW
09-18-2026 21:04:26 RAM 3428/7486MB (lfb 45x4MB) CPU [63%@1497,63%@1497,54%@1497,60%@1497,60%@1497,60%@1497] GR3D_FREQ 0% cpu@47.843C/48.062C soc2@47.281C/47.406C soc0@47.406C/47.531C gpu@47.437C/47.812C tj@47.843C/48.062C soc1@46.531C/46.531C VDD_IN 5931mW/5162mW/5931mW VDD_CPU_GPU_CV 2265mW/1509mW/2265mW VDD_SOC 1393mW/1366mW/1433mW
09-18-2026 21:04:26 RAM 3428/7486MB (lfb 45x4MB) CPU [63%@1497,70%@1497,60%@1497,63%@1497,54%@1497,63%@1497] GR3D_FREQ 0% cpu@48.187C/48.187C soc2@47.375C/47.406C soc0@47.281C/47.531C gpu@47.437C/47.812C tj@48.187C/48.187C soc1@46.312C/46.531C VDD_IN 6011mW/5201mW/6011mW VDD_CPU_GPU_CV 2305mW/1545mW/2305mW VDD_SOC 1393mW/1367mW/1433mW
09-18-2026 21:04:26 RAM 3428/7486MB (lfb 45x4MB) CPU [63%@1497,63%@1497,54%@1497,66%@1497,60%@1497,63%@1497] GR3D_FREQ 0% cpu@47.937C/48.187C soc2@47.343C/47.406C soc0@47.437C/47.531C gpu@47.531C/47.812C tj@47.937C/48.187C soc1@46.312C/46.531C VDD_IN 6050mW/5237mW/6050mW VDD_CPU_GPU_CV 2344mW/1580mW/2344mW VDD_SOC 1393mW/1369mW/1433mW
09-18-2026 21:04:26 RAM 3428/7486MB (lfb 45x4MB) CPU [66%@1497,54%@1497,60%@1497,63%@1497,58%@1497,60%@1497] GR3D_FREQ 0% cpu@48.031C/48.187C soc2@47.437C/47.437C soc0@47.312C/47.531C gpu@47.656C/47.812C tj@48.031C/48.187C soc1@46.375C/46.531C VDD_IN 6090mW/5273mW/6090mW VDD_CPU_GPU_CV 2384mW/1614mW/2384mW VDD_SOC 1393mW/1370mW/1433mW
09-18-2026 21:04:26 RAM 3428/7486MB (lfb 45x4MB) CPU [63%@1497,72%@1497,58%@1497,60%@1497,50%@1497,58%@1497] GR3D_FREQ 0% cpu@47.968C/48.187C soc2@47.375C/47.437C soc0@47.406C/47.531C gpu@47.562C/47.812C tj@47.968C/48.187C soc1@46.312C/46.531C VDD_IN 6130mW/5307mW/6130mW VDD_CPU_GPU_CV 2424mW/1646mW/2424mW VDD_SOC 1393mW/1371mW/1433mW
09-18-2026 21:04:26 RAM 3428/7486MB (lfb 45x4MB) CPU [63%@1497,58%@1497,63%@1497,63%@1497,63%@1497,63%@1497] GR3D_FREQ 0% cpu@47.937C/48.187C soc2@47.406C/47.437C soc0@47.468C/47.531C gpu@47.75C/47.812C tj@47.937C/48.187C soc1@46.5C/46.531C VDD_IN 6130mW/5339mW/6130mW VDD_CPU_GPU_CV 2424mW/1676mW/2424mW VDD_SOC 1393mW/1371mW/1433mW
09-18-2026 21:04:26 RAM 3428/7486MB (lfb 45x4MB) CPU [66%@1497,66%@1497,61%@1497,61%@1497,58%@1497,69%@1497] GR3D_FREQ 16% cpu@48.093C/48.187C soc2@47.375C/47.437C soc0@47.406C/47.531C gpu@47.656C/47.812C tj@48.093C/48.187C soc1@46.312C/46.531C VDD_IN 6170mW/5370mW/6170mW VDD_CPU_GPU_CV 2464mW/1705mW/2464mW VDD_SOC 1391mW/1372mW/1433mW
09-18-2026 21:04:27 RAM 3428/7486MB (lfb 45x4MB) CPU [63%@1497,66%@1497,63%@1497,54%@1497,58%@1497,63%@1497] GR3D_FREQ 0% cpu@48.093C/48.187C soc2@47.406C/47.437C soc0@47.343C/47.531C gpu@47.781C/47.812C tj@48.093C/48.187C soc1@46.375C/46.531C VDD_IN 6170mW/5398mW/6170mW VDD_CPU_GPU_CV 2503mW/1734mW/2503mW VDD_SOC 1391mW/1373mW/1433mW
09-18-2026 21:04:27 RAM 3428/7486MB (lfb 45x4MB) CPU [63%@1497,60%@1497,63%@1497,60%@1497,60%@1497,58%@1497] GR3D_FREQ 0% cpu@47.968C/48.187C soc2@47.437C/47.437C soc0@47.406C/47.531C gpu@47.531C/47.812C tj@48.062C/48.187C soc1@46.312C/46.531C VDD_IN 6210mW/5426mW/6210mW VDD_CPU_GPU_CV 2503mW/1760mW/2503mW VDD_SOC 1391mW/1373mW/1433mW
09-18-2026 21:04:27 RAM 3427/7486MB (lfb 45x4MB) CPU [63%@1497,63%@1497,60%@1497,54%@1497,66%@1497,63%@1497] GR3D_FREQ 0% cpu@48.062C/48.187C soc2@47.468C/47.468C soc0@47.312C/47.531C gpu@47.968C/47.968C tj@48.062C/48.187C soc1@46.531C/46.531C VDD_IN 6210mW/5452mW/6210mW VDD_CPU_GPU_CV 2503mW/1785mW/2503mW VDD_SOC 1391mW/1374mW/1433mW
09-18-2026 21:04:27 RAM 3427/7486MB (lfb 45x4MB) CPU [66%@1497,63%@1497,54%@1497,54%@1497,60%@1497,60%@1497] GR3D_FREQ 0% cpu@48.031C/48.187C soc2@47.468C/47.468C soc0@47.375C/47.531C gpu@47.687C/47.968C tj@48.031C/48.187C soc1@46.375C/46.531C VDD_IN 6210mW/5477mW/6210mW VDD_CPU_GPU_CV 2503mW/1808mW/2503mW VDD_SOC 1391mW/1375mW/1433mW
09-18-2026 21:04:27 RAM 3427/7486MB (lfb 45x4MB) CPU [63%@1497,63%@1497,63%@1497,54%@1497,66%@1497,63%@1497] GR3D_FREQ 0% cpu@48.281C/48.281C soc2@47.468C/47.468C soc0@47.375C/47.531C gpu@47.562C/47.968C tj@48.281C/48.281C soc1@46.468C/46.531C VDD_IN 6210mW/5500mW/6210mW VDD_CPU_GPU_CV 2503mW/1830mW/2503mW VDD_SOC 1391mW/1375mW/1433mW
