09-18-2026 22:01:13 RAM 3338/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.187C/46.562C soc2@46.062C/46.218C soc0@46.562C/46.593C gpu@46.468C/46.531C tj@46.562C/46.593C soc1@45.281C/45.468C VDD_IN 4240mW/4412mW/4744mW VDD_CPU_GPU_CV 838mW/957mW/1196mW VDD_SOC 1317mW/1316mW/1317mW
09-18-2026 22:01:13 RAM 3337/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,40%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.312C/46.562C soc2@46.093C/46.218C soc0@46.406C/46.593C gpu@46.375C/46.531C tj@46.406C/46.593C soc1@45.343C/45.468C VDD_IN 4280mW/4403mW/4744mW VDD_CPU_GPU_CV 878mW/952mW/1196mW VDD_SOC 1317mW/1316mW/1317mW
09-18-2026 22:01:13 RAM 3337/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.562C/46.562C soc2@46.093C/46.218C soc0@46.375C/46.593C gpu@46.562C/46.562C tj@46.562C/46.593C soc1@45.406C/45.468C VDD_IN 4320mW/4398mW/4744mW VDD_CPU_GPU_CV 918mW/950mW/1196mW VDD_SOC 1317mW/1316mW/1317mW
09-19-2026 11:50:03 RAM 3397/7486MB (lfb 19x4MB) CPU [25%@1497,54%@1497,18%@1497,22%@1497,8%@1497,18%@1497] GR3D_FREQ 0% cpu@47.312C/47.312C soc2@47.031C/47.031C soc0@47.468C/47.468C gpu@47.281C/47.281C tj@47.468C/47.468C soc1@46.218C/46.218C VDD_IN 4744mW/4744mW/4744mW VDD_CPU_GPU_CV 1196mW/1196mW/1196mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 11:50:04 RAM 3397/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.312C soc2@47C/47.031C soc0@47.156C/47.468C gpu@47.281C/47.281C tj@47.281C/47.468C soc1@46.25C/46.25C VDD_IN 4672mW/4708mW/4744mW VDD_CPU_GPU_CV 1116mW/1156mW/1196mW VDD_SOC 1315mW/1335mW/1355mW
09-19-2026 11:50:04 RAM 3399/7486MB (lfb 19x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,10%@1497,0%@1497] GR3D_FREQ 0% cpu@46.937C/47.312C soc2@46.968C/47.031C soc0@47.218C/47.468C gpu@47.281C/47.281C tj@47.281C/47.468C soc1@46.312C/46.312C VDD_IN 4592mW/4669mW/4744mW VDD_CPU_GPU_CV 1076mW/1129mW/1196mW VDD_SOC 1315mW/1328mW/1355mW
09-19-2026 11:50:04 RAM 3399/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47C/47.312C soc2@46.906C/47.031C soc0@47.218C/47.468C gpu@47.25C/47.281C tj@47.312C/47.468C soc1@46.125C/46.312C VDD_IN 4512mW/4630mW/4744mW VDD_CPU_GPU_CV 1036mW/1106mW/1196mW VDD_SOC 1317mW/1326mW/1355mW
09-19-2026 11:50:04 RAM 3399/7486MB (lfb 19x4MB) CPU [0%@1497,8%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.031C/47.312C soc2@46.906C/47.031C soc0@47.343C/47.468C gpu@47.437C/47.437C tj@47.437C/47.468C soc1@46.25C/46.312C VDD_IN 4432mW/4590mW/4744mW VDD_CPU_GPU_CV 998mW/1084mW/1196mW VDD_SOC 1317mW/1324mW/1355mW
09-19-2026 11:50:04 RAM 3399/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.312C soc2@46.937C/47.031C soc0@47.156C/47.468C gpu@47.343C/47.437C tj@47.343C/47.468C soc1@46.25C/46.312C VDD_IN 4392mW/4557mW/4744mW VDD_CPU_GPU_CV 958mW/1063mW/1196mW VDD_SOC 1317mW/1323mW/1355mW
09-19-2026 11:50:04 RAM 3399/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.312C soc2@47.031C/47.031C soc0@47.312C/47.468C gpu@47.218C/47.437C tj@47.312C/47.468C soc1@46.312C/46.312C VDD_IN 4353mW/4528mW/4744mW VDD_CPU_GPU_CV 918mW/1043mW/1196mW VDD_SOC 1317mW/1322mW/1355mW
09-19-2026 11:50:04 RAM 3399/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/47.312C soc2@46.812C/47.031C soc0@47.312C/47.468C gpu@47.375C/47.437C tj@47.375C/47.468C soc1@46.156C/46.312C VDD_IN 4313mW/4501mW/4744mW VDD_CPU_GPU_CV 918mW/1027mW/1196mW VDD_SOC 1317mW/1321mW/1355mW
09-19-2026 11:50:04 RAM 3399/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.968C/47.312C soc2@46.937C/47.031C soc0@47.375C/47.468C gpu@47.218C/47.437C tj@47.375C/47.468C soc1@46.156C/46.312C VDD_IN 4320mW/4481mW/4744mW VDD_CPU_GPU_CV 878mW/1010mW/1196mW VDD_SOC 1317mW/1321mW/1355mW
09-19-2026 11:50:04 RAM 3399/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47C/47.312C soc2@46.906C/47.031C soc0@47.187C/47.468C gpu@47.218C/47.437C tj@47.218C/47.468C soc1@46.218C/46.312C VDD_IN 4280mW/4461mW/4744mW VDD_CPU_GPU_CV 878mW/997mW/1196mW VDD_SOC 1317mW/1320mW/1355mW
09-19-2026 11:50:05 RAM 3399/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.031C/47.312C soc2@46.937C/47.031C soc0@47.25C/47.468C gpu@47.281C/47.437C tj@47.281C/47.468C soc1@46.281C/46.312C VDD_IN 4280mW/4445mW/4744mW VDD_CPU_GPU_CV 878mW/986mW/1196mW VDD_SOC 1317mW/1320mW/1355mW
09-19-2026 11:50:05 RAM 3399/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47C/47.312C soc2@46.968C/47.031C soc0@47.375C/47.468C gpu@47.312C/47.437C tj@47.375C/47.468C soc1@46.343C/46.343C VDD_IN 4280mW/4431mW/4744mW VDD_CPU_GPU_CV 878mW/977mW/1196mW VDD_SOC 1317mW/1320mW/1355mW
09-19-2026 11:50:05 RAM 3399/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.875C/47.312C soc2@46.906C/47.031C soc0@47.281C/47.468C gpu@47.437C/47.437C tj@47.281C/47.468C soc1@46.125C/46.343C VDD_IN 4240mW/4416mW/4744mW VDD_CPU_GPU_CV 838mW/967mW/1196mW VDD_SOC 1317mW/1320mW/1355mW
09-19-2026 11:50:05 RAM 3399/7486MB (lfb 19x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.968C/47.312C soc2@46.906C/47.031C soc0@47.406C/47.468C gpu@47.343C/47.437C tj@47.406C/47.468C soc1@46.093C/46.343C VDD_IN 4240mW/4404mW/4744mW VDD_CPU_GPU_CV 838mW/957mW/1196mW VDD_SOC 1317mW/1319mW/1355mW
09-19-2026 11:50:05 RAM 3399/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,30%@1497,0%@1497] GR3D_FREQ 0% cpu@47.031C/47.312C soc2@47C/47.031C soc0@47.281C/47.468C gpu@47.281C/47.437C tj@47.281C/47.468C soc1@46.25C/46.343C VDD_IN 4280mW/4395mW/4744mW VDD_CPU_GPU_CV 878mW/952mW/1196mW VDD_SOC 1317mW/1319mW/1355mW
09-19-2026 11:50:05 RAM 3399/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,54%@1497,0%@1497] GR3D_FREQ 0% cpu@47.156C/47.312C soc2@46.968C/47.031C soc0@47.25C/47.468C gpu@47.468C/47.468C tj@47.468C/47.468C soc1@46.312C/46.343C VDD_IN 4320mW/4391mW/4744mW VDD_CPU_GPU_CV 918mW/950mW/1196mW VDD_SOC 1317mW/1319mW/1355mW
