09-18-2026 21:59:56 RAM 3329/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.343C/46.843C soc2@46.375C/46.437C soc0@46.687C/46.812C gpu@46.875C/47.031C tj@46.875C/47.031C soc1@45.562C/45.781C VDD_IN 4240mW/4420mW/4744mW VDD_CPU_GPU_CV 838mW/957mW/1196mW VDD_SOC 1317mW/1319mW/1355mW
09-18-2026 21:59:56 RAM 3329/7486MB (lfb 15x4MB) CPU [8%@1497,0%@1497,0%@1497,36%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.468C/46.843C soc2@46.25C/46.437C soc0@46.843C/46.843C gpu@46.593C/47.031C tj@46.843C/47.031C soc1@45.5C/45.781C VDD_IN 4280mW/4410mW/4744mW VDD_CPU_GPU_CV 878mW/952mW/1196mW VDD_SOC 1317mW/1319mW/1355mW
09-18-2026 21:59:56 RAM 3329/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,44%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.625C/46.843C soc2@46.343C/46.437C soc0@46.593C/46.843C gpu@46.531C/47.031C tj@46.625C/47.031C soc1@45.531C/45.781C VDD_IN 4313mW/4404mW/4744mW VDD_CPU_GPU_CV 918mW/950mW/1196mW VDD_SOC 1317mW/1319mW/1355mW
09-19-2026 11:48:46 RAM 3391/7486MB (lfb 13x4MB) CPU [27%@1497,30%@1497,16%@1497,33%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.406C/47.406C soc2@47.125C/47.125C soc0@47.531C/47.531C gpu@47.343C/47.343C tj@47.593C/47.593C soc1@46.312C/46.312C VDD_IN 4712mW/4712mW/4712mW VDD_CPU_GPU_CV 1156mW/1156mW/1156mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 11:48:46 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@47.375C/47.406C soc2@47.125C/47.125C soc0@47.375C/47.531C gpu@47.281C/47.343C tj@47.375C/47.593C soc1@46.375C/46.375C VDD_IN 4592mW/4652mW/4712mW VDD_CPU_GPU_CV 1076mW/1116mW/1156mW VDD_SOC 1315mW/1335mW/1355mW
09-19-2026 11:48:46 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,10%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.437C/47.437C soc2@47.218C/47.218C soc0@47.5C/47.531C gpu@47.656C/47.656C tj@47.656C/47.656C soc1@46.406C/46.406C VDD_IN 4512mW/4605mW/4712mW VDD_CPU_GPU_CV 1036mW/1089mW/1156mW VDD_SOC 1317mW/1329mW/1355mW
09-19-2026 11:48:46 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.093C/47.437C soc2@47.25C/47.25C soc0@47.5C/47.531C gpu@47.375C/47.656C tj@47.5C/47.656C soc1@46.562C/46.562C VDD_IN 4472mW/4572mW/4712mW VDD_CPU_GPU_CV 998mW/1067mW/1156mW VDD_SOC 1317mW/1326mW/1355mW
09-19-2026 11:48:46 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.218C/47.437C soc2@47.062C/47.25C soc0@47.531C/47.531C gpu@47.812C/47.812C tj@47.812C/47.812C soc1@46.312C/46.562C VDD_IN 4392mW/4536mW/4712mW VDD_CPU_GPU_CV 958mW/1045mW/1156mW VDD_SOC 1317mW/1324mW/1355mW
09-19-2026 11:48:46 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.25C/47.437C soc2@47.062C/47.25C soc0@47.562C/47.562C gpu@47.625C/47.812C tj@47.625C/47.812C soc1@46.343C/46.562C VDD_IN 4353mW/4506mW/4712mW VDD_CPU_GPU_CV 918mW/1024mW/1156mW VDD_SOC 1317mW/1323mW/1355mW
09-19-2026 11:48:47 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.343C/47.437C soc2@47.218C/47.25C soc0@47.375C/47.562C gpu@47.375C/47.812C tj@47.375C/47.812C soc1@46.343C/46.562C VDD_IN 4313mW/4478mW/4712mW VDD_CPU_GPU_CV 918mW/1009mW/1156mW VDD_SOC 1317mW/1322mW/1355mW
09-19-2026 11:48:47 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.312C/47.437C soc2@47.156C/47.25C soc0@47.406C/47.562C gpu@47.781C/47.812C tj@47.781C/47.812C soc1@46.5C/46.562C VDD_IN 4313mW/4457mW/4712mW VDD_CPU_GPU_CV 878mW/992mW/1156mW VDD_SOC 1317mW/1322mW/1355mW
09-19-2026 11:48:47 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.437C soc2@47.062C/47.25C soc0@47.468C/47.562C gpu@47.593C/47.812C tj@47.593C/47.812C soc1@46.312C/46.562C VDD_IN 4273mW/4437mW/4712mW VDD_CPU_GPU_CV 878mW/980mW/1156mW VDD_SOC 1317mW/1321mW/1355mW
09-19-2026 11:48:47 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.187C/47.437C soc2@47.062C/47.25C soc0@47.562C/47.562C gpu@47.312C/47.812C tj@47.562C/47.812C soc1@46.281C/46.562C VDD_IN 4280mW/4421mW/4712mW VDD_CPU_GPU_CV 878mW/969mW/1156mW VDD_SOC 1317mW/1321mW/1355mW
09-19-2026 11:48:47 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.343C/47.437C soc2@47.125C/47.25C soc0@47.468C/47.562C gpu@47.687C/47.812C tj@47.687C/47.812C soc1@46.375C/46.562C VDD_IN 4240mW/4405mW/4712mW VDD_CPU_GPU_CV 838mW/957mW/1156mW VDD_SOC 1317mW/1320mW/1355mW
09-19-2026 11:48:47 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@47.375C/47.437C soc2@47.125C/47.25C soc0@47.437C/47.562C gpu@47.375C/47.812C tj@47.437C/47.812C soc1@46.375C/46.562C VDD_IN 4240mW/4391mW/4712mW VDD_CPU_GPU_CV 878mW/951mW/1156mW VDD_SOC 1317mW/1320mW/1355mW
09-19-2026 11:48:47 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.437C soc2@47.187C/47.25C soc0@47.562C/47.562C gpu@47.343C/47.812C tj@47.562C/47.812C soc1@46.5C/46.562C VDD_IN 4240mW/4379mW/4712mW VDD_CPU_GPU_CV 838mW/942mW/1156mW VDD_SOC 1317mW/1320mW/1355mW
09-19-2026 11:48:47 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.187C/47.437C soc2@47C/47.25C soc0@47.5C/47.562C gpu@47.687C/47.812C tj@47.687C/47.812C soc1@46.343C/46.562C VDD_IN 4240mW/4369mW/4712mW VDD_CPU_GPU_CV 838mW/935mW/1156mW VDD_SOC 1317mW/1320mW/1355mW
09-19-2026 11:48:47 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,41%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.25C/47.437C soc2@47.062C/47.25C soc0@47.625C/47.625C gpu@47.343C/47.812C tj@47.625C/47.812C soc1@46.312C/46.562C VDD_IN 4280mW/4363mW/4712mW VDD_CPU_GPU_CV 878mW/931mW/1156mW VDD_SOC 1317mW/1319mW/1355mW
09-19-2026 11:48:47 RAM 3391/7486MB (lfb 13x4MB) CPU [0%@1497,40%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.437C/47.437C soc2@47.156C/47.25C soc0@47.437C/47.625C gpu@47.343C/47.812C tj@47.437C/47.812C soc1@46.312C/46.562C VDD_IN 4313mW/4360mW/4712mW VDD_CPU_GPU_CV 918mW/930mW/1156mW VDD_SOC 1317mW/1319mW/1355mW
