09-18-2026 21:12:08 RAM 3670/7486MB (lfb 49x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.031C/49.5C soc2@48.093C/48.406C soc0@48.375C/48.406C gpu@48.593C/48.75C tj@48.593C/49.5C soc1@47.343C/47.406C VDD_IN 4600mW/5505mW/6597mW VDD_CPU_GPU_CV 1078mW/1688mW/2420mW VDD_SOC 1357mW/1436mW/1550mW
09-18-2026 21:12:09 RAM 3670/7486MB (lfb 49x4MB) CPU [54%@1497,54%@1497,58%@1497,60%@1497,63%@1497,60%@1497] GR3D_FREQ 15% cpu@48.625C/49.5C soc2@48.25C/48.406C soc0@48.218C/48.406C gpu@48.281C/48.75C tj@48.625C/49.5C soc1@47.375C/47.406C VDD_IN 4912mW/5465mW/6597mW VDD_CPU_GPU_CV 1395mW/1668mW/2420mW VDD_SOC 1357mW/1431mW/1550mW
09-18-2026 21:12:09 RAM 3670/7486MB (lfb 49x4MB) CPU [70%@1497,70%@1497,75%@1497,70%@1497,63%@1497,63%@1497] GR3D_FREQ 0% cpu@48.687C/49.5C soc2@48.218C/48.406C soc0@48.437C/48.437C gpu@48.406C/48.75C tj@48.843C/49.5C soc1@47.281C/47.406C VDD_IN 5231mW/5451mW/6597mW VDD_CPU_GPU_CV 1674mW/1669mW/2420mW VDD_SOC 1395mW/1429mW/1550mW
09-18-2026 21:12:09 RAM 3670/7486MB (lfb 49x4MB) CPU [60%@1497,63%@1497,60%@1497,69%@1497,63%@1497,63%@1497] GR3D_FREQ 0% cpu@48.875C/49.5C soc2@48.343C/48.406C soc0@48.25C/48.437C gpu@48.375C/48.75C tj@48.812C/49.5C soc1@47.343C/47.406C VDD_IN 5462mW/5451mW/6597mW VDD_CPU_GPU_CV 1870mW/1680mW/2420mW VDD_SOC 1395mW/1427mW/1550mW
09-18-2026 21:12:09 RAM 3670/7486MB (lfb 49x4MB) CPU [63%@1497,60%@1497,70%@1497,70%@1497,63%@1497,60%@1497] GR3D_FREQ 0% cpu@48.843C/49.5C soc2@48.25C/48.406C soc0@48.468C/48.468C gpu@48.531C/48.75C tj@48.843C/49.5C soc1@47.25C/47.406C VDD_IN 5661mW/5463mW/6597mW VDD_CPU_GPU_CV 2070mW/1702mW/2420mW VDD_SOC 1393mW/1425mW/1550mW
09-18-2026 21:12:09 RAM 3670/7486MB (lfb 49x4MB) CPU [70%@1497,70%@1497,63%@1497,60%@1497,66%@1497,70%@1497] GR3D_FREQ 0% cpu@49.25C/49.5C soc2@48.312C/48.406C soc0@48.312C/48.468C gpu@48.437C/48.75C tj@49.25C/49.5C soc1@47.343C/47.406C VDD_IN 5781mW/5480mW/6597mW VDD_CPU_GPU_CV 2189mW/1728mW/2420mW VDD_SOC 1393mW/1423mW/1550mW
09-18-2026 21:12:09 RAM 3670/7486MB (lfb 49x4MB) CPU [60%@1497,63%@1497,70%@1497,63%@1497,63%@1497,63%@1497] GR3D_FREQ 0% cpu@48.937C/49.5C soc2@48.281C/48.406C soc0@48.406C/48.468C gpu@48.593C/48.75C tj@48.937C/49.5C soc1@47.25C/47.406C VDD_IN 5891mW/5500mW/6597mW VDD_CPU_GPU_CV 2265mW/1755mW/2420mW VDD_SOC 1393mW/1422mW/1550mW
09-18-2026 21:12:09 RAM 3670/7486MB (lfb 49x4MB) CPU [70%@1497,70%@1497,60%@1497,70%@1497,60%@1497,60%@1497] GR3D_FREQ 0% cpu@48.968C/49.5C soc2@48.343C/48.406C soc0@48.218C/48.468C gpu@48.781C/48.781C tj@48.968C/49.5C soc1@47.281C/47.406C VDD_IN 6011mW/5525mW/6597mW VDD_CPU_GPU_CV 2344mW/1783mW/2420mW VDD_SOC 1393mW/1420mW/1550mW
09-18-2026 21:12:09 RAM 3670/7486MB (lfb 49x4MB) CPU [66%@1497,63%@1497,63%@1497,63%@1497,72%@1497,63%@1497] GR3D_FREQ 0% cpu@48.968C/49.5C soc2@48.25C/48.406C soc0@48.343C/48.468C gpu@48.687C/48.781C tj@48.968C/49.5C soc1@47.218C/47.406C VDD_IN 6050mW/5548mW/6597mW VDD_CPU_GPU_CV 2424mW/1812mW/2424mW VDD_SOC 1393mW/1419mW/1550mW
09-18-2026 21:12:09 RAM 3669/7486MB (lfb 49x4MB) CPU [63%@1497,72%@1497,70%@1497,66%@1497,60%@1497,70%@1497] GR3D_FREQ 0% cpu@49.156C/49.5C soc2@48.343C/48.406C soc0@48.5C/48.5C gpu@48.562C/48.781C tj@49.156C/49.5C soc1@47.281C/47.406C VDD_IN 6090mW/5572mW/6597mW VDD_CPU_GPU_CV 2464mW/1840mW/2464mW VDD_SOC 1393mW/1418mW/1550mW
09-18-2026 21:12:09 RAM 3669/7486MB (lfb 49x4MB) CPU [70%@1497,66%@1497,69%@1497,66%@1497,63%@1497,66%@1497] GR3D_FREQ 0% cpu@49.031C/49.5C soc2@48.281C/48.406C soc0@48.25C/48.5C gpu@48.75C/48.781C tj@49.031C/49.5C soc1@47.25C/47.406C VDD_IN 6130mW/5595mW/6597mW VDD_CPU_GPU_CV 2503mW/1868mW/2503mW VDD_SOC 1391mW/1417mW/1550mW
09-18-2026 21:12:10 RAM 3669/7486MB (lfb 49x4MB) CPU [63%@1497,63%@1497,60%@1497,63%@1497,69%@1497,63%@1497] GR3D_FREQ 0% cpu@49C/49.5C soc2@48.406C/48.406C soc0@48.25C/48.5C gpu@48.437C/48.781C tj@49C/49.5C soc1@47.312C/47.406C VDD_IN 6170mW/5618mW/6597mW VDD_CPU_GPU_CV 2543mW/1895mW/2543mW VDD_SOC 1391mW/1416mW/1550mW
09-18-2026 21:12:10 RAM 3669/7486MB (lfb 49x4MB) CPU [66%@1497,63%@1497,60%@1497,70%@1497,70%@1497,63%@1497] GR3D_FREQ 17% cpu@49.25C/49.5C soc2@48.281C/48.406C soc0@48.281C/48.5C gpu@48.531C/48.781C tj@49.25C/49.5C soc1@47.218C/47.406C VDD_IN 6210mW/5641mW/6597mW VDD_CPU_GPU_CV 2543mW/1920mW/2543mW VDD_SOC 1391mW/1415mW/1550mW
09-18-2026 21:12:10 RAM 3669/7486MB (lfb 49x4MB) CPU [60%@1497,70%@1497,63%@1497,61%@1497,63%@1497,75%@1497] GR3D_FREQ 0% cpu@48.875C/49.5C soc2@48.343C/48.406C soc0@48.312C/48.5C gpu@48.625C/48.781C tj@48.875C/49.5C soc1@47.218C/47.406C VDD_IN 6210mW/5662mW/6597mW VDD_CPU_GPU_CV 2583mW/1944mW/2583mW VDD_SOC 1391mW/1414mW/1550mW
09-18-2026 21:12:10 RAM 3669/7486MB (lfb 49x4MB) CPU [72%@1497,63%@1497,72%@1497,72%@1497,60%@1497,60%@1497] GR3D_FREQ 0% cpu@49.156C/49.5C soc2@48.437C/48.437C soc0@48.156C/48.5C gpu@48.812C/48.812C tj@49.156C/49.5C soc1@47.343C/47.406C VDD_IN 6210mW/5682mW/6597mW VDD_CPU_GPU_CV 2583mW/1967mW/2583mW VDD_SOC 1391mW/1413mW/1550mW
09-18-2026 21:12:10 RAM 3669/7486MB (lfb 49x4MB) CPU [70%@1497,63%@1497,60%@1497,60%@1497,63%@1497,72%@1497] GR3D_FREQ 0% cpu@49.062C/49.5C soc2@48.406C/48.437C soc0@48.281C/48.5C gpu@48.437C/48.812C tj@49.062C/49.5C soc1@47.25C/47.406C VDD_IN 6249mW/5701mW/6597mW VDD_CPU_GPU_CV 2583mW/1988mW/2583mW VDD_SOC 1391mW/1412mW/1550mW
09-18-2026 21:12:10 RAM 3669/7486MB (lfb 49x4MB) CPU [83%@1497,72%@1497,91%@1497,83%@1497,81%@1497,80%@1497] GR3D_FREQ 0% cpu@49.312C/49.5C soc2@48.406C/48.437C soc0@48.187C/48.5C gpu@48.593C/48.812C tj@49.312C/49.5C soc1@47.375C/47.406C VDD_IN 6369mW/5723mW/6597mW VDD_CPU_GPU_CV 2658mW/2011mW/2658mW VDD_SOC 1391mW/1412mW/1550mW
09-18-2026 21:12:10 RAM 3669/7486MB (lfb 49x4MB) CPU [66%@1497,66%@1497,70%@1497,63%@1497,70%@1497,63%@1497] GR3D_FREQ 0% cpu@49.125C/49.5C soc2@48.343C/48.437C soc0@48.218C/48.5C gpu@48.468C/48.812C tj@49.125C/49.5C soc1@47.343C/47.406C VDD_IN 6369mW/5744mW/6597mW VDD_CPU_GPU_CV 2658mW/2032mW/2658mW VDD_SOC 1391mW/1411mW/1550mW
09-18-2026 21:12:10 RAM 3669/7486MB (lfb 49x4MB) CPU [66%@1497,66%@1497,63%@1497,66%@1497,66%@1497,63%@1497] GR3D_FREQ 0% cpu@49.031C/49.5C soc2@48.437C/48.437C soc0@48.406C/48.5C gpu@48.593C/48.812C tj@49.031C/49.5C soc1@47.281C/47.406C VDD_IN 6329mW/5763mW/6597mW VDD_CPU_GPU_CV 2658mW/2051mW/2658mW VDD_SOC 1391mW/1410mW/1550mW
