feeder,report,offset_bytes,n_ch,n_samples
1,15,0,6,128
1,16,3072,6,128
1,17,6144,6,128
1,18,9216,6,128
1,19,12288,6,128
3,19,15360,6,128
1,20,18432,6,128
3,20,21504,6,128
1,21,24576,6,128
3,21,27648,6,128
3,22,30720,6,128
3,23,33792,6,128
3,24,36864,6,128
3,25,39936,6,128
4,39,43008,6,128
4,40,46080,6,128
4,41,49152,6,128
4,42,52224,6,128
4,43,55296,6,128
4,280,58368,6,128
4,281,61440,6,128
4,282,64512,6,128
4,283,67584,6,128
4,284,70656,6,128
4,285,73728,6,128
4,286,76800,6,128
0,322,79872,6,128
0,323,82944,6,128
0,324,86016,6,128
0,325,89088,6,128
0,326,92160,6,128
0,563,95232,6,128
0,564,98304,6,128
0,565,101376,6,128
0,566,104448,6,128
0,567,107520,6,128
0,568,110592,6,128
0,569,113664,6,128
2,874,116736,6,128
2,875,119808,6,128
2,876,122880,6,128
2,877,125952,6,128
2,878,129024,6,128
1,974,132096,6,128
1,975,135168,6,128
1,976,138240,6,128
1,977,141312,6,128
1,978,144384,6,128
3,978,147456,6,128
3,979,150528,6,128
3,980,153600,6,128
3,981,156672,6,128
3,982,159744,6,128
2,1115,162816,6,128
2,1116,165888,6,128
2,1117,168960,6,128
2,1118,172032,6,128
2,1119,175104,6,128
2,1120,178176,6,128
2,1121,181248,6,128
0,1199,184320,6,128
1,1199,187392,6,128
2,1199,190464,6,128
3,1199,193536,6,128
4,1199,196608,6,128
