09-18-2026 22:03:48 RAM 3376/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.937C/46.187C soc2@45.906C/45.968C soc0@46.312C/46.375C gpu@46C/46.25C tj@46.312C/46.375C soc1@45.218C/45.281C VDD_IN 4240mW/4460mW/4824mW VDD_CPU_GPU_CV 838mW/997mW/1275mW VDD_SOC 1317mW/1319mW/1355mW
09-18-2026 22:03:48 RAM 3376/7486MB (lfb 15x4MB) CPU [0%@1497,44%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.156C/46.187C soc2@45.812C/45.968C soc0@46.218C/46.375C gpu@46.156C/46.25C tj@46.218C/46.375C soc1@45.156C/45.281C VDD_IN 4280mW/4448mW/4824mW VDD_CPU_GPU_CV 918mW/992mW/1275mW VDD_SOC 1317mW/1319mW/1355mW
09-18-2026 22:03:48 RAM 3377/7486MB (lfb 15x4MB) CPU [0%@1497,54%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.187C/46.187C soc2@45.906C/45.968C soc0@46.156C/46.375C gpu@46.062C/46.25C tj@46.187C/46.375C soc1@45.25C/45.281C VDD_IN 4360mW/4443mW/4824mW VDD_CPU_GPU_CV 958mW/990mW/1275mW VDD_SOC 1317mW/1319mW/1355mW
09-19-2026 11:52:39 RAM 3551/7486MB (lfb 7x4MB) CPU [18%@1497,54%@1497,27%@1497,25%@1497,11%@1497,10%@1497] GR3D_FREQ 0% cpu@47.5C/47.5C soc2@47.312C/47.312C soc0@47.5C/47.5C gpu@47.687C/47.687C tj@47.687C/47.687C soc1@46.5C/46.5C VDD_IN 5183mW/5183mW/5183mW VDD_CPU_GPU_CV 1433mW/1433mW/1433mW VDD_SOC 1393mW/1393mW/1393mW
09-19-2026 11:52:39 RAM 3548/7486MB (lfb 7x4MB) CPU [0%@1497,10%@1497,0%@1497,16%@1497,16%@1497,0%@1497] GR3D_FREQ 0% cpu@47.312C/47.5C soc2@47.156C/47.312C soc0@47.5C/47.5C gpu@47.593C/47.687C tj@47.593C/47.687C soc1@46.343C/46.5C VDD_IN 5023mW/5103mW/5183mW VDD_CPU_GPU_CV 1353mW/1393mW/1433mW VDD_SOC 1355mW/1374mW/1393mW
09-19-2026 11:52:39 RAM 3552/7486MB (lfb 7x4MB) CPU [9%@1497,16%@1497,18%@1497,30%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.5C/47.5C soc2@47.281C/47.312C soc0@47.562C/47.562C gpu@47.406C/47.687C tj@47.562C/47.687C soc1@46.312C/46.5C VDD_IN 4904mW/5037mW/5183mW VDD_CPU_GPU_CV 1273mW/1353mW/1433mW VDD_SOC 1355mW/1368mW/1393mW
09-19-2026 11:52:39 RAM 3552/7486MB (lfb 7x4MB) CPU [18%@1497,0%@1497,16%@1497,16%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.343C/47.5C soc2@47.281C/47.312C soc0@47.468C/47.562C gpu@47.468C/47.687C tj@47.468C/47.687C soc1@46.437C/46.5C VDD_IN 4784mW/4974mW/5183mW VDD_CPU_GPU_CV 1196mW/1314mW/1433mW VDD_SOC 1355mW/1365mW/1393mW
09-19-2026 11:52:39 RAM 3552/7486MB (lfb 7x4MB) CPU [0%@1497,0%@1497,8%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.312C/47.5C soc2@47.25C/47.312C soc0@47.5C/47.562C gpu@47.5C/47.687C tj@47.5C/47.687C soc1@46.531C/46.531C VDD_IN 4665mW/4912mW/5183mW VDD_CPU_GPU_CV 1156mW/1282mW/1433mW VDD_SOC 1355mW/1363mW/1393mW
09-19-2026 11:52:39 RAM 3552/7486MB (lfb 7x4MB) CPU [33%@1497,25%@1497,50%@1497,27%@1497,0%@1497,0%@1497] GR3D_FREQ 20% cpu@47.625C/47.625C soc2@47.156C/47.312C soc0@47.531C/47.562C gpu@47.468C/47.687C tj@47.625C/47.687C soc1@46.406C/46.531C VDD_IN 4744mW/4884mW/5183mW VDD_CPU_GPU_CV 1196mW/1268mW/1433mW VDD_SOC 1355mW/1361mW/1393mW
09-19-2026 11:52:39 RAM 3552/7486MB (lfb 7x4MB) CPU [0%@1497,10%@1497,9%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.437C/47.625C soc2@47.093C/47.312C soc0@47.5C/47.562C gpu@47.406C/47.687C tj@47.5C/47.687C soc1@46.343C/46.531C VDD_IN 4704mW/4858mW/5183mW VDD_CPU_GPU_CV 1156mW/1252mW/1433mW VDD_SOC 1355mW/1360mW/1393mW
09-19-2026 11:52:40 RAM 3552/7486MB (lfb 7x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.562C/47.625C soc2@47.156C/47.312C soc0@47.437C/47.562C gpu@47.5C/47.687C tj@47.812C/47.812C soc1@46.375C/46.531C VDD_IN 4632mW/4830mW/5183mW VDD_CPU_GPU_CV 1116mW/1235mW/1433mW VDD_SOC 1355mW/1360mW/1393mW
09-19-2026 11:52:40 RAM 3552/7486MB (lfb 7x4MB) CPU [0%@1497,9%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.187C/47.625C soc2@47.187C/47.312C soc0@47.406C/47.562C gpu@47.5C/47.687C tj@47.5C/47.812C soc1@46.468C/46.531C VDD_IN 4552mW/4799mW/5183mW VDD_CPU_GPU_CV 1036mW/1213mW/1433mW VDD_SOC 1355mW/1359mW/1393mW
09-19-2026 11:52:40 RAM 3552/7486MB (lfb 7x4MB) CPU [0%@1497,0%@1497,16%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.187C/47.625C soc2@47.062C/47.312C soc0@47.437C/47.562C gpu@47.375C/47.687C tj@47.437C/47.812C soc1@46.312C/46.531C VDD_IN 4512mW/4770mW/5183mW VDD_CPU_GPU_CV 1036mW/1195mW/1433mW VDD_SOC 1355mW/1359mW/1393mW
09-19-2026 11:52:40 RAM 3548/7486MB (lfb 7x4MB) CPU [16%@1497,18%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.281C/47.625C soc2@47.062C/47.312C soc0@47.562C/47.562C gpu@47.781C/47.781C tj@47.781C/47.812C soc1@46.312C/46.531C VDD_IN 4472mW/4743mW/5183mW VDD_CPU_GPU_CV 996mW/1177mW/1433mW VDD_SOC 1355mW/1358mW/1393mW
09-19-2026 11:52:40 RAM 3548/7486MB (lfb 7x4MB) CPU [18%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.437C/47.625C soc2@47.187C/47.312C soc0@47.406C/47.562C gpu@47.437C/47.781C tj@47.437C/47.812C soc1@46.406C/46.531C VDD_IN 4432mW/4717mW/5183mW VDD_CPU_GPU_CV 996mW/1162mW/1433mW VDD_SOC 1315mW/1355mW/1393mW
09-19-2026 11:52:40 RAM 3548/7486MB (lfb 7x4MB) CPU [10%@1497,16%@1497,9%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@47.156C/47.625C soc2@47.312C/47.312C soc0@47.468C/47.562C gpu@47.375C/47.781C tj@47.468C/47.812C soc1@46.406C/46.531C VDD_IN 4472mW/4698mW/5183mW VDD_CPU_GPU_CV 996mW/1149mW/1433mW VDD_SOC 1315mW/1352mW/1393mW
09-19-2026 11:52:40 RAM 3548/7486MB (lfb 7x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@47.093C/47.625C soc2@47.156C/47.312C soc0@47.5C/47.562C gpu@47.687C/47.781C tj@47.687C/47.812C soc1@46.406C/46.531C VDD_IN 4432mW/4679mW/5183mW VDD_CPU_GPU_CV 956mW/1135mW/1433mW VDD_SOC 1315mW/1349mW/1393mW
09-19-2026 11:52:40 RAM 3548/7486MB (lfb 7x4MB) CPU [0%@1497,0%@1497,0%@1497,54%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.375C/47.625C soc2@47.093C/47.312C soc0@47.5C/47.562C gpu@47.343C/47.781C tj@47.5C/47.812C soc1@46.281C/46.531C VDD_IN 4472mW/4666mW/5183mW VDD_CPU_GPU_CV 1036mW/1129mW/1433mW VDD_SOC 1315mW/1347mW/1393mW
09-19-2026 11:52:40 RAM 3548/7486MB (lfb 7x4MB) CPU [30%@1497,11%@1497,40%@1497,22%@1497,23%@1497,50%@1497] GR3D_FREQ 25% cpu@47.687C/47.687C soc2@47.125C/47.312C soc0@47.375C/47.562C gpu@47.468C/47.781C tj@47.687C/47.812C soc1@46.406C/46.531C VDD_IN 4712mW/4668mW/5183mW VDD_CPU_GPU_CV 1196mW/1133mW/1433mW VDD_SOC 1355mW/1347mW/1393mW
