09-18-2026 22:22:23 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@46.906C/46.937C soc2@46.625C/46.75C soc0@46.906C/47.093C gpu@46.843C/47.375C tj@46.906C/47.375C soc1@46C/46.125C VDD_IN 3858mW/4113mW/4600mW VDD_CPU_GPU_CV 844mW/976mW/1277mW VDD_SOC 1245mW/1266mW/1317mW
09-18-2026 22:22:23 RAM 3483/7486MB (lfb 42x4MB) CPU [80%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 16% cpu@46.937C/46.937C soc2@46.656C/46.75C soc0@46.968C/47.093C gpu@47.187C/47.375C tj@47.187C/47.375C soc1@45.968C/46.125C VDD_IN 4052mW/4109mW/4600mW VDD_CPU_GPU_CV 963mW/975mW/1277mW VDD_SOC 1284mW/1267mW/1317mW
09-18-2026 22:22:23 RAM 3483/7486MB (lfb 42x4MB) CPU [100%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 16% cpu@47.031C/47.031C soc2@46.687C/46.75C soc0@46.937C/47.093C gpu@46.843C/47.375C tj@47.031C/47.375C soc1@45.968C/46.125C VDD_IN 4246mW/4117mW/4600mW VDD_CPU_GPU_CV 1121mW/984mW/1277mW VDD_SOC 1282mW/1268mW/1317mW
09-18-2026 22:22:23 RAM 3483/7486MB (lfb 42x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 16% cpu@47.031C/47.031C soc2@46.812C/46.812C soc0@47.062C/47.093C gpu@47.343C/47.375C tj@47.343C/47.375C soc1@45.843C/46.125C VDD_IN 4407mW/4134mW/4600mW VDD_CPU_GPU_CV 1200mW/997mW/1277mW VDD_SOC 1280mW/1269mW/1317mW
09-18-2026 22:22:23 RAM 3483/7486MB (lfb 42x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 16% cpu@47.312C/47.312C soc2@46.812C/46.812C soc0@46.906C/47.093C gpu@47.031C/47.375C tj@47.312C/47.375C soc1@45.875C/46.125C VDD_IN 4520mW/4156mW/4600mW VDD_CPU_GPU_CV 1277mW/1013mW/1277mW VDD_SOC 1320mW/1272mW/1320mW
09-19-2026 12:11:28 RAM 3835/7486MB (lfb 41x4MB) CPU [18%@1497,8%@1497,0%@1497,20%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@48.031C/48.031C soc2@47.937C/47.937C soc0@48.156C/48.156C gpu@48.312C/48.312C tj@48.312C/48.312C soc1@47.031C/47.031C VDD_IN 4944mW/4944mW/4944mW VDD_CPU_GPU_CV 1313mW/1313mW/1313mW VDD_SOC 1353mW/1353mW/1353mW
09-19-2026 12:11:28 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.968C/48.031C soc2@47.968C/47.968C soc0@48.156C/48.156C gpu@48.25C/48.312C tj@48.25C/48.312C soc1@47.125C/47.125C VDD_IN 4824mW/4884mW/4944mW VDD_CPU_GPU_CV 1194mW/1254mW/1313mW VDD_SOC 1355mW/1354mW/1355mW
09-19-2026 12:11:28 RAM 3835/7486MB (lfb 41x4MB) CPU [9%@1497,18%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.937C/48.031C soc2@47.843C/47.968C soc0@48.218C/48.218C gpu@48.187C/48.312C tj@48.218C/48.312C soc1@47.062C/47.125C VDD_IN 4704mW/4824mW/4944mW VDD_CPU_GPU_CV 1156mW/1221mW/1313mW VDD_SOC 1355mW/1354mW/1355mW
09-19-2026 12:11:28 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.875C/48.031C soc2@47.812C/47.968C soc0@48.25C/48.25C gpu@48.156C/48.312C tj@48.25C/48.312C soc1@47.125C/47.125C VDD_IN 4625mW/4774mW/4944mW VDD_CPU_GPU_CV 1076mW/1185mW/1313mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 12:11:28 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.062C/48.062C soc2@47.937C/47.968C soc0@48.093C/48.25C gpu@48.281C/48.312C tj@48.281C/48.312C soc1@47.156C/47.156C VDD_IN 4552mW/4730mW/4944mW VDD_CPU_GPU_CV 1036mW/1155mW/1313mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 12:11:28 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,8%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@47.875C/48.062C soc2@47.937C/47.968C soc0@48.156C/48.25C gpu@48.156C/48.312C tj@48.156C/48.312C soc1@47.125C/47.156C VDD_IN 4472mW/4687mW/4944mW VDD_CPU_GPU_CV 996mW/1129mW/1313mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 12:11:28 RAM 3835/7486MB (lfb 41x4MB) CPU [27%@1497,27%@1497,33%@1497,20%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@47.937C/48.062C soc2@47.875C/47.968C soc0@48.156C/48.25C gpu@48.062C/48.312C tj@48.156C/48.312C soc1@47C/47.156C VDD_IN 4512mW/4662mW/4944mW VDD_CPU_GPU_CV 1036mW/1115mW/1313mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 12:11:28 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.875C/48.062C soc2@47.906C/47.968C soc0@48.187C/48.25C gpu@48.156C/48.312C tj@48.187C/48.312C soc1@47.031C/47.156C VDD_IN 4432mW/4633mW/4944mW VDD_CPU_GPU_CV 996mW/1100mW/1313mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 12:11:28 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.031C/48.062C soc2@47.843C/47.968C soc0@48.156C/48.25C gpu@48.125C/48.312C tj@48.156C/48.312C soc1@47.031C/47.156C VDD_IN 4392mW/4606mW/4944mW VDD_CPU_GPU_CV 956mW/1084mW/1313mW VDD_SOC 1317mW/1351mW/1355mW
09-19-2026 12:11:28 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.812C/48.062C soc2@47.906C/47.968C soc0@48.093C/48.25C gpu@48.062C/48.312C tj@48.093C/48.312C soc1@47.062C/47.156C VDD_IN 4392mW/4585mW/4944mW VDD_CPU_GPU_CV 917mW/1068mW/1313mW VDD_SOC 1315mW/1347mW/1355mW
09-19-2026 12:11:29 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48C/48.062C soc2@47.875C/47.968C soc0@48.125C/48.25C gpu@48.156C/48.312C tj@48.156C/48.312C soc1@47.125C/47.156C VDD_IN 4392mW/4567mW/4944mW VDD_CPU_GPU_CV 917mW/1054mW/1313mW VDD_SOC 1317mW/1344mW/1355mW
09-19-2026 12:11:29 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.781C/48.062C soc2@47.75C/47.968C soc0@48.093C/48.25C gpu@48.187C/48.312C tj@48.25C/48.312C soc1@46.937C/47.156C VDD_IN 4353mW/4550mW/4944mW VDD_CPU_GPU_CV 877mW/1039mW/1313mW VDD_SOC 1317mW/1342mW/1355mW
09-19-2026 12:11:29 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.937C/48.062C soc2@47.812C/47.968C soc0@48.281C/48.281C gpu@48.218C/48.312C tj@48.281C/48.312C soc1@47.093C/47.156C VDD_IN 4313mW/4531mW/4944mW VDD_CPU_GPU_CV 878mW/1027mW/1313mW VDD_SOC 1317mW/1340mW/1355mW
09-19-2026 12:11:29 RAM 3833/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.187C/48.187C soc2@47.781C/47.968C soc0@48.062C/48.281C gpu@48.156C/48.312C tj@48.187C/48.312C soc1@47.125C/47.156C VDD_IN 4313mW/4516mW/4944mW VDD_CPU_GPU_CV 878mW/1016mW/1313mW VDD_SOC 1317mW/1338mW/1355mW
09-19-2026 12:11:29 RAM 3833/7486MB (lfb 41x4MB) CPU [0%@1497,80%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 19% cpu@48C/48.187C soc2@47.812C/47.968C soc0@48.125C/48.281C gpu@48.125C/48.312C tj@48.125C/48.312C soc1@47.062C/47.156C VDD_IN 4432mW/4510mW/4944mW VDD_CPU_GPU_CV 996mW/1015mW/1313mW VDD_SOC 1355mW/1340mW/1355mW
09-19-2026 12:11:29 RAM 3833/7486MB (lfb 41x4MB) CPU [0%@1497,100%@1497,0%@1497,27%@1497,0%@1497,0%@1497] GR3D_FREQ 19% cpu@48.031C/48.187C soc2@47.843C/47.968C soc0@48.187C/48.281C gpu@48.093C/48.312C tj@48.125C/48.312C soc1@47C/47.156C VDD_IN 4625mW/4517mW/4944mW VDD_CPU_GPU_CV 1156mW/1024mW/1313mW VDD_SOC 1355mW/1341mW/1355mW
09-19-2026 12:11:29 RAM 3833/7486MB (lfb 41x4MB) CPU [0%@1497,100%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 18% cpu@48.156C/48.187C soc2@47.812C/47.968C soc0@48.218C/48.281C gpu@48.187C/48.312C tj@48.218C/48.312C soc1@47.031C/47.156C VDD_IN 4784mW/4533mW/4944mW VDD_CPU_GPU_CV 1236mW/1036mW/1313mW VDD_SOC 1355mW/1341mW/1355mW
09-19-2026 12:11:29 RAM 3833/7486MB (lfb 41x4MB) CPU [0%@1497,100%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 19% cpu@48.125C/48.187C soc2@47.906C/47.968C soc0@48.093C/48.281C gpu@48.156C/48.312C tj@48.156C/48.312C soc1@47.125C/47.156C VDD_IN 4864mW/4551mW/4944mW VDD_CPU_GPU_CV 1313mW/1052mW/1313mW VDD_SOC 1355mW/1342mW/1355mW
