09-18-2026 21:11:19 RAM 3591/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.593C/49C soc2@47.593C/47.968C soc0@47.875C/48.062C gpu@48.187C/48.406C tj@48.187C/49C soc1@46.718C/46.968C VDD_IN 4560mW/5377mW/6528mW VDD_CPU_GPU_CV 1078mW/1612mW/2344mW VDD_SOC 1357mW/1420mW/1550mW
09-18-2026 21:11:19 RAM 3591/7486MB (lfb 57x4MB) CPU [54%@1497,50%@1497,50%@1497,50%@1497,54%@1497,45%@1497] GR3D_FREQ 2% cpu@48.406C/49C soc2@47.687C/47.968C soc0@47.875C/48.062C gpu@47.875C/48.406C tj@48.406C/49C soc1@46.812C/46.968C VDD_IN 4832mW/5341mW/6528mW VDD_CPU_GPU_CV 1317mW/1593mW/2344mW VDD_SOC 1357mW/1415mW/1550mW
09-18-2026 21:11:19 RAM 3591/7486MB (lfb 57x4MB) CPU [54%@1497,54%@1497,60%@1497,54%@1497,58%@1497,54%@1497] GR3D_FREQ 0% cpu@48.156C/49C soc2@47.718C/47.968C soc0@47.875C/48.062C gpu@48.25C/48.406C tj@48.25C/49C soc1@46.937C/46.968C VDD_IN 5111mW/5326mW/6528mW VDD_CPU_GPU_CV 1515mW/1588mW/2344mW VDD_SOC 1355mW/1412mW/1550mW
09-18-2026 21:11:19 RAM 3591/7486MB (lfb 57x4MB) CPU [50%@1497,54%@1497,54%@1497,50%@1497,60%@1497,50%@1497] GR3D_FREQ 0% cpu@48.343C/49C soc2@47.75C/47.968C soc0@47.968C/48.062C gpu@47.906C/48.406C tj@48.343C/49C soc1@46.812C/46.968C VDD_IN 5302mW/5325mW/6528mW VDD_CPU_GPU_CV 1674mW/1593mW/2344mW VDD_SOC 1355mW/1408mW/1550mW
09-18-2026 21:11:19 RAM 3591/7486MB (lfb 57x4MB) CPU [50%@1497,54%@1497,53%@1497,58%@1497,50%@1497,58%@1497] GR3D_FREQ 0% cpu@48.281C/49C soc2@47.937C/47.968C soc0@47.875C/48.062C gpu@47.906C/48.406C tj@48.281C/49C soc1@46.937C/46.968C VDD_IN 5462mW/5333mW/6528mW VDD_CPU_GPU_CV 1831mW/1606mW/2344mW VDD_SOC 1355mW/1405mW/1550mW
09-18-2026 21:11:19 RAM 3591/7486MB (lfb 57x4MB) CPU [58%@1497,54%@1497,50%@1497,60%@1497,58%@1497,54%@1497] GR3D_FREQ 0% cpu@48.406C/49C soc2@47.781C/47.968C soc0@47.781C/48.062C gpu@48.187C/48.406C tj@48.406C/49C soc1@46.843C/46.968C VDD_IN 5582mW/5346mW/6528mW VDD_CPU_GPU_CV 1910mW/1622mW/2344mW VDD_SOC 1353mW/1403mW/1550mW
09-18-2026 21:11:19 RAM 3591/7486MB (lfb 57x4MB) CPU [50%@1497,60%@1497,54%@1497,53%@1497,50%@1497,45%@1497] GR3D_FREQ 0% cpu@48.218C/49C soc2@47.812C/47.968C soc0@47.937C/48.062C gpu@47.843C/48.406C tj@48.218C/49C soc1@46.812C/46.968C VDD_IN 5621mW/5359mW/6528mW VDD_CPU_GPU_CV 1990mW/1640mW/2344mW VDD_SOC 1353mW/1400mW/1550mW
09-18-2026 21:11:19 RAM 3591/7486MB (lfb 57x4MB) CPU [50%@1497,54%@1497,45%@1497,50%@1497,54%@1497,50%@1497] GR3D_FREQ 0% cpu@48.343C/49C soc2@47.875C/47.968C soc0@47.875C/48.062C gpu@48.281C/48.406C tj@48.343C/49C soc1@46.843C/46.968C VDD_IN 5661mW/5374mW/6528mW VDD_CPU_GPU_CV 2070mW/1661mW/2344mW VDD_SOC 1353mW/1398mW/1550mW
09-18-2026 21:11:20 RAM 3591/7486MB (lfb 57x4MB) CPU [54%@1497,50%@1497,63%@1497,54%@1497,58%@1497,58%@1497] GR3D_FREQ 0% cpu@48.406C/49C soc2@47.843C/47.968C soc0@47.906C/48.062C gpu@47.968C/48.406C tj@48.406C/49C soc1@46.875C/46.968C VDD_IN 5701mW/5389mW/6528mW VDD_CPU_GPU_CV 2109mW/1681mW/2344mW VDD_SOC 1353mW/1396mW/1550mW
09-18-2026 21:11:20 RAM 3591/7486MB (lfb 57x4MB) CPU [54%@1497,54%@1497,54%@1497,54%@1497,54%@1497,50%@1497] GR3D_FREQ 0% cpu@48.281C/49C soc2@47.906C/47.968C soc0@47.875C/48.062C gpu@48.062C/48.406C tj@48.281C/49C soc1@46.843C/46.968C VDD_IN 5701mW/5402mW/6528mW VDD_CPU_GPU_CV 2109mW/1700mW/2344mW VDD_SOC 1353mW/1394mW/1550mW
