09-18-2026 22:00:23 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.531C/47.062C soc2@46.281C/46.375C soc0@46.531C/46.75C gpu@46.656C/46.843C tj@46.656C/47.062C soc1@45.593C/45.687C VDD_IN 4280mW/4598mW/4944mW VDD_CPU_GPU_CV 878mW/1062mW/1273mW VDD_SOC 1317mW/1339mW/1355mW
09-18-2026 22:00:23 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,36%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 12% cpu@46.375C/47.062C soc2@46.218C/46.375C soc0@46.593C/46.75C gpu@46.843C/46.843C tj@46.843C/47.062C soc1@45.406C/45.687C VDD_IN 4313mW/4579mW/4944mW VDD_CPU_GPU_CV 918mW/1053mW/1273mW VDD_SOC 1317mW/1337mW/1355mW
09-18-2026 22:00:23 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.5C/47.062C soc2@46.281C/46.375C soc0@46.656C/46.75C gpu@46.718C/46.843C tj@46.718C/47.062C soc1@45.531C/45.687C VDD_IN 4353mW/4565mW/4944mW VDD_CPU_GPU_CV 958mW/1047mW/1273mW VDD_SOC 1317mW/1336mW/1355mW
09-18-2026 22:00:23 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/47.062C soc2@46.281C/46.375C soc0@46.593C/46.75C gpu@46.625C/46.843C tj@46.625C/47.062C soc1@45.468C/45.687C VDD_IN 4353mW/4553mW/4944mW VDD_CPU_GPU_CV 958mW/1041mW/1273mW VDD_SOC 1317mW/1335mW/1355mW
09-18-2026 22:00:23 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.656C/47.062C soc2@46.375C/46.375C soc0@46.593C/46.75C gpu@46.812C/46.843C tj@46.812C/47.062C soc1@45.593C/45.687C VDD_IN 4392mW/4544mW/4944mW VDD_CPU_GPU_CV 998mW/1039mW/1273mW VDD_SOC 1317mW/1334mW/1355mW
09-18-2026 22:00:23 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.437C/47.062C soc2@46.25C/46.375C soc0@46.562C/46.75C gpu@46.75C/46.843C tj@46.75C/47.062C soc1@45.656C/45.687C VDD_IN 4392mW/4536mW/4944mW VDD_CPU_GPU_CV 998mW/1037mW/1273mW VDD_SOC 1317mW/1333mW/1355mW
09-18-2026 22:00:23 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.531C/47.062C soc2@46.25C/46.375C soc0@46.656C/46.75C gpu@46.562C/46.843C tj@46.656C/47.062C soc1@45.531C/45.687C VDD_IN 4432mW/4531mW/4944mW VDD_CPU_GPU_CV 1038mW/1037mW/1273mW VDD_SOC 1317mW/1332mW/1355mW
09-18-2026 22:00:24 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,8%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/47.062C soc2@46.343C/46.375C soc0@46.718C/46.75C gpu@46.718C/46.843C tj@46.718C/47.062C soc1@45.5C/45.687C VDD_IN 4432mW/4526mW/4944mW VDD_CPU_GPU_CV 1036mW/1037mW/1273mW VDD_SOC 1317mW/1331mW/1355mW
09-18-2026 22:00:24 RAM 3348/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.75C/47.062C soc2@46.312C/46.375C soc0@46.593C/46.75C gpu@46.656C/46.843C tj@46.75C/47.062C soc1@45.531C/45.687C VDD_IN 4432mW/4522mW/4944mW VDD_CPU_GPU_CV 1036mW/1037mW/1273mW VDD_SOC 1317mW/1331mW/1355mW
09-18-2026 22:00:24 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.5C/47.062C soc2@46.375C/46.375C soc0@46.562C/46.75C gpu@47C/47C tj@47C/47.062C soc1@45.656C/45.687C VDD_IN 4432mW/4518mW/4944mW VDD_CPU_GPU_CV 1036mW/1037mW/1273mW VDD_SOC 1317mW/1330mW/1355mW
09-18-2026 22:00:24 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.437C/47.062C soc2@46.25C/46.375C soc0@46.656C/46.75C gpu@46.781C/47C tj@46.781C/47.062C soc1@45.406C/45.687C VDD_IN 4432mW/4514mW/4944mW VDD_CPU_GPU_CV 1036mW/1037mW/1273mW VDD_SOC 1317mW/1330mW/1355mW
09-18-2026 22:00:24 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,8%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/47.062C soc2@46.25C/46.375C soc0@46.718C/46.75C gpu@46.656C/47C tj@46.718C/47.062C soc1@45.406C/45.687C VDD_IN 4432mW/4511mW/4944mW VDD_CPU_GPU_CV 1036mW/1037mW/1273mW VDD_SOC 1317mW/1329mW/1355mW
09-18-2026 22:00:24 RAM 3348/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,50%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.75C/47.062C soc2@46.281C/46.375C soc0@46.531C/46.75C gpu@46.937C/47C tj@46.937C/47.062C soc1@45.562C/45.687C VDD_IN 4472mW/4509mW/4944mW VDD_CPU_GPU_CV 1036mW/1037mW/1273mW VDD_SOC 1317mW/1329mW/1355mW
09-18-2026 22:00:24 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,9%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.812C/47.062C soc2@46.375C/46.375C soc0@46.531C/46.75C gpu@46.75C/47C tj@46.812C/47.062C soc1@45.593C/45.687C VDD_IN 4472mW/4508mW/4944mW VDD_CPU_GPU_CV 1076mW/1038mW/1273mW VDD_SOC 1317mW/1328mW/1355mW
09-18-2026 22:00:24 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.312C/47.062C soc2@46.281C/46.375C soc0@46.625C/46.75C gpu@46.656C/47C tj@46.656C/47.062C soc1@45.687C/45.687C VDD_IN 4472mW/4507mW/4944mW VDD_CPU_GPU_CV 1076mW/1040mW/1273mW VDD_SOC 1317mW/1328mW/1355mW
09-18-2026 22:00:24 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.5C/47.062C soc2@46.312C/46.375C soc0@46.625C/46.75C gpu@46.937C/47C tj@46.937C/47.062C soc1@45.437C/45.687C VDD_IN 4472mW/4506mW/4944mW VDD_CPU_GPU_CV 1076mW/1041mW/1273mW VDD_SOC 1317mW/1327mW/1355mW
09-18-2026 22:00:25 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.656C/47.062C soc2@46.343C/46.375C soc0@46.593C/46.75C gpu@46.781C/47C tj@46.781C/47.062C soc1@45.531C/45.687C VDD_IN 4432mW/4503mW/4944mW VDD_CPU_GPU_CV 1076mW/1042mW/1273mW VDD_SOC 1317mW/1327mW/1355mW
09-18-2026 22:00:25 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.718C/47.062C soc2@46.312C/46.375C soc0@46.562C/46.75C gpu@46.625C/47C tj@46.718C/47.062C soc1@45.531C/45.687C VDD_IN 4432mW/4501mW/4944mW VDD_CPU_GPU_CV 1076mW/1043mW/1273mW VDD_SOC 1317mW/1327mW/1355mW
