scenario,record,engine,engine_key,backend,feeders,channels,workers,fs,duration_s,speed,chunks,deadline_misses,comp_ms_p50,comp_ms_p99,comp_ms_max,e2e_ms_p50,e2e_ms_p99,e2e_ms_max,report_period_ms,group_delay_ms,load_pct,cpu_s,wall_s,stage_a_share,kbps_total,kbps_pmu_only,kbps_continuous,reduction_x,n_events_feeder0,tegrastats,acc_micro_f1,acc_macro_f1,acc_precision,acc_recall,acc_event_recall,acc_n_event_windows,acc_n_caught,acc_false_alarm_runs,acc_false_alarm_runs_quiet,acc_duty_cycle,acc_duty_cycle_quiet,acc_latency_ms,acc_bandwidth_reduction,acc_n_channels,acc_n_channels_with_events
multi,907,ATE-Q,Q,cpu,24,144,2,15360.0,10.0,1.0,2400,5,3.6543488333791174,5.790869016668681,12.741815332901751,11.988131499947485,14.125222383213451,21.075148666568566,8.333333333333334,8.333333333333334,44.119401638029096,12.347664046,10.034750902000269,0.9260714965818908,5115.52,2027.52,70778.88,13.836106593269111,2,not available (not a Jetson or tegrastats missing),1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
multi,907,ATE-S,S,cpu,24,144,2,15360.0,10.0,1.0,2400,8,3.672233666975444,5.746104090017068,11.290132333670044,12.005772166730821,14.079597603226832,19.62346566688211,8.333333333333334,8.333333333333334,44.33466687599548,12.455853174000001,10.033668890000172,0.9095820469395991,5115.52,2027.52,70778.88,13.836106593269111,2,not available (not a Jetson or tegrastats missing),1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
multi,907,ATE-M,M,cpu,24,144,2,15360.0,10.0,1.0,2400,16,3.6389419999522943,6.546694966850656,14.374494333424082,11.972691333085095,14.886858233389898,22.70782766663615,8.333333333333334,8.333333333333334,44.27942481442415,12.374765819,10.073740025999996,0.9256356727050898,5115.52,2027.52,70778.88,13.836106593269111,2,not available (not a Jetson or tegrastats missing),1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
multi,907,ATE-N,N,cpu,24,144,2,15360.0,10.0,1.0,2400,5,3.7123796666946873,5.831109020100476,12.721968333607947,12.045844666999983,14.165206393749948,21.055301666820014,8.333333333333334,8.333333333333334,45.018315635829815,12.543538383,10.062837314999797,0.9137085242926201,5115.52,2027.52,70778.88,13.836106593269111,2,not available (not a Jetson or tegrastats missing),1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
multi,907,ATE-X,X,cpu,24,144,2,15360.0,10.0,1.0,2400,22,5.101716500121256,8.078786246837803,10.898446666942618,13.43556666688528,16.41255007338714,19.231780000154686,8.333333333333334,8.333333333333334,61.573876641434715,15.86707812,10.03869596100003,0.6414472734474271,5115.52,2027.52,70778.88,13.836106593269111,2,not available (not a Jetson or tegrastats missing),1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
