scenario,record,engine,engine_key,backend,pow_pre_reports,pow_post_reports,feeders,channels,workers,fs,duration_s,speed,chunks,deadline_misses,comp_ms_p50,comp_ms_p99,comp_ms_max,e2e_ms_p50,e2e_ms_p99,e2e_ms_max,report_period_ms,group_delay_ms,load_pct,cpu_s,wall_s,stage_a_share,kbps_total,kbps_pmu_only,kbps_continuous,reduction_x,n_events_feeder0,samples,p_in_mw_mean,p_in_mw_max,p_cpu_gpu_cv_mw_mean,gpu_util_pct_mean,cpu_util_pct_mean,acc_micro_f1,acc_macro_f1,acc_precision,acc_recall,acc_event_recall,acc_n_event_windows,acc_n_caught,acc_false_alarm_runs,acc_false_alarm_runs_quiet,acc_duty_cycle,acc_duty_cycle_quiet,acc_latency_ms,acc_bandwidth_reduction,acc_n_channels,acc_n_channels_with_events
multi,907,ATE-Q,Q,cpu,6,12,8,48,6,15360.0,10.0,1.0,7200,0,2.5633203331381083,4.485355141932817,6.65609566749481,10.897058834416384,12.819385315033283,14.989429000706878,8.333333333333334,8.333333333333334,33.20489865307232,30.598805151999997,10.050882506999187,0.8032418159888373,1668.9407999999999,675.84,23592.96,14.136487046155262,2,105,5680.371428571429,6329,2091.285714285714,0.9047619047619048,48.6968253968254,1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
multi,907,ATE-S,S,cpu,6,12,8,48,6,15360.0,10.0,1.0,7200,0,2.6748814998427406,4.860281969304204,6.529043332193396,11.008342832610651,13.195681122524537,14.862376665405463,8.333333333333334,8.333333333333334,34.74931967819429,31.426442592,10.055701392999254,0.7627013811975193,1668.9407999999999,675.84,23592.96,14.136487046155262,2,105,5751.666666666667,6488,2147.390476190476,0.14285714285714285,49.56507936507936,1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
multi,907,ATE-M,M,cpu,6,12,8,48,6,15360.0,10.0,1.0,7200,0,2.5656774996605236,4.340101045927441,6.760165666491957,10.899126667027303,12.673634659258822,15.093498999704025,8.333333333333334,8.333333333333334,33.3259172993318,30.693113792,10.052233360000173,0.7967433825520069,1668.9407999999999,675.84,23592.96,14.136487046155262,2,105,5713.914285714286,6528,2117.7809523809524,0.23809523809523808,49.282539682539685,1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
multi,907,ATE-N,N,cpu,6,12,8,48,6,15360.0,10.0,1.0,7200,0,2.593936666926311,4.519446633821646,6.4379409996035974,10.927408500720048,12.853373767156878,14.771274332815665,8.333333333333334,8.333333333333334,33.80090651561659,30.913706047999998,10.053151210000578,0.789742172784186,1668.9407999999999,675.84,23592.96,14.136487046155262,2,105,5722.828571428571,6528,2126.447619047619,0.4666666666666667,49.695238095238096,1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
multi,907,ATE-X,X,cpu,6,12,8,48,6,15360.0,10.0,1.0,7200,29,3.299585832792218,6.60337039747902,16.400603666625102,11.633214166977268,14.93924011063426,24.73393699983717,8.333333333333334,8.333333333333334,43.75491746126499,36.522670144,10.054449358000056,0.6123661699311278,1668.9407999999999,675.84,23592.96,14.136487046155262,2,105,6008.990476190476,6568,2355.847619047619,0.44761904761904764,57.48571428571429,1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
