feeder,report,offset_bytes,n_ch,n_samples
5,25,0,6,128
5,26,3072,6,128
5,27,6144,6,128
5,28,9216,6,128
5,29,12288,6,128
12,86,15360,6,128
12,87,18432,6,128
12,88,21504,6,128
12,89,24576,6,128
10,90,27648,6,128
12,90,30720,6,128
10,91,33792,6,128
10,92,36864,6,128
10,93,39936,6,128
10,94,43008,6,128
10,95,46080,6,128
10,96,49152,6,128
9,180,52224,6,128
9,181,55296,6,128
9,182,58368,6,128
9,183,61440,6,128
9,184,64512,6,128
9,185,67584,6,128
9,186,70656,6,128
5,266,73728,6,128
5,267,76800,6,128
5,268,79872,6,128
5,269,82944,6,128
5,270,86016,6,128
5,271,89088,6,128
5,272,92160,6,128
13,304,95232,6,128
13,305,98304,6,128
13,306,101376,6,128
13,307,104448,6,128
13,308,107520,6,128
12,327,110592,6,128
12,328,113664,6,128
12,329,116736,6,128
12,330,119808,6,128
12,331,122880,6,128
12,332,125952,6,128
12,333,129024,6,128
0,368,132096,6,128
0,369,135168,6,128
0,370,138240,6,128
0,371,141312,6,128
0,372,144384,6,128
11,449,147456,6,128
11,450,150528,6,128
11,451,153600,6,128
11,452,156672,6,128
11,453,159744,6,128
6,482,162816,6,128
6,483,165888,6,128
6,484,168960,6,128
6,485,172032,6,128
6,486,175104,6,128
13,545,178176,6,128
13,546,181248,6,128
13,547,184320,6,128
13,548,187392,6,128
13,549,190464,6,128
13,550,193536,6,128
13,551,196608,6,128
8,552,199680,6,128
8,553,202752,6,128
8,554,205824,6,128
8,555,208896,6,128
8,556,211968,6,128
0,609,215040,6,128
0,610,218112,6,128
0,611,221184,6,128
0,612,224256,6,128
0,613,227328,6,128
0,614,230400,6,128
0,615,233472,6,128
7,629,236544,6,128
7,630,239616,6,128
7,631,242688,6,128
7,632,245760,6,128
7,633,248832,6,128
11,690,251904,6,128
11,691,254976,6,128
11,692,258048,6,128
11,693,261120,6,128
11,694,264192,6,128
11,695,267264,6,128
11,696,270336,6,128
6,723,273408,6,128
6,724,276480,6,128
6,725,279552,6,128
6,726,282624,6,128
6,727,285696,6,128
6,728,288768,6,128
6,729,291840,6,128
2,757,294912,6,128
2,758,297984,6,128
2,759,301056,6,128
2,760,304128,6,128
2,761,307200,6,128
1,778,310272,6,128
1,779,313344,6,128
1,780,316416,6,128
1,781,319488,6,128
1,782,322560,6,128
8,793,325632,6,128
8,794,328704,6,128
8,795,331776,6,128
8,796,334848,6,128
8,797,337920,6,128
8,798,340992,6,128
8,799,344064,6,128
3,804,347136,6,128
3,805,350208,6,128
3,806,353280,6,128
3,807,356352,6,128
3,808,359424,6,128
15,856,362496,6,128
15,857,365568,6,128
15,858,368640,6,128
15,859,371712,6,128
15,860,374784,6,128
7,870,377856,6,128
7,871,380928,6,128
7,872,384000,6,128
7,873,387072,6,128
7,874,390144,6,128
7,875,393216,6,128
7,876,396288,6,128
14,911,399360,6,128
14,912,402432,6,128
14,913,405504,6,128
14,914,408576,6,128
14,915,411648,6,128
4,916,414720,6,128
4,917,417792,6,128
4,918,420864,6,128
4,919,423936,6,128
4,920,427008,6,128
2,998,430080,6,128
2,999,433152,6,128
2,1000,436224,6,128
2,1001,439296,6,128
2,1002,442368,6,128
2,1003,445440,6,128
2,1004,448512,6,128
1,1019,451584,6,128
1,1020,454656,6,128
1,1021,457728,6,128
1,1022,460800,6,128
1,1023,463872,6,128
1,1024,466944,6,128
1,1025,470016,6,128
3,1045,473088,6,128
3,1046,476160,6,128
3,1047,479232,6,128
3,1048,482304,6,128
3,1049,485376,6,128
10,1049,488448,6,128
3,1050,491520,6,128
10,1050,494592,6,128
3,1051,497664,6,128
10,1051,500736,6,128
10,1052,503808,6,128
10,1053,506880,6,128
15,1097,509952,6,128
15,1098,513024,6,128
15,1099,516096,6,128
15,1100,519168,6,128
15,1101,522240,6,128
15,1102,525312,6,128
15,1103,528384,6,128
9,1139,531456,6,128
9,1140,534528,6,128
9,1141,537600,6,128
9,1142,540672,6,128
9,1143,543744,6,128
14,1152,546816,6,128
14,1153,549888,6,128
14,1154,552960,6,128
14,1155,556032,6,128
14,1156,559104,6,128
4,1157,562176,6,128
14,1157,565248,6,128
4,1158,568320,6,128
14,1158,571392,6,128
4,1159,574464,6,128
4,1160,577536,6,128
4,1161,580608,6,128
4,1162,583680,6,128
4,1163,586752,6,128
0,1199,589824,6,128
1,1199,592896,6,128
2,1199,595968,6,128
3,1199,599040,6,128
4,1199,602112,6,128
5,1199,605184,6,128
6,1199,608256,6,128
7,1199,611328,6,128
8,1199,614400,6,128
9,1199,617472,6,128
10,1199,620544,6,128
11,1199,623616,6,128
12,1199,626688,6,128
13,1199,629760,6,128
14,1199,632832,6,128
15,1199,635904,6,128
