rid,GridStream,Empirical-Q (causal),Fixed margin,ATE-Q,ATE-S,ATE-M,ATE-N,ATE-X,Hindsight ceiling †
7,0.0,0.0,0.675,0.7333333333333334,0.7333333333333334,0.7749999999999999,0.6826923076923076,0.8285714285714285,0.9
45,0.0,0.0,0.9633699633699634,0.7967032967032966,0.9633699633699634,0.7967032967032966,0.6538461538461539,0.9633699633699634,0.9761904761904763
55,0.018224349841100076,0.4510146174563801,0.7766125101762701,0.8401618501487977,0.840541377366321,0.8332548420625443,0.751230915543688,0.8409234252098048,0.9471923756027594
677,0.125,0.23101137679462627,0.2744021938994995,0.21882993318794952,0.2809935915248565,0.22526421846058547,0.10024085955145265,0.27692190490120794,0.6754004418668875
901,0.0,0.3969465648854962,0.7118644067796609,0.5555555555555556,0.7906976744186047,0.7906976744186047,0.631578947368421,0.8695652173913044,0.8400000000000001
907,0.4097222222222222,0.6777597402597402,1.0,1.0,1.0,1.0,1.0,1.0,1.0
971,0.0,0.0,0.8518518518518517,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.8857142857142857,0.7666666666666666,0.9523809523809524
mean,0.07899236743761748,0.2509617570566061,0.7504429894396065,0.7254167574660381,0.7917527533352019,0.764893337854052,0.6721862099594728,0.7922883723014822,0.8987377494344394
