tp,fp,fn,precision,recall,f1,n_event_windows,n_caught,event_recall,false_alarm_runs,latency_reports,latency_ms,duty_cycle,bandwidth_reduction,n_reports,has_events,rid,ch,method,kappa_h,gap
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1194,False,907,Current.Ia,Empirical-Q (causal),,
6,4,0,0.6,1.0,0.7499999999999999,1,1,1.0,0,0.0,0.0,0.008375209380234505,119.4,1194,True,907,Current.Ib,Empirical-Q (causal),,
6,72,0,0.07692307692307693,1.0,0.14285714285714288,1,1,1.0,0,0.0,0.0,0.06532663316582915,15.307692307692307,1194,True,907,Current.Ic,Empirical-Q (causal),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Voltage.Va,Empirical-Q (causal),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Voltage.Vb,Empirical-Q (causal),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Voltage.Vc,Empirical-Q (causal),,
0,0,4,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,23,True,971,Current.Ia,Empirical-Q (causal),,
0,0,3,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,22,True,971,Current.Ib,Empirical-Q (causal),,
0,0,4,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,23,True,971,Current.Ic,Empirical-Q (causal),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Voltage.Va,Fixed margin,,
3,4,0,0.42857142857142855,1.0,0.6,1,1,1.0,0,0.0,0.0,0.3684210526315789,2.7142857142857144,19,True,7,Voltage.Vb,Fixed margin,,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Voltage.Vc,Fixed margin,,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Current.Ia,Fixed margin,,
