09-18-2026 22:04:02 RAM 3388/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.875C/46.125C soc2@45.781C/46.031C soc0@46.312C/46.406C gpu@46.062C/46.5C tj@46.312C/46.5C soc1@45.031C/45.312C VDD_IN 4320mW/4530mW/4992mW VDD_CPU_GPU_CV 918mW/1072mW/1435mW VDD_SOC 1320mW/1331mW/1357mW
09-18-2026 22:04:02 RAM 3390/7486MB (lfb 15x4MB) CPU [50%@1497,45%@1497,45%@1497,45%@1497,45%@1497,40%@1497] GR3D_FREQ 0% cpu@46.375C/46.375C soc2@45.906C/46.031C soc0@46.218C/46.406C gpu@46.062C/46.5C tj@46.375C/46.5C soc1@45.187C/45.312C VDD_IN 4592mW/4534mW/4992mW VDD_CPU_GPU_CV 1158mW/1077mW/1435mW VDD_SOC 1317mW/1330mW/1357mW
09-18-2026 22:04:02 RAM 3391/7486MB (lfb 15x4MB) CPU [50%@1497,60%@1497,58%@1497,60%@1497,54%@1497,54%@1497] GR3D_FREQ 0% cpu@46.406C/46.406C soc2@46.031C/46.031C soc0@46.187C/46.406C gpu@46.5C/46.5C tj@46.5C/46.5C soc1@45.218C/45.312C VDD_IN 4872mW/4556mW/4992mW VDD_CPU_GPU_CV 1395mW/1097mW/1435mW VDD_SOC 1317mW/1329mW/1357mW
09-19-2026 11:52:53 RAM 3566/7486MB (lfb 9x4MB) CPU [41%@1497,20%@1497,33%@1497,50%@1497,45%@1497,16%@1497] GR3D_FREQ 27% cpu@48C/48C soc2@47.406C/47.406C soc0@47.531C/47.531C gpu@47.656C/47.656C tj@47.562C/47.562C soc1@46.593C/46.593C VDD_IN 5382mW/5382mW/5382mW VDD_CPU_GPU_CV 1632mW/1632mW/1632mW VDD_SOC 1393mW/1393mW/1393mW
09-19-2026 11:52:53 RAM 3559/7486MB (lfb 9x4MB) CPU [9%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.5C/48C soc2@47.281C/47.406C soc0@47.562C/47.562C gpu@47.531C/47.656C tj@47.656C/47.656C soc1@46.468C/46.593C VDD_IN 5183mW/5283mW/5382mW VDD_CPU_GPU_CV 1472mW/1552mW/1632mW VDD_SOC 1393mW/1393mW/1393mW
09-19-2026 11:52:53 RAM 3574/7486MB (lfb 9x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,30%@1497] GR3D_FREQ 0% cpu@47.531C/48C soc2@47.218C/47.406C soc0@47.593C/47.593C gpu@47.468C/47.656C tj@47.593C/47.656C soc1@46.5C/46.593C VDD_IN 4984mW/5183mW/5382mW VDD_CPU_GPU_CV 1353mW/1486mW/1632mW VDD_SOC 1355mW/1380mW/1393mW
09-19-2026 11:52:53 RAM 3597/7486MB (lfb 9x4MB) CPU [18%@1497,20%@1497,25%@1497,27%@1497,11%@1497,20%@1497] GR3D_FREQ 0% cpu@47.562C/48C soc2@47.312C/47.406C soc0@47.562C/47.593C gpu@48C/48C tj@48C/48C soc1@46.5C/46.593C VDD_IN 4984mW/5133mW/5382mW VDD_CPU_GPU_CV 1353mW/1453mW/1632mW VDD_SOC 1355mW/1374mW/1393mW
09-19-2026 11:52:53 RAM 3597/7486MB (lfb 9x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.562C/48C soc2@47.312C/47.406C soc0@47.562C/47.593C gpu@47.437C/48C tj@47.562C/48C soc1@46.593C/46.593C VDD_IN 4824mW/5071mW/5382mW VDD_CPU_GPU_CV 1236mW/1409mW/1632mW VDD_SOC 1355mW/1370mW/1393mW
09-19-2026 11:52:53 RAM 3597/7486MB (lfb 9x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.312C/48C soc2@47.218C/47.406C soc0@47.625C/47.625C gpu@47.5C/48C tj@47.625C/48C soc1@46.468C/46.593C VDD_IN 4672mW/5005mW/5382mW VDD_CPU_GPU_CV 1156mW/1367mW/1632mW VDD_SOC 1355mW/1368mW/1393mW
09-19-2026 11:52:54 RAM 3597/7486MB (lfb 9x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.406C/48C soc2@47.281C/47.406C soc0@47.625C/47.625C gpu@47.906C/48C tj@47.906C/48C soc1@46.437C/46.593C VDD_IN 4592mW/4946mW/5382mW VDD_CPU_GPU_CV 1076mW/1325mW/1632mW VDD_SOC 1355mW/1366mW/1393mW
09-19-2026 11:52:54 RAM 3597/7486MB (lfb 9x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.375C/48C soc2@47.218C/47.406C soc0@47.5C/47.625C gpu@47.5C/48C tj@47.5C/48C soc1@46.468C/46.593C VDD_IN 4512mW/4892mW/5382mW VDD_CPU_GPU_CV 1036mW/1289mW/1632mW VDD_SOC 1357mW/1365mW/1393mW
09-19-2026 11:52:54 RAM 3597/7486MB (lfb 9x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.468C/48C soc2@47.312C/47.406C soc0@47.593C/47.625C gpu@47.468C/48C tj@47.593C/48C soc1@46.593C/46.593C VDD_IN 4432mW/4841mW/5382mW VDD_CPU_GPU_CV 998mW/1257mW/1632mW VDD_SOC 1317mW/1359mW/1393mW
09-19-2026 11:52:54 RAM 3596/7486MB (lfb 9x4MB) CPU [0%@1497,0%@1497,0%@1497,16%@1497,0%@1497,10%@1497] GR3D_FREQ 0% cpu@47.343C/48C soc2@47.187C/47.406C soc0@47.5C/47.625C gpu@47.812C/48C tj@47.812C/48C soc1@46.375C/46.593C VDD_IN 4392mW/4796mW/5382mW VDD_CPU_GPU_CV 958mW/1227mW/1632mW VDD_SOC 1317mW/1355mW/1393mW
09-19-2026 11:52:54 RAM 3589/7486MB (lfb 9x4MB) CPU [18%@1497,45%@1497,10%@1497,20%@1497,9%@1497,9%@1497] GR3D_FREQ 2% cpu@47.406C/48C soc2@47.25C/47.406C soc0@47.562C/47.625C gpu@47.5C/48C tj@47.562C/48C soc1@46.437C/46.593C VDD_IN 4512mW/4770mW/5382mW VDD_CPU_GPU_CV 1036mW/1210mW/1632mW VDD_SOC 1357mW/1355mW/1393mW
09-19-2026 11:52:54 RAM 3585/7486MB (lfb 9x4MB) CPU [9%@1497,0%@1497,18%@1497,0%@1497,0%@1497,8%@1497] GR3D_FREQ 22% cpu@47.5C/48C soc2@47.312C/47.406C soc0@47.437C/47.625C gpu@47.437C/48C tj@47.5C/48C soc1@46.531C/46.593C VDD_IN 4472mW/4745mW/5382mW VDD_CPU_GPU_CV 1036mW/1195mW/1632mW VDD_SOC 1357mW/1356mW/1393mW
09-19-2026 11:52:54 RAM 3585/7486MB (lfb 9x4MB) CPU [9%@1497,0%@1497,9%@1497,18%@1497,0%@1497,0%@1497] GR3D_FREQ 24% cpu@47.406C/48C soc2@47.281C/47.406C soc0@47.562C/47.625C gpu@47.812C/48C tj@47.812C/48C soc1@46.531C/46.593C VDD_IN 4552mW/4730mW/5382mW VDD_CPU_GPU_CV 1036mW/1183mW/1632mW VDD_SOC 1355mW/1355mW/1393mW
09-19-2026 11:52:54 RAM 3585/7486MB (lfb 9x4MB) CPU [10%@1497,9%@1497,18%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 25% cpu@47.468C/48C soc2@47.281C/47.406C soc0@47.625C/47.625C gpu@47.781C/48C tj@47.781C/48C soc1@46.375C/46.593C VDD_IN 4632mW/4723mW/5382mW VDD_CPU_GPU_CV 1076mW/1175mW/1632mW VDD_SOC 1355mW/1355mW/1393mW
09-19-2026 11:52:54 RAM 3586/7486MB (lfb 9x4MB) CPU [63%@1497,54%@1497,54%@1497,50%@1497,45%@1497,50%@1497] GR3D_FREQ 21% cpu@48C/48C soc2@47.406C/47.406C soc0@47.531C/47.625C gpu@47.5C/48C tj@48C/48C soc1@46.5C/46.593C VDD_IN 4984mW/4741mW/5382mW VDD_CPU_GPU_CV 1395mW/1190mW/1632mW VDD_SOC 1395mW/1358mW/1395mW
09-19-2026 11:52:54 RAM 3587/7486MB (lfb 9x4MB) CPU [54%@1497,66%@1497,55%@1497,60%@1497,80%@1497,60%@1497] GR3D_FREQ 20% cpu@47.937C/48C soc2@47.375C/47.406C soc0@47.5C/47.625C gpu@47.812C/48C tj@47.937C/48C soc1@46.375C/46.593C VDD_IN 5342mW/4778mW/5382mW VDD_CPU_GPU_CV 1711mW/1222mW/1711mW VDD_SOC 1393mW/1360mW/1395mW
