09-18-2026 22:03:56 RAM 3409/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@45.968C/46.25C soc2@45.875C/45.968C soc0@46.125C/46.312C gpu@46.531C/46.531C tj@46.531C/46.531C soc1@45.093C/45.281C VDD_IN 4280mW/4535mW/4952mW VDD_CPU_GPU_CV 878mW/1063mW/1395mW VDD_SOC 1317mW/1331mW/1357mW
09-18-2026 22:03:56 RAM 3411/7486MB (lfb 15x4MB) CPU [50%@1497,50%@1497,50%@1497,45%@1497,36%@1497,40%@1497] GR3D_FREQ 0% cpu@46.281C/46.281C soc2@45.875C/45.968C soc0@46.25C/46.312C gpu@46.281C/46.531C tj@46.281C/46.531C soc1@45.062C/45.281C VDD_IN 4512mW/4534mW/4952mW VDD_CPU_GPU_CV 1118mW/1067mW/1395mW VDD_SOC 1317mW/1330mW/1357mW
09-18-2026 22:03:57 RAM 3413/7486MB (lfb 15x4MB) CPU [44%@1497,60%@1497,54%@1497,63%@1497,54%@1497,50%@1497] GR3D_FREQ 0% cpu@46.75C/46.75C soc2@46.031C/46.031C soc0@46.312C/46.312C gpu@46.125C/46.531C tj@46.75C/46.75C soc1@45.25C/45.281C VDD_IN 4832mW/4553mW/4952mW VDD_CPU_GPU_CV 1395mW/1087mW/1395mW VDD_SOC 1317mW/1329mW/1357mW
09-19-2026 11:52:47 RAM 3566/7486MB (lfb 8x4MB) CPU [10%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.375C/47.375C soc2@47.25C/47.25C soc0@47.562C/47.562C gpu@47.75C/47.75C tj@47.75C/47.75C soc1@46.406C/46.406C VDD_IN 5103mW/5103mW/5103mW VDD_CPU_GPU_CV 1472mW/1472mW/1472mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 11:52:48 RAM 3566/7486MB (lfb 8x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.5C/47.5C soc2@47.343C/47.343C soc0@47.593C/47.593C gpu@47.656C/47.75C tj@47.656C/47.75C soc1@46.468C/46.468C VDD_IN 4944mW/5024mW/5103mW VDD_CPU_GPU_CV 1355mW/1414mW/1472mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 11:52:48 RAM 3571/7486MB (lfb 8x4MB) CPU [18%@1497,10%@1497,27%@1497,18%@1497,27%@1497,22%@1497] GR3D_FREQ 23% cpu@47.687C/47.687C soc2@47.312C/47.343C soc0@47.531C/47.593C gpu@47.593C/47.75C tj@47.687C/47.75C soc1@46.593C/46.593C VDD_IN 4944mW/4997mW/5103mW VDD_CPU_GPU_CV 1355mW/1394mW/1472mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 11:52:48 RAM 3607/7486MB (lfb 8x4MB) CPU [33%@1497,30%@1497,11%@1497,22%@1497,27%@1497,41%@1497] GR3D_FREQ 25% cpu@47.562C/47.687C soc2@47.312C/47.343C soc0@47.5C/47.593C gpu@47.656C/47.75C tj@47.656C/47.75C soc1@46.406C/46.593C VDD_IN 5183mW/5044mW/5183mW VDD_CPU_GPU_CV 1472mW/1414mW/1472mW VDD_SOC 1393mW/1365mW/1393mW
09-19-2026 11:52:48 RAM 3607/7486MB (lfb 8x4MB) CPU [25%@1497,10%@1497,9%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 24% cpu@47.562C/47.687C soc2@47.312C/47.343C soc0@47.625C/47.625C gpu@47.656C/47.75C tj@47.656C/47.75C soc1@46.468C/46.593C VDD_IN 5103mW/5055mW/5183mW VDD_CPU_GPU_CV 1393mW/1409mW/1472mW VDD_SOC 1395mW/1371mW/1395mW
09-19-2026 11:52:48 RAM 3607/7486MB (lfb 8x4MB) CPU [18%@1497,9%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 24% cpu@47.562C/47.687C soc2@47.281C/47.343C soc0@47.437C/47.625C gpu@47.812C/47.812C tj@47.812C/47.812C soc1@46.562C/46.593C VDD_IN 5063mW/5057mW/5183mW VDD_CPU_GPU_CV 1393mW/1407mW/1472mW VDD_SOC 1395mW/1375mW/1395mW
09-19-2026 11:52:48 RAM 3607/7486MB (lfb 8x4MB) CPU [18%@1497,10%@1497,9%@1497,10%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.375C/47.687C soc2@47.187C/47.343C soc0@47.5C/47.625C gpu@47.718C/47.812C tj@47.718C/47.812C soc1@46.437C/46.593C VDD_IN 4984mW/5046mW/5183mW VDD_CPU_GPU_CV 1313mW/1393mW/1472mW VDD_SOC 1395mW/1378mW/1395mW
09-19-2026 11:52:48 RAM 3607/7486MB (lfb 8x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.312C/47.687C soc2@47.125C/47.343C soc0@47.562C/47.625C gpu@47.562C/47.812C tj@47.562C/47.812C soc1@46.437C/46.593C VDD_IN 4824mW/5019mW/5183mW VDD_CPU_GPU_CV 1236mW/1374mW/1472mW VDD_SOC 1355mW/1375mW/1395mW
09-19-2026 11:52:48 RAM 3607/7486MB (lfb 8x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.375C/47.687C soc2@47.281C/47.343C soc0@47.437C/47.625C gpu@47.531C/47.812C tj@47.531C/47.812C soc1@46.437C/46.593C VDD_IN 4712mW/4984mW/5183mW VDD_CPU_GPU_CV 1156mW/1349mW/1472mW VDD_SOC 1355mW/1373mW/1395mW
09-19-2026 11:52:48 RAM 3607/7486MB (lfb 8x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.468C/47.687C soc2@47.312C/47.343C soc0@47.5C/47.625C gpu@47.625C/47.812C tj@47.625C/47.812C soc1@46.468C/46.593C VDD_IN 4592mW/4945mW/5183mW VDD_CPU_GPU_CV 1076mW/1322mW/1472mW VDD_SOC 1355mW/1371mW/1395mW
09-19-2026 11:52:49 RAM 3607/7486MB (lfb 8x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.25C/47.687C soc2@47.281C/47.343C soc0@47.562C/47.625C gpu@47.468C/47.812C tj@47.562C/47.812C soc1@46.625C/46.625C VDD_IN 4512mW/4906mW/5183mW VDD_CPU_GPU_CV 1036mW/1296mW/1472mW VDD_SOC 1355mW/1369mW/1395mW
09-19-2026 11:52:49 RAM 3607/7486MB (lfb 8x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@47.281C/47.687C soc2@47.187C/47.343C soc0@47.562C/47.625C gpu@47.656C/47.812C tj@47.656C/47.812C soc1@46.375C/46.625C VDD_IN 4472mW/4870mW/5183mW VDD_CPU_GPU_CV 996mW/1271mW/1472mW VDD_SOC 1357mW/1368mW/1395mW
09-19-2026 11:52:49 RAM 3593/7486MB (lfb 9x4MB) CPU [18%@1497,18%@1497,45%@1497,18%@1497,0%@1497,18%@1497] GR3D_FREQ 23% cpu@47.375C/47.687C soc2@47.281C/47.343C soc0@47.406C/47.625C gpu@47.562C/47.812C tj@47.562C/47.812C soc1@46.593C/46.625C VDD_IN 4672mW/4854mW/5183mW VDD_CPU_GPU_CV 1116mW/1259mW/1472mW VDD_SOC 1355mW/1367mW/1395mW
09-19-2026 11:52:49 RAM 3593/7486MB (lfb 9x4MB) CPU [0%@1497,0%@1497,9%@1497,8%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.218C/47.687C soc2@47.25C/47.343C soc0@47.562C/47.625C gpu@47.75C/47.812C tj@47.75C/47.812C soc1@46.625C/46.625C VDD_IN 4592mW/4836mW/5183mW VDD_CPU_GPU_CV 1076mW/1246mW/1472mW VDD_SOC 1355mW/1366mW/1395mW
09-19-2026 11:52:49 RAM 3596/7486MB (lfb 9x4MB) CPU [58%@1497,58%@1497,53%@1497,58%@1497,58%@1497,53%@1497] GR3D_FREQ 0% cpu@48.031C/48.031C soc2@47.343C/47.343C soc0@47.5C/47.625C gpu@47.625C/47.812C tj@47.718C/47.812C soc1@46.625C/46.625C VDD_IN 4864mW/4838mW/5183mW VDD_CPU_GPU_CV 1315mW/1251mW/1472mW VDD_SOC 1355mW/1366mW/1395mW
09-19-2026 11:52:49 RAM 3597/7486MB (lfb 9x4MB) CPU [60%@1497,58%@1497,60%@1497,60%@1497,54%@1497,54%@1497] GR3D_FREQ 0% cpu@48.156C/48.156C soc2@47.375C/47.375C soc0@47.437C/47.625C gpu@47.812C/47.812C tj@48.156C/48.156C soc1@46.437C/46.625C VDD_IN 5103mW/4854mW/5183mW VDD_CPU_GPU_CV 1552mW/1270mW/1552mW VDD_SOC 1355mW/1365mW/1395mW
