09-18-2026 22:02:30 RAM 3359/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.093C/46.562C soc2@45.968C/46.062C soc0@46.343C/46.437C gpu@46.375C/46.562C tj@46.375C/46.562C soc1@45.281C/45.343C VDD_IN 4240mW/4444mW/4784mW VDD_CPU_GPU_CV 838mW/986mW/1236mW VDD_SOC 1320mW/1320mW/1355mW
09-18-2026 22:02:30 RAM 3359/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,36%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.281C/46.562C soc2@45.968C/46.062C soc0@46.5C/46.5C gpu@46.625C/46.625C tj@46.625C/46.625C soc1@45.218C/45.343C VDD_IN 4280mW/4433mW/4784mW VDD_CPU_GPU_CV 878mW/979mW/1236mW VDD_SOC 1317mW/1320mW/1355mW
09-18-2026 22:02:31 RAM 3359/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.343C/46.562C soc2@46C/46.062C soc0@46.281C/46.5C gpu@46.437C/46.625C tj@46.437C/46.625C soc1@45.312C/45.343C VDD_IN 4320mW/4426mW/4784mW VDD_CPU_GPU_CV 918mW/975mW/1236mW VDD_SOC 1317mW/1319mW/1355mW
09-19-2026 11:51:21 RAM 3397/7486MB (lfb 19x4MB) CPU [9%@1497,30%@1497,0%@1497,33%@1497,0%@1497,22%@1497] GR3D_FREQ 0% cpu@47C/47C soc2@46.812C/46.812C soc0@47.25C/47.25C gpu@47.437C/47.437C tj@47.437C/47.437C soc1@46.062C/46.062C VDD_IN 4712mW/4712mW/4712mW VDD_CPU_GPU_CV 1156mW/1156mW/1156mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 11:51:21 RAM 3397/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.937C/47C soc2@46.781C/46.812C soc0@47.375C/47.375C gpu@47.031C/47.437C tj@47.375C/47.437C soc1@46.187C/46.187C VDD_IN 4592mW/4652mW/4712mW VDD_CPU_GPU_CV 1076mW/1116mW/1156mW VDD_SOC 1315mW/1335mW/1355mW
09-19-2026 11:51:21 RAM 3397/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,16%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.187C/47.187C soc2@46.843C/46.843C soc0@47.093C/47.375C gpu@47.125C/47.437C tj@47.187C/47.437C soc1@46.093C/46.187C VDD_IN 4552mW/4619mW/4712mW VDD_CPU_GPU_CV 1036mW/1089mW/1156mW VDD_SOC 1317mW/1329mW/1355mW
09-19-2026 11:51:21 RAM 3397/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.187C soc2@46.812C/46.843C soc0@47.187C/47.375C gpu@47.375C/47.437C tj@47.375C/47.437C soc1@46.093C/46.187C VDD_IN 4472mW/4582mW/4712mW VDD_CPU_GPU_CV 998mW/1067mW/1156mW VDD_SOC 1317mW/1326mW/1355mW
09-19-2026 11:51:21 RAM 3397/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.843C/47.187C soc2@46.75C/46.843C soc0@47.187C/47.375C gpu@47.093C/47.437C tj@47.187C/47.437C soc1@46.062C/46.187C VDD_IN 4392mW/4544mW/4712mW VDD_CPU_GPU_CV 958mW/1045mW/1156mW VDD_SOC 1317mW/1324mW/1355mW
09-19-2026 11:51:22 RAM 3397/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/47.187C soc2@46.718C/46.843C soc0@47.312C/47.375C gpu@46.968C/47.437C tj@47.281C/47.437C soc1@46C/46.187C VDD_IN 4392mW/4519mW/4712mW VDD_CPU_GPU_CV 958mW/1030mW/1156mW VDD_SOC 1317mW/1323mW/1355mW
09-19-2026 11:51:22 RAM 3397/7486MB (lfb 19x4MB) CPU [20%@1497,15%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.187C soc2@46.812C/46.843C soc0@47.093C/47.375C gpu@47.343C/47.437C tj@47.343C/47.437C soc1@46.093C/46.187C VDD_IN 4392mW/4501mW/4712mW VDD_CPU_GPU_CV 958mW/1020mW/1156mW VDD_SOC 1317mW/1322mW/1355mW
09-19-2026 11:51:22 RAM 3397/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.187C/47.187C soc2@46.875C/46.875C soc0@47.156C/47.375C gpu@47.187C/47.437C tj@47.187C/47.437C soc1@46.187C/46.187C VDD_IN 4353mW/4482mW/4712mW VDD_CPU_GPU_CV 918mW/1007mW/1156mW VDD_SOC 1317mW/1322mW/1355mW
09-19-2026 11:51:22 RAM 3396/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.812C/47.187C soc2@46.687C/46.875C soc0@47.156C/47.375C gpu@47.468C/47.468C tj@47.468C/47.468C soc1@46.187C/46.187C VDD_IN 4320mW/4464mW/4712mW VDD_CPU_GPU_CV 918mW/997mW/1156mW VDD_SOC 1317mW/1321mW/1355mW
09-19-2026 11:51:22 RAM 3396/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.968C/47.187C soc2@46.687C/46.875C soc0@47.312C/47.375C gpu@47.312C/47.468C tj@47.312C/47.468C soc1@45.968C/46.187C VDD_IN 4280mW/4446mW/4712mW VDD_CPU_GPU_CV 878mW/985mW/1156mW VDD_SOC 1317mW/1321mW/1355mW
09-19-2026 11:51:22 RAM 3396/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.968C/47.187C soc2@46.843C/46.875C soc0@47.093C/47.375C gpu@47.031C/47.468C tj@47.093C/47.468C soc1@46.031C/46.187C VDD_IN 4280mW/4431mW/4712mW VDD_CPU_GPU_CV 878mW/976mW/1156mW VDD_SOC 1317mW/1320mW/1355mW
09-19-2026 11:51:22 RAM 3396/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.187C soc2@46.875C/46.875C soc0@47.093C/47.375C gpu@47.406C/47.468C tj@47.406C/47.468C soc1@46.125C/46.187C VDD_IN 4280mW/4418mW/4712mW VDD_CPU_GPU_CV 878mW/968mW/1156mW VDD_SOC 1317mW/1320mW/1355mW
09-19-2026 11:51:22 RAM 3396/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.718C/47.187C soc2@46.75C/46.875C soc0@47.187C/47.375C gpu@47.281C/47.468C tj@47.281C/47.468C soc1@46.187C/46.187C VDD_IN 4240mW/4404mW/4712mW VDD_CPU_GPU_CV 878mW/961mW/1156mW VDD_SOC 1317mW/1320mW/1355mW
09-19-2026 11:51:22 RAM 3396/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/47.187C soc2@46.75C/46.875C soc0@47.187C/47.375C gpu@47C/47.468C tj@47.187C/47.468C soc1@46C/46.187C VDD_IN 4240mW/4393mW/4712mW VDD_CPU_GPU_CV 838mW/952mW/1156mW VDD_SOC 1317mW/1320mW/1355mW
09-19-2026 11:51:22 RAM 3396/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,40%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.125C/47.187C soc2@46.718C/46.875C soc0@47.281C/47.375C gpu@47.375C/47.468C tj@47.375C/47.468C soc1@46.062C/46.187C VDD_IN 4280mW/4385mW/4712mW VDD_CPU_GPU_CV 878mW/947mW/1156mW VDD_SOC 1317mW/1319mW/1355mW
09-19-2026 11:51:23 RAM 3396/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.187C/47.187C soc2@46.781C/46.875C soc0@47.093C/47.375C gpu@47.343C/47.468C tj@47.343C/47.468C soc1@46.125C/46.187C VDD_IN 4313mW/4381mW/4712mW VDD_CPU_GPU_CV 918mW/945mW/1156mW VDD_SOC 1317mW/1319mW/1355mW
