09-18-2026 22:04:31 RAM 3488/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.5C/47.406C soc2@46.312C/46.593C soc0@46.812C/46.843C gpu@46.531C/47.093C tj@46.812C/47.406C soc1@45.593C/45.843C VDD_IN 4360mW/5009mW/6011mW VDD_CPU_GPU_CV 918mW/1431mW/2265mW VDD_SOC 1317mW/1363mW/1433mW
09-18-2026 22:04:31 RAM 3488/7486MB (lfb 15x4MB) CPU [50%@1497,54%@1497,50%@1497,45%@1497,45%@1497,45%@1497] GR3D_FREQ 0% cpu@47.093C/47.406C soc2@46.5C/46.593C soc0@46.593C/46.843C gpu@46.656C/47.093C tj@47.093C/47.406C soc1@45.781C/45.843C VDD_IN 4632mW/4984mW/6011mW VDD_CPU_GPU_CV 1198mW/1415mW/2265mW VDD_SOC 1357mW/1363mW/1433mW
09-18-2026 22:04:31 RAM 3488/7486MB (lfb 15x4MB) CPU [58%@1497,54%@1497,58%@1497,63%@1497,50%@1497,50%@1497] GR3D_FREQ 14% cpu@47.062C/47.406C soc2@46.531C/46.593C soc0@46.625C/46.843C gpu@46.843C/47.093C tj@47.062C/47.406C soc1@45.593C/45.843C VDD_IN 4992mW/4984mW/6011mW VDD_CPU_GPU_CV 1515mW/1422mW/2265mW VDD_SOC 1355mW/1362mW/1433mW
09-18-2026 22:04:31 RAM 3488/7486MB (lfb 15x4MB) CPU [66%@1497,66%@1497,66%@1497,66%@1497,58%@1497,54%@1497] GR3D_FREQ 0% cpu@47.156C/47.406C soc2@46.468C/46.593C soc0@46.687C/46.843C gpu@46.781C/47.093C tj@47.093C/47.406C soc1@45.593C/45.843C VDD_IN 5223mW/4998mW/6011mW VDD_CPU_GPU_CV 1714mW/1439mW/2265mW VDD_SOC 1355mW/1362mW/1433mW
09-18-2026 22:04:31 RAM 3488/7486MB (lfb 15x4MB) CPU [60%@1497,60%@1497,60%@1497,54%@1497,50%@1497,50%@1497] GR3D_FREQ 0% cpu@47.062C/47.406C soc2@46.593C/46.593C soc0@46.625C/46.843C gpu@46.625C/47.093C tj@47.062C/47.406C soc1@45.781C/45.843C VDD_IN 5382mW/5020mW/6011mW VDD_CPU_GPU_CV 1870mW/1463mW/2265mW VDD_SOC 1355mW/1362mW/1433mW
09-18-2026 22:04:31 RAM 3488/7486MB (lfb 15x4MB) CPU [54%@1497,61%@1497,66%@1497,60%@1497,61%@1497,50%@1497] GR3D_FREQ 0% cpu@47.156C/47.406C soc2@46.593C/46.593C soc0@46.781C/46.843C gpu@46.812C/47.093C tj@47.375C/47.406C soc1@45.656C/45.843C VDD_IN 5542mW/5047mW/6011mW VDD_CPU_GPU_CV 1990mW/1491mW/2265mW VDD_SOC 1353mW/1361mW/1433mW
09-18-2026 22:04:31 RAM 3488/7486MB (lfb 15x4MB) CPU [63%@1497,60%@1497,54%@1497,63%@1497,50%@1497,54%@1497] GR3D_FREQ 0% cpu@47.187C/47.406C soc2@46.593C/46.593C soc0@46.656C/46.843C gpu@46.968C/47.093C tj@47.187C/47.406C soc1@45.843C/45.843C VDD_IN 5621mW/5076mW/6011mW VDD_CPU_GPU_CV 2109mW/1521mW/2265mW VDD_SOC 1353mW/1361mW/1433mW
09-18-2026 22:04:31 RAM 3488/7486MB (lfb 15x4MB) CPU [60%@1497,45%@1497,60%@1497,54%@1497,54%@1497,60%@1497] GR3D_FREQ 0% cpu@47.281C/47.406C soc2@46.625C/46.625C soc0@46.75C/46.843C gpu@46.843C/47.093C tj@47.281C/47.406C soc1@45.656C/45.843C VDD_IN 5701mW/5106mW/6011mW VDD_CPU_GPU_CV 2149mW/1551mW/2265mW VDD_SOC 1353mW/1360mW/1433mW
09-18-2026 22:04:32 RAM 3488/7486MB (lfb 15x4MB) CPU [61%@1497,60%@1497,45%@1497,63%@1497,58%@1497,54%@1497] GR3D_FREQ 0% cpu@47.125C/47.406C soc2@46.656C/46.656C soc0@46.656C/46.843C gpu@47.156C/47.156C tj@47.156C/47.406C soc1@45.625C/45.843C VDD_IN 5772mW/5136mW/6011mW VDD_CPU_GPU_CV 2225mW/1582mW/2265mW VDD_SOC 1353mW/1360mW/1433mW
09-18-2026 22:04:32 RAM 3488/7486MB (lfb 15x4MB) CPU [60%@1497,63%@1497,54%@1497,54%@1497,50%@1497,58%@1497] GR3D_FREQ 0% cpu@47.25C/47.406C soc2@46.687C/46.687C soc0@46.625C/46.843C gpu@46.875C/47.156C tj@47.25C/47.406C soc1@45.718C/45.843C VDD_IN 5811mW/5165mW/6011mW VDD_CPU_GPU_CV 2265mW/1612mW/2265mW VDD_SOC 1353mW/1360mW/1433mW
