scenario,record,engine,engine_key,backend,pow_pre_reports,pow_post_reports,feeders,channels,workers,fs,duration_s,speed,chunks,deadline_misses,comp_ms_p50,comp_ms_p99,comp_ms_max,e2e_ms_p50,e2e_ms_p99,e2e_ms_max,report_period_ms,group_delay_ms,load_pct,cpu_s,wall_s,stage_a_share,kbps_total,kbps_pmu_only,kbps_continuous,reduction_x,n_events_feeder0,samples,p_in_mw_mean,p_in_mw_max,p_cpu_gpu_cv_mw_mean,gpu_util_pct_mean,cpu_util_pct_mean,acc_micro_f1,acc_macro_f1,acc_precision,acc_recall,acc_event_recall,acc_n_event_windows,acc_n_caught,acc_false_alarm_runs,acc_false_alarm_runs_quiet,acc_duty_cycle,acc_duty_cycle_quiet,acc_latency_ms,acc_bandwidth_reduction,acc_n_channels,acc_n_channels_with_events
multi,907,ATE-Q,Q,cpu,6,12,96,576,6,15360.0,10.0,1.0,7200,7198,3873.7657593337644,8261.816604807575,8535.590981999121,3886.716802666342,8270.427208980725,8543.924315332333,8.333333333333334,8.333333333333334,47189.07369153021,104.00456947199999,18.617222025000956,0.9492977768913128,20412.672,8110.08,283115.52,13.869596297829114,2,185,7632.778378378378,8121,3457.308108108108,0.2756756756756757,91.12072072072071,1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
multi,907,ATE-S,S,cpu,6,12,96,576,6,15360.0,10.0,1.0,7200,7194,3968.278919500335,8080.015820110548,8328.268946999742,3980.5237573318664,8088.361604103793,8336.602280332954,8.333333333333334,8.333333333333334,47955.05337222847,104.891860416,18.37179457699858,0.9359325835030148,20412.672,8110.08,283115.52,13.869596297829114,2,182,7709.5989010989015,8200,3515.28021978022,0.2802197802197802,93.32692307692308,1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
multi,907,ATE-M,M,cpu,6,12,96,576,6,15360.0,10.0,1.0,7200,7194,3895.696472832242,8402.642859532189,8645.35685699957,3907.551541498833,8411.003140065513,8653.690190332782,8.333333333333334,8.333333333333334,47696.01182215501,104.7191912,18.687564529000156,0.9466449345534247,20412.672,8110.08,283115.52,13.869596297829114,2,185,7626.497297297297,8121,3437.481081081081,0.2864864864864865,91.5027027027027,1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
multi,907,ATE-N,N,cpu,6,12,96,576,6,15360.0,10.0,1.0,7200,7196,4028.1217681658745,8550.130756265808,8734.875383999679,4039.1555143323785,8558.508595199073,8743.208717332891,8.333333333333334,8.333333333333334,49008.33334275519,105.747403072,18.782879889999094,0.9406237917838535,20412.672,8110.08,283115.52,13.869596297829114,2,186,7625.897849462365,8160,3431.2634408602153,0.12365591397849462,91.83781362007167,1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
multi,907,ATE-X,X,cpu,6,12,96,576,6,15360.0,10.0,1.0,7200,7196,6831.508723666047,14029.9904419427,14313.057699999263,6845.060318666583,14038.530406935914,14321.391033332475,8.333333333333334,8.333333333333334,82840.95421597305,139.061629984,24.36628929499966,0.6941898495847516,20412.672,8110.08,283115.52,13.869596297829114,2,238,7716.882352941177,8200,3584.0210084033615,0.13445378151260504,94.0875350140056,1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
