scenario,record,engine,engine_key,backend,pow_pre_reports,pow_post_reports,feeders,channels,workers,fs,duration_s,speed,chunks,deadline_misses,comp_ms_p50,comp_ms_p99,comp_ms_max,e2e_ms_p50,e2e_ms_p99,e2e_ms_max,report_period_ms,group_delay_ms,load_pct,cpu_s,wall_s,stage_a_share,kbps_total,kbps_pmu_only,kbps_continuous,reduction_x,n_events_feeder0,samples,p_in_mw_mean,p_in_mw_max,p_cpu_gpu_cv_mw_mean,gpu_util_pct_mean,cpu_util_pct_mean,acc_micro_f1,acc_macro_f1,acc_precision,acc_recall,acc_event_recall,acc_n_event_windows,acc_n_caught,acc_false_alarm_runs,acc_false_alarm_runs_quiet,acc_duty_cycle,acc_duty_cycle_quiet,acc_latency_ms,acc_bandwidth_reduction,acc_n_channels,acc_n_channels_with_events
single,7,Fixed margin,fixed,cpu,6,12,1,6,1,7692.0,0.2329693187727509,1.0,27,0,2.0299659336160403,2.7895729737792863,2.810258227327722,18.689553335207165,25.557674808151187,27.51124626774981,8.333333333333334,16.640665626625065,24.018536070394067,0.09927616000000006,0.24296739300007175,0.774257843147837,882.657,81.59014285714285,1476.8640000000003,1.673202614379085,1,16,4532.625,4864,989.0,0.0,2.625,0.6923076923076924,0.675,0.6428571428571429,0.75,0.6666666666666666,3,2,0,0,0.12280701754385964,0.0,0.0,666667.5714285715,6,2
single,45,Fixed margin,fixed,cpu,6,12,1,6,1,15385.0,1.9968150796230095,1.0,239,0,2.291831593538518,2.7247027237172006,2.9016854132351,10.626247398249689,11.113070009359944,16.04905100975884,8.333333333333334,8.31979200519987,27.734023551312937,0.9231272320000001,2.0084211739995226,0.801429041997455,394.03548582402914,84.26218417369226,2953.9199999999996,7.496583699365544,1,33,4535.090909090909,4672,1000.060606060606,0.5151515151515151,6.116161616161617,0.9666666666666666,0.9633699633699635,0.9354838709677419,1.0,1.0,6,6,0,0,0.02207977207977208,,0.0,46.52142857142857,6,6
single,55,Fixed margin,fixed,cpu,6,12,1,6,1,15385.0,1.9968150796230095,1.0,239,0,2.2906427966518095,2.69243152179115,2.906876994529739,10.62551470749895,11.03261775268038,16.088444010165404,8.333333333333334,8.31979200519987,27.696533685062512,0.9317102400000001,2.008531416999176,0.8073734773376887,2636.9672653884963,84.26218417369226,2953.9199999999996,1.1201959306706857,2,33,4544.545454545455,4744,1008.4848484848485,0.0,5.9141414141414135,0.8139109212934716,0.7766125101762699,0.6862139917695473,1.0,1.0,13,13,0,0,0.7071813109992245,,0.0,1.503955648880347,6,6
single,677,Fixed margin,fixed,cpu,6,12,1,6,1,15360.0,16.0,1.0,1920,0,2.3150694996729726,2.700779960159707,3.8850003329571337,10.648456665876438,11.034117120034352,12.218333666169201,8.333333333333334,8.333333333333334,28.01030782559337,7.4918270399999995,16.034564125000543,0.8002543850322207,2258.4320000000002,84.48,2949.12,1.305826343232827,3,166,4613.963855421687,4864,1082.0301204819277,0.27710843373493976,8.818273092369477,0.06558161799904261,0.07834050828142328,0.03401191658391261,0.9133333333333333,1.0,11,11,4,2,0.4017322470643419,0.018025078369905956,5.520833333333333,166678.43870648812,6,4
single,901,Fixed margin,fixed,cpu,6,12,1,6,1,15360.0,12.0,1.0,1440,0,2.274606501487142,2.717593088564172,2.9993523348821327,10.6079690012848,11.050938641783432,11.3326856680942,8.333333333333334,8.333333333333334,27.533361318819512,5.522923391999999,12.028034603999913,0.8000621288486546,277.99466666666666,84.48,2949.1200000000003,10.608548845061776,4,128,4632.96875,4904,1084.1484375,0.234375,8.513020833333334,0.7118644067796609,0.7118644067796609,0.6363636363636364,0.8076923076923077,0.6666666666666666,3,2,1,0,0.0038354253835425384,0.0,4.166666666666667,833340.5757575758,6,1
single,907,Fixed margin,fixed,cpu,6,12,1,6,1,15360.0,10.0,1.0,1200,0,2.2750316675228532,2.650058659964998,3.3906580010807374,10.608365668304032,10.983541653185966,11.723991334292805,8.333333333333334,8.333333333333334,27.511767749256247,4.588869471999999,10.0270793159998,0.8003274006381305,161.0624,84.48,2949.12,18.310418819041566,2,109,4620.94495412844,5023,1082.9908256880733,0.4036697247706422,8.54434250764526,1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859855,0.0,0.0,333479.26666666666,6,4
single,971,Fixed margin,fixed,cpu,6,12,1,6,1,20000.0,0.23405,1.0,28,0,2.47681300061231,2.601715620876348,2.6163750007981434,10.82193300135259,11.431197439960668,11.612080999839236,8.333333333333334,6.4,29.553918430143053,0.11557324800000046,0.24409753699910652,0.8161395961024123,2966.887417218543,84.22132023071993,3840.0,1.2942857142857143,1,16,4519.8125,4784,951.8125,0.0,3.2604166666666665,0.8695652173913043,0.8518518518518517,0.8333333333333334,0.9090909090909091,1.0,3,3,0,0,0.08794466403162055,0.0,2.777777777777778,500002.9472222223,6,3
