09-18-2026 22:08:07 RAM 3413/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.031C/48.468C soc2@48.093C/48.218C soc0@48.25C/48.468C gpu@48.687C/48.75C tj@48.687C/48.75C soc1@47.281C/47.468C VDD_IN 4313mW/4675mW/5263mW VDD_CPU_GPU_CV 878mW/1156mW/1592mW VDD_SOC 1317mW/1347mW/1395mW
09-18-2026 22:08:07 RAM 3417/7486MB (lfb 15x4MB) CPU [70%@1497,72%@1497,72%@1497,72%@1497,72%@1497,80%@1497] GR3D_FREQ 0% cpu@49C/49C soc2@48.281C/48.281C soc0@48.312C/48.468C gpu@48.437C/48.75C tj@49C/49C soc1@47.343C/47.468C VDD_IN 4792mW/4683mW/5263mW VDD_CPU_GPU_CV 1315mW/1166mW/1592mW VDD_SOC 1355mW/1348mW/1395mW
09-18-2026 22:08:08 RAM 3417/7486MB (lfb 15x4MB) CPU [90%@1497,90%@1497,81%@1497,90%@1497,84%@1497,90%@1497] GR3D_FREQ 0% cpu@49.281C/49.281C soc2@48.218C/48.281C soc0@48.468C/48.468C gpu@48.312C/48.75C tj@49.281C/49.281C soc1@47.281C/47.468C VDD_IN 5302mW/4721mW/5302mW VDD_CPU_GPU_CV 1751mW/1203mW/1751mW VDD_SOC 1395mW/1351mW/1395mW
09-19-2026 11:56:59 RAM 3536/7486MB (lfb 19x4MB) CPU [9%@1497,16%@1497,9%@1497,50%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.468C/49.468C soc2@49.062C/49.062C soc0@49.218C/49.218C gpu@49.187C/49.187C tj@49.218C/49.218C soc1@48.218C/48.218C VDD_IN 5183mW/5183mW/5183mW VDD_CPU_GPU_CV 1552mW/1552mW/1552mW VDD_SOC 1353mW/1353mW/1353mW
09-19-2026 11:56:59 RAM 3536/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.062C/49.468C soc2@48.968C/49.062C soc0@49.156C/49.218C gpu@49.531C/49.531C tj@49.531C/49.531C soc1@48.156C/48.218C VDD_IN 4984mW/5084mW/5183mW VDD_CPU_GPU_CV 1393mW/1473mW/1552mW VDD_SOC 1355mW/1354mW/1355mW
09-19-2026 11:56:59 RAM 3540/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,27%@1497,0%@1497] GR3D_FREQ 0% cpu@49.25C/49.468C soc2@48.937C/49.062C soc0@49.093C/49.218C gpu@49.375C/49.531C tj@49.375C/49.531C soc1@48.156C/48.218C VDD_IN 4864mW/5010mW/5183mW VDD_CPU_GPU_CV 1315mW/1420mW/1552mW VDD_SOC 1355mW/1354mW/1355mW
09-19-2026 11:56:59 RAM 3594/7486MB (lfb 19x4MB) CPU [60%@1497,50%@1497,66%@1497,54%@1497,66%@1497,50%@1497] GR3D_FREQ 0% cpu@49.531C/49.531C soc2@49.031C/49.062C soc0@49.125C/49.218C gpu@49.218C/49.531C tj@49.531C/49.531C soc1@48.25C/48.25C VDD_IN 5143mW/5044mW/5183mW VDD_CPU_GPU_CV 1512mW/1443mW/1552mW VDD_SOC 1395mW/1365mW/1395mW
09-19-2026 11:56:59 RAM 3594/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.156C/49.531C soc2@49.125C/49.125C soc0@49.125C/49.218C gpu@49.562C/49.562C tj@49.562C/49.562C soc1@48.093C/48.25C VDD_IN 4984mW/5032mW/5183mW VDD_CPU_GPU_CV 1353mW/1425mW/1552mW VDD_SOC 1395mW/1371mW/1395mW
09-19-2026 11:57:00 RAM 3594/7486MB (lfb 19x4MB) CPU [0%@1497,8%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.093C/49.531C soc2@48.968C/49.125C soc0@49.312C/49.312C gpu@49.406C/49.562C tj@49.406C/49.562C soc1@48.093C/48.25C VDD_IN 4864mW/5004mW/5183mW VDD_CPU_GPU_CV 1275mW/1400mW/1552mW VDD_SOC 1355mW/1368mW/1395mW
09-19-2026 11:57:00 RAM 3594/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.031C/49.531C soc2@48.968C/49.125C soc0@49.062C/49.312C gpu@49.281C/49.562C tj@49.281C/49.562C soc1@48.125C/48.25C VDD_IN 4744mW/4967mW/5183mW VDD_CPU_GPU_CV 1156mW/1365mW/1552mW VDD_SOC 1355mW/1366mW/1395mW
09-19-2026 11:57:00 RAM 3594/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,8%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49C/49.531C soc2@49C/49.125C soc0@49.093C/49.312C gpu@49.406C/49.562C tj@49.406C/49.562C soc1@48.187C/48.25C VDD_IN 4632mW/4925mW/5183mW VDD_CPU_GPU_CV 1116mW/1334mW/1552mW VDD_SOC 1355mW/1365mW/1395mW
09-19-2026 11:57:00 RAM 3594/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.937C/49.531C soc2@48.843C/49.125C soc0@49.187C/49.312C gpu@49.281C/49.562C tj@49.281C/49.562C soc1@48.312C/48.312C VDD_IN 4552mW/4883mW/5183mW VDD_CPU_GPU_CV 1036mW/1301mW/1552mW VDD_SOC 1355mW/1364mW/1395mW
09-19-2026 11:57:00 RAM 3594/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.968C/49.531C soc2@48.906C/49.125C soc0@49.156C/49.312C gpu@49.218C/49.562C tj@49.218C/49.562C soc1@48.093C/48.312C VDD_IN 4472mW/4842mW/5183mW VDD_CPU_GPU_CV 996mW/1270mW/1552mW VDD_SOC 1355mW/1363mW/1395mW
09-19-2026 11:57:00 RAM 3594/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.937C/49.531C soc2@48.937C/49.125C soc0@49.343C/49.343C gpu@49.468C/49.562C tj@49.468C/49.562C soc1@48.093C/48.312C VDD_IN 4432mW/4805mW/5183mW VDD_CPU_GPU_CV 956mW/1242mW/1552mW VDD_SOC 1357mW/1362mW/1395mW
09-19-2026 11:57:00 RAM 3594/7486MB (lfb 19x4MB) CPU [8%@1497,0%@1497,8%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.031C/49.531C soc2@48.968C/49.125C soc0@49.125C/49.343C gpu@49.218C/49.562C tj@49.218C/49.562C soc1@48.187C/48.312C VDD_IN 4392mW/4771mW/5183mW VDD_CPU_GPU_CV 956mW/1218mW/1552mW VDD_SOC 1357mW/1362mW/1395mW
09-19-2026 11:57:00 RAM 3594/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.875C/49.531C soc2@48.968C/49.125C soc0@49.25C/49.343C gpu@49.187C/49.562C tj@49.25C/49.562C soc1@48.125C/48.312C VDD_IN 4353mW/4738mW/5183mW VDD_CPU_GPU_CV 917mW/1195mW/1552mW VDD_SOC 1357mW/1361mW/1395mW
09-19-2026 11:57:00 RAM 3594/7486MB (lfb 19x4MB) CPU [9%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.906C/49.531C soc2@48.75C/49.125C soc0@49.218C/49.343C gpu@49.343C/49.562C tj@49.343C/49.562C soc1@48.093C/48.312C VDD_IN 4313mW/4708mW/5183mW VDD_CPU_GPU_CV 918mW/1175mW/1552mW VDD_SOC 1317mW/1358mW/1395mW
09-19-2026 11:57:00 RAM 3599/7486MB (lfb 19x4MB) CPU [63%@1497,66%@1497,70%@1497,72%@1497,69%@1497,72%@1497] GR3D_FREQ 0% cpu@49.781C/49.781C soc2@49.062C/49.125C soc0@49.125C/49.343C gpu@49.25C/49.562C tj@49.781C/49.781C soc1@48.187C/48.312C VDD_IN 4792mW/4714mW/5183mW VDD_CPU_GPU_CV 1355mW/1187mW/1552mW VDD_SOC 1355mW/1358mW/1395mW
09-19-2026 11:57:01 RAM 3599/7486MB (lfb 19x4MB) CPU [72%@1497,84%@1497,81%@1497,83%@1497,81%@1497,83%@1497] GR3D_FREQ 0% cpu@49.843C/49.843C soc2@49.031C/49.125C soc0@49.156C/49.343C gpu@49.25C/49.562C tj@49.843C/49.843C soc1@48.125C/48.312C VDD_IN 5302mW/4750mW/5302mW VDD_CPU_GPU_CV 1751mW/1222mW/1751mW VDD_SOC 1353mW/1358mW/1395mW
