micro_f1,macro_f1,precision,recall,event_recall,duty_cycle,false_alarm_runs_quiet,kappa_min_hi
0.08299595141700405,0.41467679886412784,0.09869608826479438,0.07160529762771067,0.49056603773584906,0.03973667738619468,30,0.0
0.08299595141700405,0.41467679886412784,0.09869608826479438,0.07160529762771067,0.49056603773584906,0.03973667738619468,30,0.25
0.08299595141700405,0.41467679886412784,0.09869608826479438,0.07160529762771067,0.49056603773584906,0.03973667738619468,30,0.5
0.08299595141700405,0.41467679886412784,0.09869608826479438,0.07160529762771067,0.49056603773584906,0.03973667738619468,30,0.75
0.08334745044892428,0.4148318951976486,0.09969604863221884,0.07160529762771067,0.49056603773584906,0.03915064831915295,30,1.0
0.08460877042132418,0.4153689081069463,0.103383063668838,0.07160529762771067,0.49056603773584906,0.037087826003166076,30,1.25
0.08538701839639015,0.41582001029770177,0.10573823339780787,0.07160529762771067,0.49056603773584906,0.035845444381037615,30,1.5
0.0856620527552886,0.4160964732794682,0.10658578856152513,0.07160529762771067,0.49056603773584906,0.03541178287142674,30,1.75
0.0857292211186618,0.41617418889131536,0.10679400911656176,0.07160529762771067,0.49056603773584906,0.035306297639359226,30,2.0
0.08597640891218873,0.4161748767627659,0.10756449497157848,0.07160529762771067,0.49056603773584906,0.03485085379637813,29,2.25
0.08721857826626485,0.41859642707248285,0.11153933348447063,0.07160529762771067,0.49056603773584906,0.03136391528394874,29,2.5
0.08774124374553254,0.42155259306884146,0.11363110391113168,0.07145975840489012,0.49056603773584906,0.029630273789485365,25,2.75
0.09281663516068053,0.4267859097244131,0.13238069560528445,0.07145975840489012,0.49056603773584906,0.024102747375496284,19,3.0
0.09717961405244928,0.4304117090182744,0.1518243661100804,0.07145975840489012,0.49056603773584906,0.02176150053324357,14,3.25
0.0931484164769199,0.4040541174102988,0.16123253314224292,0.06549265026924757,0.4528301886792453,0.01983241419552375,8,3.5
0.09106791875955449,0.3960531837543625,0.18233493659816352,0.060689855916169405,0.4339622641509434,0.01714947866608766,6,3.75
0.09174311926605504,0.41172318351594717,0.19071691176470587,0.060398777470528305,0.4339622641509434,0.0165131647912536,4,4.0
0.08943989373477972,0.3858010157446332,0.18677762367082756,0.058797846019502255,0.4056603773584906,0.01638352071316202,4,4.25
0.08863283846665189,0.38221008622129793,0.18561484918793503,0.058215689128220054,0.39622641509433965,0.016290464784879204,3,4.5
0.09173232976596496,0.376954594657614,0.23897058823529413,0.05676029690001455,0.37735849056603776,0.013238846189515272,4,4.75
0.08865248226950354,0.352998602954687,0.23599748269351795,0.0545772085577063,0.33962264150943394,0.012984507255505368,4,5.0
