tp,fp,fn,precision,recall,f1,n_event_windows,n_caught,event_recall,false_alarm_runs,latency_reports,latency_ms,duty_cycle,bandwidth_reduction,n_reports,has_events,rid,ch,method,kappa_h,gap
20,0,127,1.0,0.1360544217687075,0.23952095808383236,2,1,0.5,0,0.0,0.0,0.08620689655172414,11.6,232,True,55,Current.Ia,empirical-Q (causal),,
34,0,142,1.0,0.19318181818181818,0.3238095238095238,2,2,1.0,0,1.5,12.5,0.1459227467811159,6.852941176470588,233,True,55,Current.Ib,empirical-Q (causal),,
65,38,5,0.6310679611650486,0.9285714285714286,0.7514450867052024,2,2,1.0,0,2.0,16.666666666666668,0.4858490566037736,2.058252427184466,212,True,55,Current.Ic,empirical-Q (causal),,
3,34,0,0.08108108108108109,1.0,0.15,1,1,1.0,3,0.0,0.0,0.019331243469174503,51.72972972972973,1914,True,677,Voltage.Va,empirical-Q (causal),,
0,1677,0,0.0,0.0,0.0,0,0,,2,,,0.8761755485893417,1.1413237924865833,1914,False,677,Voltage.Vb,empirical-Q (causal),,
0,214,0,0.0,0.0,0.0,0,0,,1,,,0.11180773249738767,8.94392523364486,1914,False,677,Voltage.Vc,empirical-Q (causal),,
55,1362,0,0.03881439661256175,1.0,0.07472826086956522,5,5,1.0,0,0.0,0.0,0.8404507710557533,1.1898376852505292,1686,True,677,Current.Ia,empirical-Q (causal),,
55,1288,1,0.04095309009679821,0.9821428571428571,0.07862759113652609,4,4,1.0,0,0.25,2.0833333333333335,0.8095238095238095,1.2352941176470589,1659,True,677,Current.Ib,empirical-Q (causal),,
36,44,0,0.45,1.0,0.6206896551724138,1,1,1.0,1,0.0,0.0,0.04851425106124924,20.6125,1649,True,677,Current.Ic,empirical-Q (causal),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Voltage.Va,empirical-Q (causal),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Voltage.Vb,empirical-Q (causal),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Voltage.Vc,empirical-Q (causal),,
26,79,0,0.24761904761904763,1.0,0.3969465648854962,3,3,1.0,0,0.0,0.0,0.07322175732217573,13.657142857142858,1434,True,901,Current.Ia,empirical-Q (causal),,
0,10,0,0.0,0.0,0.0,0,0,,1,,,0.00697350069735007,143.4,1434,False,901,Current.Ib,empirical-Q (causal),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Current.Ic,empirical-Q (causal),,
0,3,0,0.0,0.0,0.0,0,0,,1,,,0.002512562814070352,398.0,1194,False,907,Voltage.Va,empirical-Q (causal),,
5,1,0,0.8333333333333334,1.0,0.9090909090909091,1,1,1.0,0,0.0,0.0,0.005025125628140704,199.0,1194,True,907,Voltage.Vb,empirical-Q (causal),,
5,1,0,0.8333333333333334,1.0,0.9090909090909091,1,1,1.0,0,0.0,0.0,0.005025125628140704,199.0,1194,True,907,Voltage.Vc,empirical-Q (causal),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1194,False,907,Current.Ia,empirical-Q (causal),,
6,4,0,0.6,1.0,0.7499999999999999,1,1,1.0,0,0.0,0.0,0.008375209380234505,119.4,1194,True,907,Current.Ib,empirical-Q (causal),,
