rid,"v1-fixed (TH=1e7, TL=300)",fixed margin (tuned on synthetic),"ATE-Q int8, floor=hard","ATE-S int8, floor=hard","ATE-M int8, floor=hard",ATE-M int8 (leave-one-record-out),empirical-Q (causal),"fixed margin (best constant, offline oracle)",per-channel statistical (offline oracle),hindsight ceiling (offline oracle)
45,0.0,0.9633699633699634,0.7967032967032966,0.9633699633699634,0.7967032967032966,0.9633699633699634,0.0,0.9633699633699634,0.8568722943722943,0.9761904761904763
55,0.018224349841100048,0.7766125101762701,0.8401618501487977,0.840541377366321,0.8332548420625443,0.859426312242252,0.4510146174563801,0.8539037973739426,0.7771528371298091,0.9471923756027594
677,0.125,0.2744021938994995,0.2188299331879495,0.2809935915248565,0.22526421846058545,0.2305182403930839,0.23101137679462624,0.2751974942737043,0.26831156192216377,0.6754004418668875
901,0.0,0.7118644067796609,0.5555555555555556,0.7906976744186047,0.7906976744186047,0.6923076923076923,0.3969465648854962,0.7000000000000001,0.2975206611570248,0.8400000000000001
907,0.4097222222222222,1.0,1.0,1.0,1.0,1.0,0.6777597402597403,1.0,0.7142857142857143,1.0
971,0.0,0.8518518518518517,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0,0.9333333333333332,0.8857142857142857,0.9523809523809524
mean,0.0921577620105537,0.7630168210128744,0.7240973281548221,0.8014893233355131,0.7632088941630607,0.7798259236077209,0.2927887165660405,0.7876340980584907,0.6333095590968819,0.8985273743401793
