,kh,kl
ATE-Q,1.1348827156412158,0.025810926367347296
ATE-Q int8,1.1345911162601825,0.022443549601544842
ATE-S,0.9950125533785547,0.040493294698901734
ATE-S int8,0.9973226973782542,0.03816028583372677
ATE-M,1.104573515689812,0.02658877302579896
ATE-M int8,0.9138508390645711,0.022917080371056702
