09-18-2026 21:02:37 RAM 3172/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.25C/46.812C soc2@46.125C/46.343C soc0@46.75C/46.75C gpu@46.531C/46.812C tj@46.75C/46.812C soc1@45.5C/45.656C VDD_IN 4313mW/4515mW/4784mW VDD_CPU_GPU_CV 838mW/965mW/1156mW VDD_SOC 1317mW/1330mW/1355mW
09-18-2026 21:02:37 RAM 3171/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,44%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.687C/46.812C soc2@46.218C/46.343C soc0@46.562C/46.75C gpu@46.843C/46.843C tj@46.843C/46.843C soc1@45.5C/45.656C VDD_IN 4392mW/4506mW/4784mW VDD_CPU_GPU_CV 918mW/962mW/1156mW VDD_SOC 1317mW/1329mW/1355mW
09-18-2026 21:02:37 RAM 3171/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,54%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.75C/46.812C soc2@46.281C/46.343C soc0@46.593C/46.75C gpu@46.625C/46.843C tj@46.75C/46.843C soc1@45.562C/45.656C VDD_IN 4432mW/4502mW/4784mW VDD_CPU_GPU_CV 956mW/962mW/1156mW VDD_SOC 1317mW/1328mW/1355mW
09-18-2026 21:02:37 RAM 3171/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.406C/46.812C soc2@46.187C/46.343C soc0@46.593C/46.75C gpu@46.593C/46.843C tj@46.593C/46.843C soc1@45.687C/45.687C VDD_IN 4472mW/4500mW/4784mW VDD_CPU_GPU_CV 996mW/964mW/1156mW VDD_SOC 1317mW/1328mW/1355mW
09-18-2026 21:02:37 RAM 3171/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,54%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/46.812C soc2@46.312C/46.343C soc0@46.625C/46.75C gpu@46.687C/46.843C tj@46.687C/46.843C soc1@45.468C/45.687C VDD_IN 4472mW/4498mW/4784mW VDD_CPU_GPU_CV 996mW/966mW/1156mW VDD_SOC 1315mW/1327mW/1355mW
09-18-2026 21:02:37 RAM 3171/7486MB (lfb 52x4MB) CPU [0%@1497,9%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.625C/46.812C soc2@46.125C/46.343C soc0@46.718C/46.75C gpu@46.593C/46.843C tj@46.718C/46.843C soc1@45.437C/45.687C VDD_IN 4512mW/4499mW/4784mW VDD_CPU_GPU_CV 1036mW/969mW/1156mW VDD_SOC 1315mW/1326mW/1355mW
09-18-2026 21:02:37 RAM 3171/7486MB (lfb 52x4MB) CPU [9%@1497,0%@1497,54%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.687C/46.812C soc2@46.281C/46.343C soc0@46.625C/46.75C gpu@46.562C/46.843C tj@46.687C/46.843C soc1@45.531C/45.687C VDD_IN 4512mW/4500mW/4784mW VDD_CPU_GPU_CV 1036mW/973mW/1156mW VDD_SOC 1315mW/1326mW/1355mW
09-18-2026 21:02:37 RAM 3171/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,40%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.5C/46.812C soc2@46.375C/46.375C soc0@46.593C/46.75C gpu@46.843C/46.843C tj@46.843C/46.843C soc1@45.625C/45.687C VDD_IN 4512mW/4500mW/4784mW VDD_CPU_GPU_CV 1036mW/976mW/1156mW VDD_SOC 1315mW/1325mW/1355mW
09-18-2026 21:02:37 RAM 3171/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.468C/46.812C soc2@46.218C/46.375C soc0@46.562C/46.75C gpu@46.625C/46.843C tj@46.625C/46.843C soc1@45.406C/45.687C VDD_IN 4552mW/4503mW/4784mW VDD_CPU_GPU_CV 1036mW/978mW/1156mW VDD_SOC 1315mW/1325mW/1355mW
09-18-2026 21:02:38 RAM 3171/7486MB (lfb 52x4MB) CPU [0%@1497,9%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/46.812C soc2@46.187C/46.375C soc0@46.687C/46.75C gpu@46.562C/46.843C tj@46.687C/46.843C soc1@45.437C/45.687C VDD_IN 4552mW/4505mW/4784mW VDD_CPU_GPU_CV 1036mW/981mW/1156mW VDD_SOC 1315mW/1324mW/1355mW
09-18-2026 21:02:38 RAM 3171/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,40%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.687C/46.812C soc2@46.25C/46.375C soc0@46.593C/46.75C gpu@46.781C/46.843C tj@46.781C/46.843C soc1@45.468C/45.687C VDD_IN 4552mW/4507mW/4784mW VDD_CPU_GPU_CV 1036mW/983mW/1156mW VDD_SOC 1315mW/1324mW/1355mW
09-18-2026 21:02:38 RAM 3168/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.781C/46.812C soc2@46.312C/46.375C soc0@46.593C/46.75C gpu@46.656C/46.843C tj@46.781C/46.843C soc1@45.562C/45.687C VDD_IN 4552mW/4509mW/4784mW VDD_CPU_GPU_CV 1076mW/987mW/1156mW VDD_SOC 1315mW/1324mW/1355mW
09-18-2026 21:02:38 RAM 3168/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.375C/46.812C soc2@46.218C/46.375C soc0@46.593C/46.75C gpu@46.593C/46.843C tj@46.593C/46.843C soc1@45.625C/45.687C VDD_IN 4552mW/4510mW/4784mW VDD_CPU_GPU_CV 1076mW/990mW/1156mW VDD_SOC 1315mW/1323mW/1355mW
09-18-2026 21:02:38 RAM 3168/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.625C/46.812C soc2@46.281C/46.375C soc0@46.656C/46.75C gpu@46.718C/46.843C tj@46.718C/46.843C soc1@45.468C/45.687C VDD_IN 4552mW/4512mW/4784mW VDD_CPU_GPU_CV 1076mW/993mW/1156mW VDD_SOC 1315mW/1323mW/1355mW
09-18-2026 21:02:38 RAM 3168/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.656C/46.812C soc2@46.218C/46.375C soc0@46.562C/46.75C gpu@46.625C/46.843C tj@46.656C/46.843C soc1@45.437C/45.687C VDD_IN 4552mW/4513mW/4784mW VDD_CPU_GPU_CV 1076mW/996mW/1156mW VDD_SOC 1315mW/1323mW/1355mW
09-18-2026 21:02:38 RAM 3168/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,54%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.656C/46.812C soc2@46.312C/46.375C soc0@46.593C/46.75C gpu@46.531C/46.843C tj@46.656C/46.843C soc1@45.562C/45.687C VDD_IN 4592mW/4516mW/4784mW VDD_CPU_GPU_CV 1076mW/999mW/1156mW VDD_SOC 1315mW/1323mW/1355mW
09-18-2026 21:02:38 RAM 3168/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.406C/46.812C soc2@46.25C/46.375C soc0@46.562C/46.75C gpu@46.718C/46.843C tj@46.718C/46.843C soc1@45.687C/45.687C VDD_IN 4592mW/4519mW/4784mW VDD_CPU_GPU_CV 1076mW/1002mW/1156mW VDD_SOC 1315mW/1322mW/1355mW
09-18-2026 21:02:38 RAM 3168/7486MB (lfb 52x4MB) CPU [0%@1497,50%@1497,0%@1497,8%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.406C/46.812C soc2@46.218C/46.375C soc0@46.625C/46.75C gpu@46.593C/46.843C tj@46.625C/46.843C soc1@45.468C/45.687C VDD_IN 4592mW/4521mW/4784mW VDD_CPU_GPU_CV 1076mW/1004mW/1156mW VDD_SOC 1315mW/1322mW/1355mW
09-18-2026 21:02:39 RAM 3168/7486MB (lfb 52x4MB) CPU [0%@1497,58%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.437C/46.812C soc2@46.312C/46.375C soc0@46.812C/46.812C gpu@46.781C/46.843C tj@46.812C/46.843C soc1@45.343C/45.687C VDD_IN 4592mW/4523mW/4784mW VDD_CPU_GPU_CV 1076mW/1006mW/1156mW VDD_SOC 1315mW/1322mW/1355mW
09-18-2026 21:02:39 RAM 3168/7486MB (lfb 52x4MB) CPU [0%@1497,44%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.562C/46.812C soc2@46.312C/46.375C soc0@46.593C/46.812C gpu@46.687C/46.843C tj@46.687C/46.843C soc1@45.531C/45.687C VDD_IN 4592mW/4525mW/4784mW VDD_CPU_GPU_CV 1076mW/1008mW/1156mW VDD_SOC 1315mW/1322mW/1355mW
