feeder,report,offset_bytes,n_ch,n_samples
7,2,0,6,128
7,3,3072,6,128
7,4,6144,6,128
7,5,9216,6,128
7,6,12288,6,128
7,7,15360,6,128
7,8,18432,6,128
7,9,21504,6,128
7,10,24576,6,128
7,11,27648,6,128
7,12,30720,6,128
7,13,33792,6,128
7,14,36864,6,128
7,15,39936,6,128
7,16,43008,6,128
7,17,46080,6,128
7,18,49152,6,128
7,19,52224,6,128
7,20,55296,6,128
7,21,58368,6,128
7,22,61440,6,128
7,23,64512,6,128
5,100,67584,6,128
5,101,70656,6,128
5,102,73728,6,128
5,103,76800,6,128
5,104,79872,6,128
5,105,82944,6,128
5,106,86016,6,128
5,107,89088,6,128
5,108,92160,6,128
5,109,95232,6,128
5,110,98304,6,128
5,111,101376,6,128
5,112,104448,6,128
5,113,107520,6,128
5,114,110592,6,128
5,115,113664,6,128
5,116,116736,6,128
5,117,119808,6,128
5,118,122880,6,128
5,119,125952,6,128
5,120,129024,6,128
5,121,132096,6,128
2,198,135168,6,128
2,199,138240,6,128
2,200,141312,6,128
2,201,144384,6,128
2,202,147456,6,128
2,203,150528,6,128
2,204,153600,6,128
2,205,156672,6,128
2,206,159744,6,128
2,207,162816,6,128
2,208,165888,6,128
1,203,168960,6,128
1,204,172032,6,128
1,205,175104,6,128
1,206,178176,6,128
1,207,181248,6,128
1,208,184320,6,128
1,209,187392,6,128
2,209,190464,6,128
1,210,193536,6,128
2,210,196608,6,128
1,211,199680,6,128
2,211,202752,6,128
1,212,205824,6,128
2,212,208896,6,128
1,213,211968,6,128
2,213,215040,6,128
1,214,218112,6,128
2,214,221184,6,128
1,215,224256,6,128
2,215,227328,6,128
1,216,230400,6,128
2,216,233472,6,128
1,217,236544,6,128
2,217,239616,6,128
1,218,242688,6,128
2,218,245760,6,128
1,219,248832,6,128
2,219,251904,6,128
1,220,254976,6,128
2,220,258048,6,128
1,221,261120,6,128
2,221,264192,6,128
1,222,267264,6,128
1,223,270336,6,128
1,224,273408,6,128
7,243,276480,6,128
7,244,279552,6,128
7,245,282624,6,128
7,246,285696,6,128
7,247,288768,6,128
7,248,291840,6,128
7,249,294912,6,128
7,250,297984,6,128
7,251,301056,6,128
7,252,304128,6,128
7,253,307200,6,128
7,254,310272,6,128
7,255,313344,6,128
7,256,316416,6,128
7,257,319488,6,128
7,258,322560,6,128
7,259,325632,6,128
7,260,328704,6,128
7,261,331776,6,128
7,262,334848,6,128
7,263,337920,6,128
7,264,340992,6,128
7,265,344064,6,128
7,266,347136,6,128
3,325,350208,6,128
3,326,353280,6,128
3,327,356352,6,128
3,328,359424,6,128
3,329,362496,6,128
3,330,365568,6,128
3,331,368640,6,128
3,332,371712,6,128
3,333,374784,6,128
3,334,377856,6,128
3,335,380928,6,128
3,336,384000,6,128
3,337,387072,6,128
3,338,390144,6,128
3,339,393216,6,128
3,340,396288,6,128
3,341,399360,6,128
3,342,402432,6,128
3,343,405504,6,128
3,344,408576,6,128
3,345,411648,6,128
3,346,414720,6,128
5,341,417792,6,128
5,342,420864,6,128
5,343,423936,6,128
5,344,427008,6,128
5,345,430080,6,128
5,346,433152,6,128
5,347,436224,6,128
5,348,439296,6,128
5,349,442368,6,128
5,350,445440,6,128
5,351,448512,6,128
5,352,451584,6,128
5,353,454656,6,128
5,354,457728,6,128
5,355,460800,6,128
5,356,463872,6,128
5,357,466944,6,128
5,358,470016,6,128
5,359,473088,6,128
5,360,476160,6,128
5,361,479232,6,128
5,362,482304,6,128
5,363,485376,6,128
5,364,488448,6,128
1,444,491520,6,128
1,445,494592,6,128
1,446,497664,6,128
1,447,500736,6,128
1,448,503808,6,128
1,449,506880,6,128
1,450,509952,6,128
1,451,513024,6,128
1,452,516096,6,128
1,453,519168,6,128
1,454,522240,6,128
9,448,525312,6,128
9,449,528384,6,128
9,450,531456,6,128
9,451,534528,6,128
9,452,537600,6,128
9,453,540672,6,128
9,454,543744,6,128
1,455,546816,6,128
9,455,549888,6,128
1,456,552960,6,128
9,456,556032,6,128
1,457,559104,6,128
9,457,562176,6,128
1,458,565248,6,128
9,458,568320,6,128
1,459,571392,6,128
9,459,574464,6,128
1,460,577536,6,128
9,460,580608,6,128
1,461,583680,6,128
9,461,586752,6,128
1,462,589824,6,128
9,462,592896,6,128
1,463,595968,6,128
9,463,599040,6,128
1,464,602112,6,128
9,464,605184,6,128
1,465,608256,6,128
9,465,611328,6,128
1,466,614400,6,128
9,466,617472,6,128
1,467,620544,6,128
9,467,623616,6,128
9,468,626688,6,128
9,469,629760,6,128
3,566,632832,6,128
3,567,635904,6,128
3,568,638976,6,128
3,569,642048,6,128
3,570,645120,6,128
3,571,648192,6,128
3,572,651264,6,128
3,573,654336,6,128
3,574,657408,6,128
3,575,660480,6,128
3,576,663552,6,128
6,570,666624,6,128
6,571,669696,6,128
6,572,672768,6,128
6,573,675840,6,128
6,574,678912,6,128
6,575,681984,6,128
6,576,685056,6,128
3,577,688128,6,128
6,577,691200,6,128
3,578,694272,6,128
6,578,697344,6,128
3,579,700416,6,128
6,579,703488,6,128
3,580,706560,6,128
6,580,709632,6,128
3,581,712704,6,128
6,581,715776,6,128
3,582,718848,6,128
6,582,721920,6,128
3,583,724992,6,128
6,583,728064,6,128
3,584,731136,6,128
6,584,734208,6,128
3,585,737280,6,128
6,585,740352,6,128
3,586,743424,6,128
6,586,746496,6,128
3,587,749568,6,128
6,587,752640,6,128
3,588,755712,6,128
6,588,758784,6,128
3,589,761856,6,128
6,589,764928,6,128
6,590,768000,6,128
6,591,771072,6,128
0,606,774144,6,128
0,607,777216,6,128
0,608,780288,6,128
0,609,783360,6,128
0,610,786432,6,128
0,611,789504,6,128
0,612,792576,6,128
0,613,795648,6,128
0,614,798720,6,128
0,615,801792,6,128
0,616,804864,6,128
0,617,807936,6,128
0,618,811008,6,128
0,619,814080,6,128
0,620,817152,6,128
0,621,820224,6,128
0,622,823296,6,128
0,623,826368,6,128
0,624,829440,6,128
0,625,832512,6,128
0,626,835584,6,128
0,627,838656,6,128
4,658,841728,6,128
4,659,844800,6,128
4,660,847872,6,128
4,661,850944,6,128
4,662,854016,6,128
4,663,857088,6,128
4,664,860160,6,128
4,665,863232,6,128
4,666,866304,6,128
4,667,869376,6,128
4,668,872448,6,128
4,669,875520,6,128
4,670,878592,6,128
4,671,881664,6,128
4,672,884736,6,128
4,673,887808,6,128
4,674,890880,6,128
4,675,893952,6,128
4,676,897024,6,128
4,677,900096,6,128
4,678,903168,6,128
4,679,906240,6,128
9,689,909312,6,128
9,690,912384,6,128
9,691,915456,6,128
9,692,918528,6,128
9,693,921600,6,128
9,694,924672,6,128
9,695,927744,6,128
9,696,930816,6,128
9,697,933888,6,128
9,698,936960,6,128
9,699,940032,6,128
9,700,943104,6,128
9,701,946176,6,128
9,702,949248,6,128
9,703,952320,6,128
9,704,955392,6,128
9,705,958464,6,128
9,706,961536,6,128
9,707,964608,6,128
9,708,967680,6,128
9,709,970752,6,128
9,710,973824,6,128
9,711,976896,6,128
9,712,979968,6,128
6,811,983040,6,128
6,812,986112,6,128
6,813,989184,6,128
6,814,992256,6,128
6,815,995328,6,128
6,816,998400,6,128
6,817,1001472,6,128
6,818,1004544,6,128
6,819,1007616,6,128
6,820,1010688,6,128
6,821,1013760,6,128
6,822,1016832,6,128
6,823,1019904,6,128
6,824,1022976,6,128
6,825,1026048,6,128
6,826,1029120,6,128
6,827,1032192,6,128
6,828,1035264,6,128
6,829,1038336,6,128
6,830,1041408,6,128
6,831,1044480,6,128
6,832,1047552,6,128
6,833,1050624,6,128
6,834,1053696,6,128
10,837,1056768,6,128
10,838,1059840,6,128
10,839,1062912,6,128
10,840,1065984,6,128
10,841,1069056,6,128
10,842,1072128,6,128
10,843,1075200,6,128
10,844,1078272,6,128
10,845,1081344,6,128
10,846,1084416,6,128
10,847,1087488,6,128
10,848,1090560,6,128
10,849,1093632,6,128
10,850,1096704,6,128
10,851,1099776,6,128
10,852,1102848,6,128
0,847,1105920,6,128
0,848,1108992,6,128
0,849,1112064,6,128
0,850,1115136,6,128
0,851,1118208,6,128
0,852,1121280,6,128
0,853,1124352,6,128
10,853,1127424,6,128
0,854,1130496,6,128
10,854,1133568,6,128
0,855,1136640,6,128
10,855,1139712,6,128
0,856,1142784,6,128
10,856,1145856,6,128
0,857,1148928,6,128
10,857,1152000,6,128
0,858,1155072,6,128
10,858,1158144,6,128
0,859,1161216,6,128
0,860,1164288,6,128
0,861,1167360,6,128
0,862,1170432,6,128
0,863,1173504,6,128
0,864,1176576,6,128
0,865,1179648,6,128
0,866,1182720,6,128
0,867,1185792,6,128
0,868,1188864,6,128
0,869,1191936,6,128
0,870,1195008,6,128
4,899,1198080,6,128
4,900,1201152,6,128
4,901,1204224,6,128
4,902,1207296,6,128
4,903,1210368,6,128
4,904,1213440,6,128
4,905,1216512,6,128
4,906,1219584,6,128
4,907,1222656,6,128
4,908,1225728,6,128
4,909,1228800,6,128
4,910,1231872,6,128
4,911,1234944,6,128
4,912,1238016,6,128
4,913,1241088,6,128
4,914,1244160,6,128
4,915,1247232,6,128
8,909,1250304,6,128
8,910,1253376,6,128
8,911,1256448,6,128
8,912,1259520,6,128
8,913,1262592,6,128
8,914,1265664,6,128
8,915,1268736,6,128
4,916,1271808,6,128
8,916,1274880,6,128
4,917,1277952,6,128
8,917,1281024,6,128
4,918,1284096,6,128
8,918,1287168,6,128
4,919,1290240,6,128
8,919,1293312,6,128
4,920,1296384,6,128
8,920,1299456,6,128
4,921,1302528,6,128
8,921,1305600,6,128
4,922,1308672,6,128
8,922,1311744,6,128
8,923,1314816,6,128
8,924,1317888,6,128
8,925,1320960,6,128
8,926,1324032,6,128
8,927,1327104,6,128
8,928,1330176,6,128
8,929,1333248,6,128
8,930,1336320,6,128
10,1078,1339392,6,128
10,1079,1342464,6,128
10,1080,1345536,6,128
10,1081,1348608,6,128
10,1082,1351680,6,128
10,1083,1354752,6,128
10,1084,1357824,6,128
10,1085,1360896,6,128
10,1086,1363968,6,128
10,1087,1367040,6,128
10,1088,1370112,6,128
10,1089,1373184,6,128
10,1090,1376256,6,128
10,1091,1379328,6,128
10,1092,1382400,6,128
10,1093,1385472,6,128
10,1094,1388544,6,128
10,1095,1391616,6,128
10,1096,1394688,6,128
10,1097,1397760,6,128
10,1098,1400832,6,128
10,1099,1403904,6,128
10,1100,1406976,6,128
10,1101,1410048,6,128
8,1150,1413120,6,128
8,1151,1416192,6,128
8,1152,1419264,6,128
8,1153,1422336,6,128
8,1154,1425408,6,128
8,1155,1428480,6,128
8,1156,1431552,6,128
8,1157,1434624,6,128
8,1158,1437696,6,128
8,1159,1440768,6,128
8,1160,1443840,6,128
8,1161,1446912,6,128
8,1162,1449984,6,128
2,1157,1453056,6,128
2,1158,1456128,6,128
2,1159,1459200,6,128
2,1160,1462272,6,128
2,1161,1465344,6,128
2,1162,1468416,6,128
2,1163,1471488,6,128
