09-18-2026 22:22:21 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,8%@1497,0%@1497] GR3D_FREQ 0% cpu@46.687C/47C soc2@46.625C/46.812C soc0@47.062C/47.218C gpu@46.968C/47.343C tj@47.062C/47.343C soc1@45.968C/46.125C VDD_IN 3858mW/4071mW/4560mW VDD_CPU_GPU_CV 844mW/971mW/1277mW VDD_SOC 1245mW/1266mW/1317mW
09-18-2026 22:22:21 RAM 3483/7486MB (lfb 42x4MB) CPU [80%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 16% cpu@47C/47C soc2@46.781C/46.812C soc0@47.125C/47.218C gpu@46.937C/47.343C tj@47.125C/47.343C soc1@45.875C/46.125C VDD_IN 4012mW/4067mW/4560mW VDD_CPU_GPU_CV 963mW/970mW/1277mW VDD_SOC 1284mW/1267mW/1317mW
09-18-2026 22:22:21 RAM 3483/7486MB (lfb 42x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@47.062C/47.062C soc2@46.75C/46.812C soc0@47.031C/47.218C gpu@46.843C/47.343C tj@47.062C/47.343C soc1@46.062C/46.125C VDD_IN 4246mW/4078mW/4560mW VDD_CPU_GPU_CV 1081mW/977mW/1277mW VDD_SOC 1282mW/1268mW/1317mW
09-18-2026 22:22:21 RAM 3483/7486MB (lfb 42x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 16% cpu@47.031C/47.062C soc2@46.843C/46.843C soc0@47C/47.218C gpu@47.031C/47.343C tj@47.031C/47.343C soc1@46.093C/46.125C VDD_IN 4407mW/4097mW/4560mW VDD_CPU_GPU_CV 1200mW/990mW/1277mW VDD_SOC 1280mW/1269mW/1317mW
09-18-2026 22:22:21 RAM 3483/7486MB (lfb 42x4MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@47.093C/47.093C soc2@46.718C/46.843C soc0@47.031C/47.218C gpu@47C/47.343C tj@47.093C/47.343C soc1@45.906C/46.125C VDD_IN 4520mW/4121mW/4560mW VDD_CPU_GPU_CV 1277mW/1006mW/1277mW VDD_SOC 1320mW/1272mW/1320mW
09-19-2026 12:11:26 RAM 3835/7486MB (lfb 41x4MB) CPU [9%@1497,0%@1497,20%@1497,9%@1497,27%@1497,0%@1497] GR3D_FREQ 1% cpu@48.218C/48.218C soc2@48C/48C soc0@48.187C/48.187C gpu@48.312C/48.312C tj@48.312C/48.312C soc1@47.187C/47.187C VDD_IN 5063mW/5063mW/5063mW VDD_CPU_GPU_CV 1393mW/1393mW/1393mW VDD_SOC 1393mW/1393mW/1393mW
09-19-2026 12:11:26 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.937C/48.218C soc2@47.937C/48C soc0@48.281C/48.281C gpu@48.312C/48.312C tj@48.312C/48.312C soc1@47.031C/47.187C VDD_IN 4944mW/5004mW/5063mW VDD_CPU_GPU_CV 1273mW/1333mW/1393mW VDD_SOC 1353mW/1373mW/1393mW
09-19-2026 12:11:26 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,20%@1497,18%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 3% cpu@48.187C/48.218C soc2@47.968C/48C soc0@48.312C/48.312C gpu@48.156C/48.312C tj@48.312C/48.312C soc1@47.093C/47.187C VDD_IN 4864mW/4957mW/5063mW VDD_CPU_GPU_CV 1234mW/1300mW/1393mW VDD_SOC 1355mW/1367mW/1393mW
09-19-2026 12:11:26 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.062C/48.218C soc2@47.843C/48C soc0@48.062C/48.312C gpu@48.281C/48.312C tj@48.281C/48.312C soc1@47.125C/47.187C VDD_IN 4744mW/4904mW/5063mW VDD_CPU_GPU_CV 1156mW/1264mW/1393mW VDD_SOC 1355mW/1364mW/1393mW
09-19-2026 12:11:26 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,8%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.125C/48.218C soc2@47.968C/48C soc0@48.156C/48.312C gpu@48.218C/48.312C tj@48.218C/48.312C soc1@47.125C/47.187C VDD_IN 4625mW/4848mW/5063mW VDD_CPU_GPU_CV 1116mW/1234mW/1393mW VDD_SOC 1355mW/1362mW/1393mW
09-19-2026 12:11:26 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.968C/48.218C soc2@47.906C/48C soc0@48.218C/48.312C gpu@48.218C/48.312C tj@48.218C/48.312C soc1@47.312C/47.312C VDD_IN 4552mW/4799mW/5063mW VDD_CPU_GPU_CV 1036mW/1201mW/1393mW VDD_SOC 1355mW/1361mW/1393mW
09-19-2026 12:11:26 RAM 3835/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@48C/48.218C soc2@47.781C/48C soc0@48.281C/48.312C gpu@48.156C/48.312C tj@48.281C/48.312C soc1@47C/47.312C VDD_IN 4512mW/4758mW/5063mW VDD_CPU_GPU_CV 996mW/1172mW/1393mW VDD_SOC 1355mW/1360mW/1393mW
09-19-2026 12:11:26 RAM 3835/7486MB (lfb 41x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48C/48.218C soc2@47.937C/48C soc0@48.156C/48.312C gpu@48.156C/48.312C tj@48.375C/48.375C soc1@47.031C/47.312C VDD_IN 4432mW/4717mW/5063mW VDD_CPU_GPU_CV 996mW/1150mW/1393mW VDD_SOC 1355mW/1360mW/1393mW
