scenario,record,engine,engine_key,backend,pow_pre_reports,pow_post_reports,feeders,channels,workers,fs,duration_s,speed,chunks,deadline_misses,comp_ms_p50,comp_ms_p99,comp_ms_max,e2e_ms_p50,e2e_ms_p99,e2e_ms_max,report_period_ms,group_delay_ms,load_pct,cpu_s,wall_s,stage_a_share,kbps_total,kbps_pmu_only,kbps_continuous,reduction_x,n_events_feeder0,samples,p_in_mw_mean,p_in_mw_max,p_cpu_gpu_cv_mw_mean,gpu_util_pct_mean,cpu_util_pct_mean,acc_micro_f1,acc_macro_f1,acc_precision,acc_recall,acc_event_recall,acc_n_event_windows,acc_n_caught,acc_false_alarm_runs,acc_false_alarm_runs_quiet,acc_duty_cycle,acc_duty_cycle_quiet,acc_latency_ms,acc_bandwidth_reduction,acc_n_channels,acc_n_channels_with_events
single,7,Fixed margin,fixed,cpu,0,0,1,6,1,7692.0,0.2329693187727509,1.0,27,0,2.061040773696732,2.653009186615236,2.7123945619678125,18.716791149927303,25.291932049149167,27.167365267814603,8.333333333333334,16.640665626625065,24.30383031282367,0.1005323520000001,0.2546707279980182,0.7552671182964917,562.0654285714287,81.59014285714285,1476.8640000000005,2.627565982404692,1,32,4403.1875,4824,969.78125,0.53125,1.8802083333333333,0.6923076923076924,0.675,0.6428571428571429,0.75,0.6666666666666666,3,2,0,0,0.1228070175438596,0.0,0.0,666667.5714285715,6,2
single,45,Fixed margin,fixed,cpu,0,0,1,6,1,15385.0,1.9968150796230093,1.0,239,0,2.322615197044797,2.560137391410535,2.6920089876512066,10.652798697265098,10.945132762062713,16.111644014017656,8.333333333333334,8.31979200519987,27.938185625385188,0.9262095039999996,2.02179959500063,0.7842018506625715,183.42810194980632,84.26218417369226,2953.92,16.103966451161977,1,66,4411.666666666667,4632,987.3939393939394,0.2575757575757575,5.555555555555556,0.9666666666666666,0.9633699633699636,0.935483870967742,1.0,1.0,6,6,0,0,0.022079772079772,,0.0,46.52142857142857,6,6
single,55,Fixed margin,fixed,cpu,0,0,1,6,1,15385.0,1.9968150796230093,1.0,239,0,2.3243049945449457,2.4833670421503484,2.722166376770474,10.652982604369754,10.805598961669602,16.1768300094991,8.333333333333334,8.31979200519987,27.92789106901197,0.9342883839999998,2.033284459001152,0.7906836675128261,2352.033519742196,84.26218417369226,2953.92,1.2559004687670337,2,66,4426.333333333333,4712,996.2727272727273,0.4090909090909091,5.588383838383838,0.8139109212934716,0.7766125101762699,0.6862139917695473,1.0,1.0,13,13,0,0,0.7071813109992245,,0.0,1.503955648880347,6,6
single,901,Fixed margin,fixed,cpu,0,0,1,6,1,15360.0,12.0,1.0,1440,0,2.3116366646718234,2.5501072020415445,3.309015664854087,10.644972993759438,10.883486733509926,11.642348996247163,8.333333333333334,8.333333333333334,27.820901033131424,5.542540383999999,12.04511184799776,0.7844004474981944,160.65066666666667,84.48,2949.1200000000003,18.3573467897218,4,256,4480.6875,4784,1066.40625,0.2890625,7.552083333333333,0.7118644067796609,0.7118644067796609,0.6363636363636364,0.8076923076923077,0.6666666666666666,3,2,1,0,0.0038354253835425,0.0,4.166666666666667,833340.5757575758,6,1
single,907,Fixed margin,fixed,cpu,0,0,1,6,1,15360.0,10.0,1.0,1200,0,2.308780331077287,2.509071708554984,2.749137333012186,10.642162662406918,10.842437423707452,11.082470664405264,8.333333333333334,8.333333333333334,27.77959470506175,4.618880160000002,10.036111598994466,0.7839539149055512,104.2432,84.48,2949.12,28.290766208251476,2,218,4486.178899082569,4944,1067.3440366972477,0.3944954128440367,8.012996941896025,1.0,1.0,1.0,1.0,1.0,4,4,0,0,0.0030709101060859,0.0,0.0,333479.26666666666,6,4
single,971,Fixed margin,fixed,cpu,0,0,1,6,1,20000.0,0.23405,1.0,28,0,2.509704998374218,2.645573298941599,2.6810810013557784,10.8559609943768,11.424387618462786,11.58014399698004,8.333333333333334,6.4,29.83944939062764,0.1159211840000011,0.2548386679991381,0.799953495777613,907.8402050843836,84.22132023071993,3840.0,4.229819277108434,1,32,4404.90625,4752,952.4375,0.0,3.114583333333333,0.8695652173913043,0.8518518518518517,0.8333333333333334,0.9090909090909092,1.0,3,3,0,0,0.0879446640316205,0.0,2.777777777777778,500002.9472222223,6,3
single,7,GridStream,gs,cpu,0,0,1,6,1,7692.0,0.2329693187727509,1.0,27,0,1.7110129338107072,2.3107033822452645,2.382017562922556,18.36444904620293,24.935166331997596,26.802266271261036,8.333333333333334,16.640665626625065,20.430879625362444,0.0903831679999997,0.2513819640007568,0.910613012975236,81.59014285714285,81.59014285714285,1476.8640000000005,18.1010101010101,0,32,4394.84375,4784,972.21875,0.96875,1.96875,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,,1000000.0,6,2
single,45,GridStream,gs,cpu,0,0,1,6,1,15385.0,1.9968150796230093,1.0,239,0,1.9825892013614064,2.2967625272576697,2.353675612539518,10.308538508979836,10.665402532031294,15.760019014123827,8.333333333333334,8.31979200519987,23.870578060310457,0.843804032,2.016684604001057,0.9200904253425296,84.26218417369226,84.26218417369226,2953.92,35.05629516926588,0,66,4407.681818181818,4712,983.060606060606,0.4696969696969697,4.891414141414141,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.0,,,1000000.0,6,6
single,55,GridStream,gs,cpu,0,0,1,6,1,15385.0,1.9968150796230093,1.0,239,0,1.9982283847639335,2.8251744902809186,3.8580579930567183,10.32764380579465,11.752596387741503,15.778644010424614,8.333333333333334,8.31979200519987,24.38237482964871,0.8468217920000001,2.021785835000628,0.919607511980458,171.05640050779596,84.26218417369226,2953.92,17.268690275435638,3,66,4402.560606060606,4632,980.3030303030304,0.5303030303030303,5.095959595959596,0.0119225037257824,0.0182243498411,1.0,0.0059970014992503,0.2307692307692307,13,3,0,0,0.0028490028490028,,36.11111111111112,500097.5,6,6
single,901,GridStream,gs,cpu,0,0,1,6,1,15360.0,12.0,1.0,1440,0,1.9807181597570889,2.302567895094397,5.298643998685293,10.314072664186824,10.63597679589293,13.63197733007837,8.333333333333334,8.333333333333334,24.068516030335253,5.064319199999999,12.041351134997967,0.9205787963554962,86.53866666666666,84.48,2949.1200000000003,34.07863922100333,1,256,4461.69140625,4792,1036.46875,0.375,7.282552083333333,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,,1000000.0,6,1
single,907,GridStream,gs,cpu,0,0,1,6,1,15360.0,10.0,1.0,1200,0,1.9628994996310207,2.215547194282408,3.543034334143158,10.296266671502964,10.549027396191375,11.876367665536236,8.333333333333334,8.333333333333334,23.702680365531705,4.206969023999999,10.038978302996838,0.9199441993149104,99.3024,84.48,2949.12,29.698375870069604,2,218,4460.61009174312,4752,1036.2935779816514,0.3761467889908257,7.1681957186544345,0.4827586206896552,0.4097222222222222,1.0,0.3181818181818182,0.5,4,2,0,0,0.0009771077610273,0.0,0.0,666782.75,6,4
single,971,GridStream,gs,cpu,0,0,1,6,1,20000.0,0.23405,1.0,28,0,2.147956001863349,2.3345217657333706,2.387121006904636,10.481443998287432,11.085102623474086,11.224934001802469,8.333333333333334,6.4,25.811020746394725,0.1056753599999993,0.2507229379989439,0.9219289404732052,84.22132023071993,84.22132023071993,3840.0,45.59415584415584,0,32,4382.28125,4744,939.9375,0.0,2.609375,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,,1000000.0,6,3
single,7,ATE-M,M,cpu,0,0,1,6,1,7692.0,0.2329693187727509,1.0,27,0,2.1167345184949227,2.894378986384253,2.9455692711053416,18.79120574449189,25.424138699308955,27.267687270068564,8.333333333333334,16.640665626625065,25.131754315225407,0.1026244480000002,0.2523771600026521,0.7425113402473177,507.9467142857143,81.59014285714285,1476.8640000000005,2.9075175770686856,2,32,4403.4375,4784,968.65625,0.90625,1.7604166666666667,0.7826086956521738,0.7749999999999999,0.8181818181818182,0.75,0.6666666666666666,3,2,0,0,0.0964912280701754,0.0,0.0,666667.8277777777,6,2
single,45,ATE-M,M,cpu,0,0,1,6,1,15385.0,1.9968150796230093,1.0,239,0,2.392894988588523,2.618728746456327,2.6966303848894317,10.718872810684845,10.939001549850218,16.151294017618056,8.333333333333334,8.31979200519987,28.726489495760735,0.94397808,2.021656967001036,0.7690411388487658,183.42810194980632,84.26218417369226,2953.92,16.103966451161977,1,66,4412.484848484848,4672,989.5454545454544,0.303030303030303,5.984848484848484,0.8727272727272727,0.7967032967032966,0.9230769230769232,0.8275862068965517,0.8333333333333334,6,5,0,0,0.0185185185185185,,0.0,166705.3880952381,6,6
single,55,ATE-M,M,cpu,0,0,1,6,1,15385.0,1.9968150796230093,1.0,239,0,2.410064800642431,2.768113783968147,2.834586994140409,10.741848796897102,11.088062163689756,16.26976101397304,8.333333333333334,8.31979200519987,28.99063856776406,0.95196016,2.0292166020008158,0.7785450912083213,2352.033519742196,84.26218417369226,2953.92,1.2559004687670337,2,66,4425.863636363636,4824,1005.8939393939394,0.0606060606060606,5.679292929292929,0.8589993502274204,0.8332548420625443,0.7580275229357798,0.9910044977511244,1.0,13,13,0,0,0.6359562397741533,,1.8518518518518516,1.8689988640058477,6,6
