feeder,report,offset_bytes,n_ch,n_samples
1,15,0,6,128
1,16,3072,6,128
1,17,6144,6,128
1,18,9216,6,128
1,19,12288,6,128
3,19,15360,6,128
1,20,18432,6,128
3,20,21504,6,128
1,21,24576,6,128
3,21,27648,6,128
3,22,30720,6,128
3,23,33792,6,128
3,24,36864,6,128
3,25,39936,6,128
4,39,43008,6,128
4,40,46080,6,128
4,41,49152,6,128
4,42,52224,6,128
4,43,55296,6,128
5,75,58368,6,128
5,76,61440,6,128
5,77,64512,6,128
5,78,67584,6,128
5,79,70656,6,128
5,80,73728,6,128
5,81,76800,6,128
12,107,79872,6,128
12,108,82944,6,128
12,109,86016,6,128
12,110,89088,6,128
12,111,92160,6,128
12,112,95232,6,128
12,113,98304,6,128
15,271,101376,6,128
15,272,104448,6,128
15,273,107520,6,128
15,274,110592,6,128
15,275,113664,6,128
4,280,116736,6,128
4,281,119808,6,128
4,282,122880,6,128
4,283,125952,6,128
4,284,129024,6,128
4,285,132096,6,128
4,286,135168,6,128
0,322,138240,6,128
0,323,141312,6,128
0,324,144384,6,128
0,325,147456,6,128
0,326,150528,6,128
14,404,153600,6,128
14,405,156672,6,128
14,406,159744,6,128
14,407,162816,6,128
14,408,165888,6,128
8,459,168960,6,128
8,460,172032,6,128
8,461,175104,6,128
8,462,178176,6,128
8,463,181248,6,128
10,465,184320,6,128
10,466,187392,6,128
10,467,190464,6,128
10,468,193536,6,128
10,469,196608,6,128
6,506,199680,6,128
6,507,202752,6,128
6,508,205824,6,128
6,509,208896,6,128
6,510,211968,6,128
15,512,215040,6,128
15,513,218112,6,128
15,514,221184,6,128
15,515,224256,6,128
15,516,227328,6,128
15,517,230400,6,128
15,518,233472,6,128
0,563,236544,6,128
0,564,239616,6,128
0,565,242688,6,128
0,566,245760,6,128
0,567,248832,6,128
0,568,251904,6,128
0,569,254976,6,128
11,629,258048,6,128
11,630,261120,6,128
11,631,264192,6,128
11,632,267264,6,128
11,633,270336,6,128
14,645,273408,6,128
14,646,276480,6,128
14,647,279552,6,128
14,648,282624,6,128
14,649,285696,6,128
14,650,288768,6,128
14,651,291840,6,128
13,684,294912,6,128
13,685,297984,6,128
13,686,301056,6,128
13,687,304128,6,128
13,688,307200,6,128
8,700,310272,6,128
8,701,313344,6,128
8,702,316416,6,128
8,703,319488,6,128
8,704,322560,6,128
8,705,325632,6,128
8,706,328704,6,128
10,706,331776,6,128
10,707,334848,6,128
10,708,337920,6,128
10,709,340992,6,128
10,710,344064,6,128
10,711,347136,6,128
10,712,350208,6,128
6,747,353280,6,128
6,748,356352,6,128
6,749,359424,6,128
6,750,362496,6,128
6,751,365568,6,128
6,752,368640,6,128
6,753,371712,6,128
7,803,374784,6,128
7,804,377856,6,128
7,805,380928,6,128
7,806,384000,6,128
7,807,387072,6,128
9,821,390144,6,128
9,822,393216,6,128
9,823,396288,6,128
9,824,399360,6,128
9,825,402432,6,128
11,870,405504,6,128
11,871,408576,6,128
11,872,411648,6,128
11,873,414720,6,128
2,874,417792,6,128
11,874,420864,6,128
2,875,423936,6,128
11,875,427008,6,128
2,876,430080,6,128
11,876,433152,6,128
2,877,436224,6,128
2,878,439296,6,128
13,925,442368,6,128
13,926,445440,6,128
13,927,448512,6,128
13,928,451584,6,128
13,929,454656,6,128
13,930,457728,6,128
13,931,460800,6,128
1,974,463872,6,128
1,975,466944,6,128
1,976,470016,6,128
1,977,473088,6,128
1,978,476160,6,128
3,978,479232,6,128
3,979,482304,6,128
3,980,485376,6,128
3,981,488448,6,128
3,982,491520,6,128
5,1034,494592,6,128
5,1035,497664,6,128
5,1036,500736,6,128
5,1037,503808,6,128
5,1038,506880,6,128
7,1044,509952,6,128
7,1045,513024,6,128
7,1046,516096,6,128
7,1047,519168,6,128
7,1048,522240,6,128
7,1049,525312,6,128
7,1050,528384,6,128
9,1062,531456,6,128
9,1063,534528,6,128
9,1064,537600,6,128
9,1065,540672,6,128
9,1066,543744,6,128
12,1066,546816,6,128
9,1067,549888,6,128
12,1067,552960,6,128
9,1068,556032,6,128
12,1068,559104,6,128
12,1069,562176,6,128
12,1070,565248,6,128
2,1115,568320,6,128
2,1116,571392,6,128
2,1117,574464,6,128
2,1118,577536,6,128
2,1119,580608,6,128
2,1120,583680,6,128
2,1121,586752,6,128
0,1199,589824,6,128
1,1199,592896,6,128
2,1199,595968,6,128
3,1199,599040,6,128
4,1199,602112,6,128
5,1199,605184,6,128
6,1199,608256,6,128
7,1199,611328,6,128
8,1199,614400,6,128
9,1199,617472,6,128
10,1199,620544,6,128
11,1199,623616,6,128
12,1199,626688,6,128
13,1199,629760,6,128
14,1199,632832,6,128
15,1199,635904,6,128
